Latin Jazz,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
15,Como Traigo La Yuca - Live,4ZMlEw8pXvHuwQwem5kpGF,Chucho Valdés,27mRThsZ9K1BYmz0rioxwp,Live At The Village Vanguard,2S1w7Sc9NukidqKfpylJDX,43,not available
16,Batida diferente,6IdTeV8TfNABByZ3bUEUV6,Herbie Mann,6ycoXr0Ayd89vFUT6BOiWo,Latin Fever,5LLQl89oz0vptV3tQefJv2,39,https://p.scdn.co/mp3-preview/153c450700a3f3cdc1fe9db17300c6bce861c3a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Quimbara,7mqqWVpuUHekEdlVOSQjmy,Arturo Sandoval,0MGQZNEMaEICyku3cSDrnJ,Ultimate Duets,28xn3zHQbQHtmAL8dptb4A,37,not available
18,Don't Like Goodbyes - Bonus Track,36GHJdOaMJLh8b5iv4gxhu,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,Una Noche Con Rubén Blades,3iptT1nxZTR7fX4Cf8KHbJ,35,https://p.scdn.co/mp3-preview/5e1bf49b44fcb0150a48d2f827b2cbcd254f8a67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Águas De Março,3IvzsLgMv2eF5eSXoeP7Xm,Antônio Carlos Jobim,3pO5VjZ4wOHCMBXOvbMISG,Antonio Carlos Jobim: Finest Hour,1XkX9d8U5KCcD5DKEpMfOy,11,not available
20,Luces,4fVzIqfRv3VC1doIk9JLnt,Chucho Valdés,27mRThsZ9K1BYmz0rioxwp,Jazz Batá 2,2qNItLdcFnSId2094fNe3A,35,https://p.scdn.co/mp3-preview/99cd27ac00440dd9a58890fa61ac95c6e50badc1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,River Rises,2cgUuAbgKxogUes21l6BSq,The Gaddabouts,4YKbrs5rlpiUd9YhD2kn1B,Look out Now!,3If8CnWombvLZqUZiN3FI5,42,https://p.scdn.co/mp3-preview/5c8bc876d761f203cc12f1b1a28789d38d2e5e75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Guarajazz,1skp5PmXkbwb9uUHI3mPSg,Carlos Henriquez,7jDk9ohezXq697Zz5X2KPI,The Bronx Pyramid,3tzUc7mPAuBZCWAM28Ithw,33,https://p.scdn.co/mp3-preview/dc467fd22292c3a9835a1ebe4ee1e9f98199ec98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Pedro Navaja,7iQBflxrDWDvsIEDy8juLT,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,Una Noche Con Rubén Blades,3iptT1nxZTR7fX4Cf8KHbJ,45,https://p.scdn.co/mp3-preview/c867c36623e2cc0842322c6f39d6169e1cbcc196?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,"Ay, Mamá Inés",5eeZItvyhs0zNAN17uDnPM,Alfredo Rodriguez,1dp5YyefJVa9mkiqa3s50O,Tocororo,1e2GBOtPyLu7iuNm4EvFKG,40,https://p.scdn.co/mp3-preview/f6bcb907224f744c5835fc43a91d12ff9eaa124b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Tres Palabras,492E26qWIhmnzthZye91v8,Bebo Valdés,3qeECzqe5c7ssusMaDdwbj,Juntos para Siempre,3KqVBTW2XNykZ5r1yRRjo6,40,https://p.scdn.co/mp3-preview/c0b2f27a256dc401bf2a068e59f8c7f4ecc45f55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Bruca Manigua,2nRmc4GL2U1Ehrqzf4eCqF,Ibrahim Ferrer,5dss7E1Ph0KxuF1ULfAx4D,Ibrahim Ferrer (Buena Vista Social Club presents),27HNh1cyB39ERqdpSjM2i1,24,not available
27,Te Vas,60crTYYJLMAnAoCZfHMxvk,Pete Escovedo,3EXBBqXojqnitE9lPX0uUZ,E Music,3pgTPEAzBxsAeTS7GCvIAw,2,not available
28,2/3's Adventure,3afCxJceMqMAFYOJNFHomm,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,Live in Cuba,2mLRfQqMxdiZSpUHnd0HKy,40,https://p.scdn.co/mp3-preview/b8c3bae28aeb967b184a13f10f9da28bb0dad811?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Corcovado - Quiet Nights Of Quiet Stars,5i2sgqnzaxYpvXmGAB592h,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Getz/Gilberto (Classics International Version),5p7LZlOPMvScCXw5M77xyV,16,not available
30,Bebochicochuchoturo,2WQNDG0KKDMczbJLxvdxnJ,Arturo O'Farrill,5LHgdJhFO2hT2gu877UPKV,BeboChicoChuchoTuro,1SqBgxgGA4HrqCEv03Mf7I,29,https://p.scdn.co/mp3-preview/5f81980db1e471b615a67184077dfb7f12664fd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Agua De Beber,6B8ckWZ4p80Izvrqbywt0W,Sergio Mendes & Brasil '66,6hCsqVHnBo1BVQWuIjRMkL,The Collection,5dF8zBNO0jEBzv8BngOXC1,40,not available
32,Dulce Amor,3wxMLF4APGuI5s7QmaR4MI,Poncho Sanchez,7wIvJyLDNfkgdKFVxJl5tL,Musica Romantica,1vIx5zBOhWbOW9ayztlv26,2,not available
33,Sin Tu Cariño,1apn8sck6eZb3zvw6f4vKh,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,Una Noche Con Rubén Blades,3iptT1nxZTR7fX4Cf8KHbJ,38,https://p.scdn.co/mp3-preview/29bfdee9564aa465bf21cedafd1463395a5c3ba5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,La Fiesta,5hGIRMjtrTpdMdTrZv4lh1,Chick Corea,5olDKSsFhhmwh8UCWwKtpq,Selected Recordings,1LS9waBhjOGB9BrQSwkp3b,41,not available
35,Dos Gardenias,3Fn6K2roSmzhKzp5BBJKJl,Buena Vista Social Club,11kBu957KTYoAltZHDm8gW,Buena Vista Social Club,2Upqk0mMh9OMIVSj9F8Xzw,31,not available
36,Sofrito,727P24JrF2m6tUwVCaQDzq,Mongo Santamaria,2oVwztjpHpJlAvlVVuqVa0,Sofrito,4dqMy1Cc314df6rnSKD9Je,16,not available
37,Don´t You Worry 'Bout A Thing,5SSN8J2KnrpW1CLpKJhXXO,Arturo Sandoval,0MGQZNEMaEICyku3cSDrnJ,Ultimate Duets,28xn3zHQbQHtmAL8dptb4A,38,not available
38,Enchantment,1EtpgxQQIHUV9x46yA1H4B,Hilton Ruiz,7uUrPQUnxCoQusOAh5I0D1,Enchantment,3NaX3LlcZvDgsUoscFGOfY,34,https://p.scdn.co/mp3-preview/41d4cd0cf5a07e31d5b26decb717efd15c16eb43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Tirándote Flores II,1Q3BcUqaBamQCMYteR2mAI,Eddie Palmieri,2VviFtXYreO6Zn9n8Ibk6C,La Perfecta II,0gepih2TtnVxAv8K45y1wD,1,not available
40,Descarga Entre Amigos (feat. Rubén Blades),2wDWb88s7POYtWg5757eiE,Carlos Henriquez,7jDk9ohezXq697Zz5X2KPI,The Bronx Pyramid,3tzUc7mPAuBZCWAM28Ithw,33,https://p.scdn.co/mp3-preview/1ddda6790c93824054e3975acb9324f81519a1d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,"Cuando, Cuando",10CFhaELKqQNx18aLyUePS,Tito Rodriguez,10n4KkyM4UDt4pf9H4aDlS,"Yo Soy El Bolero: Tito Rodríguez, Vol. 2 (Remastered)",2Gxu3rkNjFUrMqodF5yzeS,37,https://p.scdn.co/mp3-preview/c6a4a1fcee188a881d33b15a1458fd37f6dc1b20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Descarga Cubana,7KYZCnIiupT3cO6n03HrEI,Cal Tjader,3XOVABzceOUTbR3iEz0ImO,Soul Sauce,60zLF0EgDU3FYGeOIGnoas,25,not available
43,Descarga Valdes,29w6NHhg0ZL9OtRnnvXgQc,Bebo Valdés,3qeECzqe5c7ssusMaDdwbj,Juntos para Siempre,3KqVBTW2XNykZ5r1yRRjo6,32,https://p.scdn.co/mp3-preview/606b49eefa1015939522e53e58ac9f9cd91ab71a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Muñeca,2qXoFz1WkwsIILKJ1Kv6uC,Eddie Palmieri,2VviFtXYreO6Zn9n8Ibk6C,Full Circle,6KARWaySIGqdjCQxAXSBYD,40,https://p.scdn.co/mp3-preview/926af55d985717e0b80fa2adff56d1408f8e8c38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Summertime,0XL0j2T7CMEJFLfWvwDP5J,Giovanni Hidalgo,5x8FeI2yziZBdKbfAhvms6,Latin Jazz Lounge,5sdnyPZcJTGc5Udi3NTP25,1,not available
46,I'll Call You Later,6s8PZTZXFqIxwnhf1RA1fn,Hilton Ruiz,7uUrPQUnxCoQusOAh5I0D1,Enchantment,3NaX3LlcZvDgsUoscFGOfY,33,https://p.scdn.co/mp3-preview/edfcb9ad97d845ac4137e3041de2b69ed449d06b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Granada,22SmTBT1AQQpeH9gyhOOYG,Arturo Sandoval,0MGQZNEMaEICyku3cSDrnJ,Ultimate Duets,28xn3zHQbQHtmAL8dptb4A,40,not available
48,Linda Guajira,6LgpmOednaE46TjVgeSFJm,Mongo Santamaria,2oVwztjpHpJlAvlVVuqVa0,"Latin Jazz, Vol. 3",3Frf4Pj6JoecGG62EG8Z8h,37,https://p.scdn.co/mp3-preview/ec53de52a65bb0a557f2bd0ef6fc6942e6351ff5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,La Comparsa,0cWrotZwqQAUrYpEeliVuR,Chucho Valdés,27mRThsZ9K1BYmz0rioxwp,New Conceptions,4lWVDzxHpWQbyUSrR5AyiH,41,not available
50,Curacao,3VXYM1cAAavBcs9ZdKigYf,Cal Tjader,3XOVABzceOUTbR3iEz0ImO,Soul Burst,3CJoke44wdz5xeejR5yWd3,0,not available
