momento. alternativo.,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,306143,spotify_espa%C3%B1a
1,Fake Plastic Trees,5Es7frlturlk6gSvm6nAoK,The Riverman,2mh5dGS6AWdga9P6tTcwKe,Fake Plastic Trees,7hhu9KRviqxrF0vh2c4PlK,23,https://p.scdn.co/mp3-preview/243aaf1915a23be1ea24b3c65c15b3d0fc8292d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Mira,56sf5ag1EOhbdt8QZrJuTd,Panga Nébula,5MaXrbt4TDa3rPp1XbkmKu,Mira,5OVOAqruYgl6ZUDrT5eQpT,34,https://p.scdn.co/mp3-preview/36ae4a3c47e1e5b566967936497d582ed34f710f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Guantanamera,0OGwGIp2WLU3jOC2xRq3id,Guitarricadelafuente,0oBiYchunKTMDesVICwrvL,Guantanamera,7MWq5d6CmMfMcCNF0bBsFF,67,https://p.scdn.co/mp3-preview/fe553eb875f9185a2ea425317977ed36c00f537f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Caminito,1G7dR0PO0JyZDcTb9NHemQ,MOÜGLI,786qoKu8y9vQHdegoxNJn9,Caminito,1riv2nkFFVvSJD65tJxj3J,33,https://p.scdn.co/mp3-preview/b47dc6fd2838284077c886043eb3d5fae424e602?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Ahí Ahí,6m02i6JyJz15hw8jOqu3Cz,Vicente Garcia,2Otnykd696YidQYfEGVmNq,Ahí Ahí,7dr2zU98W3hvgR81Hm02dY,55,https://p.scdn.co/mp3-preview/aaa4b634bd049a3cea7c53c35e746dc99f1171dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Rise to Believe,3CLN7ME8elRgCq3XZZdidi,The Riverman,2mh5dGS6AWdga9P6tTcwKe,"For Oliv and Chris and My Universe, for Ever and Ever",4I5hHAw1UfeTKrGb6efC9a,32,https://p.scdn.co/mp3-preview/60ae6377b94de7c92ad6b4c3b2ffc7a60b0a4a91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,In Between (For You),1aIVAcXSiO1GKFqJMINuPO,Wade Jackson,60OYQgKJZslN6idVOw36FL,In Between (For You),4XENDrvVQbHp7giD4nXgRZ,22,https://p.scdn.co/mp3-preview/f97eacf4ae05265ec65f1b36ebd88df5ea312093?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Tarde,5DkCaPJVIyImEgETbdyLZ6,Cohetes,2GufoITj4S642hU8qARWyQ,Tarde,0s31MhZXKMCq9AbgeRBBnD,34,https://p.scdn.co/mp3-preview/1bb9b7ed5591dcbf154ad691370e9db41e43ff6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Búho,15A389LUr9IMkztXv6oFbM,Mr. Bleat,4s30l2MADdxxpZbsNNCgCb,Búho,5LNivPzS2smPjnunOBwKuX,39,https://p.scdn.co/mp3-preview/b36ccaa9d0f9f5ceeff229e8c931ada3510d23fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Albaricoque,5ZoxRu8AoaXibVJLyPFzae,Arrabalero,51gZ0KnXKT356BUJihiQCj,Sudoku A,5HWfHQrbYy4lP3nLusZdg3,25,https://p.scdn.co/mp3-preview/874db24bf9ef1dc5cc53158a24d0b9e89ced59fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Arrebol,17zmE3r4262CQdqdLDAceY,The Riverman,2mh5dGS6AWdga9P6tTcwKe,Arrebol,0KR7UgSW2038QNr1koVOUN,37,https://p.scdn.co/mp3-preview/0c475c4624ea40becd380ec1488b5e853d9042c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,La Electricidad,0bfpXEdKjph2BbFdaG3PY3,McEnroe,6t17pv2Q9w9ybTC0Ty5Sq2,Rugen las Flores,3QiJU2sZP7ygkzWE1vtKKZ,42,https://p.scdn.co/mp3-preview/3b86fb581f19226dc3b8e1fc80c6d61b1858696a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,De Tronco en Tronco,1Bj8RrRH29ZJVNAHr7zUkq,Alejandro y Maria Laura,3jAurSJUGt2LY7V417BF0u,De Tronco en Tronco,4Yb2tXyTyv2AnzRrrGyY0J,29,https://p.scdn.co/mp3-preview/60d55b3aa4ff3d39e756bb333e3cfb31f18c198b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Valentine Shmalentine,05clJaG0NPoowlJR4sUknK,SOAK,4PLsMEk2DCRVlVL2a9aZAv,Valentine Shmalentine,4wJfdMhH8mTiEr2e9wGWT4,41,https://p.scdn.co/mp3-preview/3a14476d4e11ce2f74a941ed0b2c71dea5b681af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Infinito,1GMze6PXJeaLesLkIux6Qb,Xavier Martinex,1XLR7wR5X9EWHrL5BYV8oY,Formas Primarias,4amgiwFoBIYk8OUZXFv5qR,0,not available
16,Tapes From a Happy Life,21GOxPuNofDiiWZb0AoTCI,The Riverman,2mh5dGS6AWdga9P6tTcwKe,Tapes From a Happy Life,1mJRiNcyELrjT7xxwowMEW,26,https://p.scdn.co/mp3-preview/64f84702203909e912767351c6dfb4a4cfa20b31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Salt,78syjBKqyrvojI3R4mQuOf,B.Miles,3rB3PZ6d1hAkNFD4PhLgQk,Twenty Fifteen,7HbPeetsMHAhebIgO2OFCX,56,https://p.scdn.co/mp3-preview/2cad91c411d2f6acbb6e119ed1d86bdb0bbdd0d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Babas,3zQiJ0NLNgzCWecEzuaA4D,Alejandro y Maria Laura,3jAurSJUGt2LY7V417BF0u,Babas,3N6U2hG3j29q2ZTdoCFYej,33,https://p.scdn.co/mp3-preview/fa363f947be7f01266a97c1539b12a2ff9a4d57b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Bleachers,3Xsua9PZj5e0WeCar562Wr,Dizzy,0g3BS5QoR5r6pOAg1tvwXv,Baby Teeth,2I3KNalSqYLftHnjHHVVKF,42,not available
20,Frontera,2eFoCqv7FHIWhJHqsWJBwJ,Felisa,4oWoF3dBHBOslcI2zNS0fe,Real,4hKVyt2WWxKfGi9Z5eXAsg,27,https://p.scdn.co/mp3-preview/591b8d8bbadb3a783c3fab6f323da30e1549db06?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,The Ghost,73D2OW3uHmEzB67KntUcsO,The Riverman,2mh5dGS6AWdga9P6tTcwKe,Even If I Lose Everything,1EpdsJSexzEWgHmQH2JITN,25,https://p.scdn.co/mp3-preview/293ab0acca5abde4ff9d19fb082657a9f9e01c06?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,You're Not with Me,4p7HnljTO1gInxKl7FUZ4Y,No Vacation,32zeX1IoVKAGWMyy1isKUq,Intermission,74F5VCxtj34TsBDAT7ktZf,24,not available
23,Hasta Donde Mande el Cuerpo,6ma9Cak9JkUiA4uSHnfEm7,Alejandro y Maria Laura,3jAurSJUGt2LY7V417BF0u,Hasta Donde Mande el Cuerpo,55hScfNCMvg283Cde5iVpF,30,https://p.scdn.co/mp3-preview/c1426b63f39a758f531530938193566e095811e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Green & Gold,4HCcvFdHfwR2u3WPPPVRv6,Lianne La Havas,2RP4pPHTXlQpDnO9LvR7Yt,Blood,1Fh5Y8ldo4PIW8Ija51BRK,62,https://p.scdn.co/mp3-preview/3605cb7ac82924ade94aa973cfea4aa143c60490?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Emotion: Devotion,3Lr5T9htXxd1ofe9ErVNT9,Wade Jackson,60OYQgKJZslN6idVOw36FL,Emotion: Devotion,5QyPp4Zmt8r76lJJEUezGp,0,not available
