Punk Español,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,46213,spotify_espa%C3%B1a
1,Dios Salve al Rey,20ts75Ex6L6NCe6opvCZth,Los Muertos de Cristo,3kB55UDQKH1NV9TLKWgE8p,Rapsodia Libertaria Vol. 1,2HYq2crRs5PRcEJ7tcq7BT,27,https://p.scdn.co/mp3-preview/5af02a482003d561993b1d8712882724d17ed53b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Bad Religión,6I5TZHdQkUT4vHqFmbYtnQ,The Kagas,25TQ86q5TLjD8MR099s51q,Nuevos Héroes del Rock,1YPt2UE3GWYLPyhpzUe8eI,34,https://p.scdn.co/mp3-preview/1037c3135d05efa6edef8ddde896579313532de9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Mi Primer Amor,2oRmhBSPhWNScSkwR7x8xi,Piperrak,0kya4eL7YgduZ1RAbO6Uou,Arde Ribera,4miZbn6vSzsHLvCUMSBX1s,50,https://p.scdn.co/mp3-preview/7640423ace992db81df4e842c2b8c349a5008d15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Daños Colaterales,0m1jWuJipbtwtprrYqq0uR,Envidia Kotxina,0ecMaXEm4sV6sndUYsyvmU,Cuando Las Bocas Comen Silencio,2XnYnlNmP1gxV7J1MqCuCK,0,not available
5,Ellos Dicen Mierda,6bsiPYRqISKkHN9FpgffKP,La Polla Records,3vHlZN6pTa2zOl2eVxiEdJ,Ellos Dicen Mierda,0QjDaIXJLrgirtJMFWIu8R,53,https://p.scdn.co/mp3-preview/965253f5f4f0e727e9746dfbbe70c964ea485f8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Piedra Contra Tijera,05ZxYc1glaSTsNVbjBO9Ty,Soziedad Alkoholika,2S5OOMthdyp3Qu4IbTGAQ3,Tiempos Oscuros,7aQjiTfTyA9eMNkuMc09k9,47,https://p.scdn.co/mp3-preview/0988f5155270bb85cd7dbcd82e6b13fa8b4839bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Adios Reina Mia,52hHIF5rYiUi0AtPyvMrY2,Eskorbuto,3AXQ8iTveAp1uA5NlbK8qb,Demasiados Enemigos,06jJMaPtFcbDkuzuIeKywk,43,https://p.scdn.co/mp3-preview/250aa8960f3e9e21aaa64846053b5c819441c053?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Va por Ti,4mFFQIaQg4H1rwfD0d3VnS,Puagh,4hrhDZERJGecaY3Y9nnmRW,El Ritmo de las Ideas,5x18Yd0CopiDQSVbSVo5No,23,https://p.scdn.co/mp3-preview/cb49417480c1c43b4fbd5a0190b3ad7892f9d0cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Ante la Muerte,38QGYGRhXCPecNslTifxfV,Kaos Urbano,0u5LMlVeRfZZuh2Nxowii4,Ante la Muerte,7vDR2G7v27naFB98tQJqMZ,36,https://p.scdn.co/mp3-preview/a29836f63a808f89b1ca72e0265e31342bf5cf5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,"Ni Descanso, Ni Paz!",0b5PjlQGnxkjNThxUmCSGP,La Polla Records,3vHlZN6pTa2zOl2eVxiEdJ,"Ni Descanso, Ni Paz!",0jndA7RswPbdGEYEe4Tq3Z,41,https://p.scdn.co/mp3-preview/0b58ea22fc67bfd92fd72fd6240d5653de23f3dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Don Vito y la Revuelta en el Frenopático,4EBFU2ujZgudwRUsi588jo,Kortatu,2bSQxEqvD23Y4W6ztHaann,A Frontline Compilation,2GUirHCExX549jcIgaYWKO,35,https://p.scdn.co/mp3-preview/932bf66c411339e52025800d0a3615f6741b1a52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Por ti,7tbmPVO7BOZ3uBTkQ4lwFV,Segismundo Toxicómano,0sKBEhvr6hz7Wpptw0fY8U,Escapa!,6MQUQgI1RKD4wHu2Qc16iU,46,https://p.scdn.co/mp3-preview/83f000fe50e626f1c5641b9c1b3d938d5be4427d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,La bandera de la libertad,3IgV2zcmA7VPOxWP9crH3T,Banda Jachís,4SmWLsvGKAetIfP8PgKrPc,Intereses Creados,2MBwsEBoSb0UTTM1ZvemJ5,23,https://p.scdn.co/mp3-preview/facdefd6e3599921b5d615345eba60517848332c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Vuelve,1jYliU7ZnsBHiqBGmGYi6E,Kaos Urbano,0u5LMlVeRfZZuh2Nxowii4,Suburbiales,5f4Pwwq1Ru09eaDslW55X2,30,https://p.scdn.co/mp3-preview/f1cd029a4cc420d2281ed9020dc82d00642263c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Salve,3A5g4sFwzahqS2B3NeqNV2,La Polla Records,3vHlZN6pTa2zOl2eVxiEdJ,Salve,1XCAxFWUmdLpI0WEtfBYmU,0,not available
16,Kualkier Día,1I9u9TGitfcJzOXV1fCM9B,Piperrak,0kya4eL7YgduZ1RAbO6Uou,Arde Ribera,4miZbn6vSzsHLvCUMSBX1s,47,https://p.scdn.co/mp3-preview/83a1092d86b71484c7ad3a6617d8651f7a44ff3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Loko Kuerdo,5NWWzmogzsKzCqtCSKO0cL,Txapelpunk,1zOX25BGYZ4nt7XcACV3jG,¡Vaya Full!,0Jy2KdVM6PIaMtl9tLYCVw,36,https://p.scdn.co/mp3-preview/5553aa5ddc9dfb24db61c2814d3f59290d415e04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,La locura,4qoiW7KuyMkiShQgZkRGc6,Parabellum,0JbJ9sG3cB719QmmkIRTPQ,Hace falta…?,5t0HwnzCCMGcMmervnzQRY,42,https://p.scdn.co/mp3-preview/414b728e0a8ed9ce2dcfb00c7790dc5676851eed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Mil Historias,7mElnVvJoNpmTDSPvOJMUB,Kaos Etíliko,5y9aHzw345UfAGA1Db5BPy,Porsupuestón,4fhyGd8qDAkvZXmDvLYixi,39,https://p.scdn.co/mp3-preview/71a46bb14872d3b448708395b3ae3fcbe3e39968?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,El País de Alicia,4QAw1unWjQ1a2XMwGc06Ie,Envidia Kotxina,0ecMaXEm4sV6sndUYsyvmU,Difícil Ser Humano,1zSktJaNyIi1ot2Wupn4VZ,38,https://p.scdn.co/mp3-preview/f1990808cfac94a4dedc4dec4075e0d98eb4faa6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Así Es la Vida,12obLt5jLRqJTWwbV7HywQ,Los De Marras,0E1P5uNgbD11POIDxFROHh,Vulnerable,7hL5n61zepkS2WQ1MCTpCI,46,https://p.scdn.co/mp3-preview/8404fbde27874024cd1b36dfb091e1d8b4e5ae31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Sols El Poble Salva Al Poble,6iYxFDOGE8jD5ifJXP6vcK,KOP,1vqWasHYiv7zecRAqZvvoO,Nostrat,0F9wDYDPBi8rlGrSiG0xK7,40,https://p.scdn.co/mp3-preview/9de29f40deb8f6ca31a68de84ed0c74276d7971c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,La Última Patada,0QobiDnqGnnbbW8Duu9j90,Gatillazo,3XrunnoiCGkRTanrnsPRam,Siglo XXI,2fwFXVTTeMyJj7IbIoFQZy,41,https://p.scdn.co/mp3-preview/adf759eeccbca5dbf2af06bff6db9f4828531aca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Somos Revolución,4alCPx4T5VHqAsihn76W4I,ALADEMOSKA,1ekttoTgjC4AhaG3r4eaMT,Revolución,4AQDaOXwk4lKN9DwTVbhjf,38,https://p.scdn.co/mp3-preview/a9d4d269e307098f5b826b6519d3a513241ee5f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,La Vida Sigue Igual,4jyuKmz9LEpVe1gF7nbFNB,Tijuana in blue,35LHJRKlkpHkACfkoyqqT4,A Bocajarro + Sopla Sopla,2QoZ36rmjP1gyQIQ2aAB9r,32,https://p.scdn.co/mp3-preview/d65a68df1a6446d016695ea255e0deb985bcc1a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
