Momento Acústico,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,835301,spotify_espa%C3%B1a
1,Fuentes de Ortiz,5Yv6qD8384II8ahFaofgFV,Ed Maverick,3JSSjGYcIkgsrz7892CelT,Mix Pa Llora en Tu Cuarto,5eXeF4TB8khzrdaxFOA0Yy,9,not available
2,Jacaranda,2MPmqlCf6Hwgo5d2F7mA6Z,Jósean Log,1LMyTeRhjaitILs98h3MaF,Jacaranda,56WZTdmE87rkqZL783hDBu,52,https://p.scdn.co/mp3-preview/73d87cba4e0e5f0e4c915de3937427d32a53b584?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,A Mi Lado,12VNRto6uKb635VSHeIERC,Charlie Rodd,2vylKAxeoJ2dAwIi9ck762,A Mi Lado,7BEpB4Dn1Xj17S2YpHOdzt,49,https://p.scdn.co/mp3-preview/f37a286ba82ff5818216a4643d9a488e99be9978?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Déjame Pasar,4CVFk9T022SVdHMOZpaJbH,La Isla Centeno,7EnLmrL4jTZKjeseaZyA0L,Déjame Pasar,4tpY1TbaUci7PsUCfWphOd,47,https://p.scdn.co/mp3-preview/5b7c2f3b041f963257d9e0befe8b342b279f3b91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Física Moderna en Invierno,2FAuYxoBBuYOErsr5R6YoW,Carlos Sadness,2LCcy9CZWwZ7Vvykt8IVVq,Física Moderna en Invierno,5jooKtUPWZeAkptLpA2jcE,50,https://p.scdn.co/mp3-preview/2c71227e4d9c2fb2316d14ab159b8f083b4d0ab8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Llegué hasta ti (feat. Juanito Makandé),1JnrSFltARbpAUX4kuJ36k,Muerdo,3Tn4gmQQde9am94ntk2NBq,Llegué hasta ti (feat. Juanito Makandé),3GGoeVNdy9IpN0f2nGRQqW,53,https://p.scdn.co/mp3-preview/415836a81d4a4a745e2e49deeba7127370bd2140?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Ropa de Bazar,5VPTTQQks5CuP8xbVjCFsD,Ed Maverick,3JSSjGYcIkgsrz7892CelT,Ropa de Bazar,6Tb4qz1HzZL08fKW3ss575,23,not available
8,Riéndose de Mí,0ZnmpuDFDqokEM0gget638,Los Rumberos,05k3uSz8dyKtbllIY988Ip,Riéndose de Mí,5DZuc93pCvPra5ecaYgNKa,48,https://p.scdn.co/mp3-preview/6306af27faeb7d09c44b4ace197b6297be81349a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Vas a Encontrar Alguien Mejor,539maB4zDXFXO1Ddv5FAp3,Julio y Agosto,1RnU8yJGAD2kxrrp2nXnCr,Deja Lo Malo Atrás: Capítulo 3,39Z3ncWStnY9DB88y6w1D1,40,https://p.scdn.co/mp3-preview/abcbabd846ab5af9321a2856030a672cdf602129?cid=fa83a2fec7c440b7a2795d600d6b2c7e
