Flamenco pa ti,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
24,Amanecer,03RDXo0vocWgLUMKMUaSjL,Pepe Habichuela,4d567Yau2MqOd3y9Tc1ypR,Habichuela en Rama,6Qrojzu25Wq5JIdRQC6iaB,32,https://p.scdn.co/mp3-preview/4795e89190a9cbab07e31d10ec043a358e51e934?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Homenaje a Canalejas de Puerto Real,6cpp5o1F9kE7cBwpiprlxm,Sandra Carrasco,4Yhm7oIrWj3IOCbl968CHt,Homenaje a Canalejas de Puerto Real,1Py6eXl3nGZg7XqLQL9gjj,32,https://p.scdn.co/mp3-preview/e936ad67b98412b58d43d19618b7e660756814a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,En lo alto del cerro (Tangos),2pb85vmXEfRKI3DjjUBvum,Estrella Morente,5gKJbL392PiokTPUoL7N6D,Mi Cante Y Un Poema,4IhoKolokZAqh0re1nhUR0,48,https://p.scdn.co/mp3-preview/947f4aaca3ef6ccbf819ede8bab480a4bded3ac1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Compañero,6YRtICfgmGW4K0sbWaHEim,Carmen Linares,5nJo9d4dYPQ9MiimCUdOhI,Verso a Verso,4YwY1VUdDTLIl5pkhVB1iA,32,https://p.scdn.co/mp3-preview/74556bdf27a7ad64ed5e47173e426fb3f2a0b188?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Sale La Luna - Bulerías,3Z110sUQBvHRV5lC1H49iL,Vicente Soto Sordera,2IjhgiJ3kJEOcSPExxUpPQ,Estar Alegre,0qw2WTsRdSHdhpV58MiJFE,34,https://p.scdn.co/mp3-preview/b0fc74b2da8a55e028a230b0499673f2fe868a34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,La Luz Del Entendimiento - Tangos,3ZIFhuiVzXprHtQZOuc2Mh,Israel Fernández,1Ix5ads4niaRP9TnT08gqI,Universo Pastora,2bMUoWI8ZwsQKV6zpn6CUE,32,not available
30,Estrella,0f7WgnCZ3QgXHZlyd9OkMR,Enrique Morente,4rJk8GmrNf1g07EsuoZSzJ,Despegando,5id93izleOYjzgtlX8HXwr,36,https://p.scdn.co/mp3-preview/d97ddf97ee58ec497315bee78c100e8aba441f90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Son Tus Ojos Dos Estrellas - Bulería,3lW6QEarpRYNxg2YhsTX5g,Camaron De La Isla,5MnhtFXEfqi637k6NfKuZI,El Legado De Camarón,4ejOIEiojdFoWm0R7AlgUt,40,not available
32,El Estanque De Los Lotos,0hx9Db35YUipQv78czi7PP,Rafael Riqueni,5eye4DlE12OQi676MhZGM4,Parque De María Luisa,4YGdagko7ionT0v4aVd1cg,0,not available
33,Amantes,4NW5NLMOKY62C2OaOv6f84,Lin Cortés,3SBsCnbQ5q8bOW0uBcwG54,Amantes,0szfopPjFUceZRkGcvghRk,34,https://p.scdn.co/mp3-preview/f906778edc12a4f1c4ac10488dc587380dbcae0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Con Nuestro Corazón A Paco De Lucía - Rumba,3flbMUvsGorxqrNpqmv4Sb,Juan Habichuela Nieto,3YpqDha5LBge4FeoSog8fv,Con Nuestro Corazón A Paco De Lucía (Rumba),3243pnMBAxxsoKHgKCKYA6,34,not available
