Radar Indie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,139335,spotify_espa%C3%B1a
1,Agua y Mezcal,5tMLIgw6yxobsAyIVvfHo5,Guitarricadelafuente,0oBiYchunKTMDesVICwrvL,Agua y Mezcal,73pVSGyUpVervpSru5En9G,62,https://p.scdn.co/mp3-preview/7d2f9175ab405225754401f5aba19160be54251c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Si Estás Tú,4T5XguPFSIrPliylAkUlPq,Delaporte,1GDip5phlxYzeZ36vnf9kJ,Si Estás Tú,2Q093N8qvz0B74yHM0l7eV,49,https://p.scdn.co/mp3-preview/6a966f3b990e7799c7e0f2042446c933a85fd9ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Reina,5zOYyBx0RqHUa0QTb4xBUA,Miss Caffeina,1uvhwixGrZkuT2gpQQWgYb,Reina,6VcjUyIpC7AJmCGZcoiAKW,53,https://p.scdn.co/mp3-preview/e8ff72439d1b3c219deefb1251cd69a91e55a7a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Lo Que Te Mereces,5rQ4vhUUoBBUl99j7Ms9M3,Viva Suecia,57s0ep3eNSg81D7ZxiuHbC,Lo Que Te Mereces,5CPe0rHEG3D0WmNi8RbWZM,52,https://p.scdn.co/mp3-preview/37619c36497e44d51a8445bcc72f69b5d7ff0684?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Vencedores invisibles,3MhFkYqqDSI331E3QWRPLq,IZAL,2hazSY4Ef3aB9ATXW7F5w3,Vencedores invisibles,3wr7HOLyA0Ssor8U1v82LS,52,https://p.scdn.co/mp3-preview/4a378a5ede1ee1868ab0a2333a092a50bf52264d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Guantanamera,0OGwGIp2WLU3jOC2xRq3id,Guitarricadelafuente,0oBiYchunKTMDesVICwrvL,Guantanamera,7MWq5d6CmMfMcCNF0bBsFF,67,https://p.scdn.co/mp3-preview/fe553eb875f9185a2ea425317977ed36c00f537f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Agosto,6fZlikRsTWGrbmMFJFNxzO,Pol 3.14,4P9xDIEyrtAeXRI6xOl2TS,Agosto,1zdKkznRgJ86i9PAlDa50Y,43,https://p.scdn.co/mp3-preview/d6810a8db04b02f74202b98b14c43868abee496f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,¿Qué?,25bwcWBGh9ox4CR1ttJeHU,La Bien Querida,0Wn7tfH4rhaWTn8aMqSgh6,¿Qué?,5DoubGLMbpvAYcd6DDz5Nz,55,https://p.scdn.co/mp3-preview/43da84952e69d79d1b875dc31d9ae0a2f94156e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Perdona (Ahora Sí Que Sí),1AODZVWUeYlsKoFTo2iyEA,Carolina Durante,2BVE7Pqd8kxv9xEsuvoJoE,Perdona (Ahora Sí Que Sí),6lfDtQxgcGSUNvJJNKranS,59,not available
10,Bailando Con el Viento - Feat. Mikel Izal,7GyrhtQUvdCM1I6FZusRfI,ALIS,3yVOHNWnsCHuaaOCnflSRD,Bailando Con el Viento (Feat. Mikel Izal),4Uo8how7CehdRVF7efBl7r,48,https://p.scdn.co/mp3-preview/9973f8827e1154179631a75dbce5801884e79ece?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Las Ventanas Se Encienden,015lhe5tij6F2cTvN6ROYN,Mucho,2MCiePdBoCr6NpWKxWztaw,¿Hay Alguien en Casa?,335ke7bdW88GhIS24vkpHT,45,https://p.scdn.co/mp3-preview/7f3eebdce579e471b6c996deffb11fc7fd1870ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Otra forma de vivir - Estrella Damm 2019,66NaxCx1xBV2QZ0ZTK3sXG,Joan Dausà,1GRFao1QTh0i5Wx5Ms0A3I,Otra forma de vivir - Estrella Damm 2019,78nszlSnEge2cIZsJgpTxq,54,https://p.scdn.co/mp3-preview/561bb33c2ca5d053446a4d423e45fc77c4460cdb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,"Fascinados (feat. Joan Manuel Serrat, Leiva, Vetusta Morla, Iván Ferreiro, Loquillo, Zahara, Dani Martin, Albert Pla, Mikel (Izal), Noni (Lori Meyers), Santi Balmes (Love of Lesbian), Xoel López, Anni B Sweet, Jeanette, Carlos Sadness, Nina (Morgan), Juan Alberto (Niños Mutantes), Miri Ros, Javiera Mena, Jorge Martí (La Habitación Roja), Rafa Val (Viva Suecia), Marc (Dorian), Alondra Bentley, Abraham Boba, Carlangas (Novedades Carminha), La Bien Querida, Martí Perarnau IV (Mucho), Nita (Fuel Fandango) & Shuarma (Elefantes))",2NWWhvKfxY7jVG2PH5F5CY,Sidonie,2pMVWkucVS130nJx59uAEa,Lo Más Maravilloso,2biogL3EqT9xAefITAu7h1,57,https://p.scdn.co/mp3-preview/fbf39dab35516dfc05f587a19a432ee7aafdae42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Las Canciones De Juanita,2RUg3NIWTeitAe46TNxP0h,Carolina Durante,2BVE7Pqd8kxv9xEsuvoJoE,Las Canciones De Juanita,7aE5DBt92HoJsHp8gsIcES,43,not available
15,ABC,5BAHP1SSe7fdFsWTu9yoiU,Guitarricadelafuente,0oBiYchunKTMDesVICwrvL,ABC,1F3345mWITbnR2aysaUwZB,63,https://p.scdn.co/mp3-preview/7003f25d43354aa2966b5eb6f5dfe570e442add3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
