Reggae en Español,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1060539,spotify_espa%C3%B1a
1,Runaway,0ZLakHzHWqUIlkeDa4i8aC,Los Pericos,7FnZWGw9lwOr7WzieTKEPR,Pericos & Friends,6X5Q67CsxndSPng67Xxqua,69,https://p.scdn.co/mp3-preview/73db7b5e7c7bab7824bf4b52851824573ba38dff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Tus Ojos,6yyrsrci6u2nreFlhXSy3J,Los Cafres,2ST5XwWB4uXGKk2NXP8DUI,Suena la Alarma,3b6Shbr4R5szup0i6Yo6Dv,68,https://p.scdn.co/mp3-preview/43a503b5f52f2863253ae9f78ccc3f39564f3394?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Decide Tú,1OuRWuKhsxNdV2FCIkyCnV,Dread Mar I,1aw0Cdl1DIrtUrUA6fGbAR,Caminarás Caminos,337mNEG0GhmCVFOflwtMlS,67,https://p.scdn.co/mp3-preview/d7dd25ad340e4a287f3f4a34e376663b5bf3f834?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Culpable O No,4HMPGSpzKG3PrOuoi5gfan,Quique Neira,7BfDn0T1IbJiD0U8j27obe,Culpable O No,6nd0TosZlLEvIIEX4NlIas,57,https://p.scdn.co/mp3-preview/979c2567a40f9f072b0b44f80b17605ac6ad0f92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Sin Ti,1mmaywWRQzNE5dt0eUISBd,King Chango,5nZlhgO7iNedGlO0gKu9us,The Return of El Santo,5cOccFEax9P6EPRJc4xPx9,60,https://p.scdn.co/mp3-preview/1a84d1dfedc534d1ea0111e3432b15d2b92f8be5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Mucha Experiencia - Su Reggaeton Mix,2fDS9RVbESui1ufoov4nGJ,Los Pericos,7FnZWGw9lwOr7WzieTKEPR,Pericos & Friends (Extended),4IIfIS47aChs97w8hrgCcY,57,https://p.scdn.co/mp3-preview/8312bb153258b06eacb1d548aef25f01b377ee02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Casi q' me pierdo,0Nj3EM5QMCIdTbWM3wzJGR,Los Cafres,2ST5XwWB4uXGKk2NXP8DUI,El Paso Gigante,1kJD3mYufavAaI1IZwrP3i,66,https://p.scdn.co/mp3-preview/1137f4cbdf48bb23c62c9500a3755c82cb1ec1d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,En el Seno del Amor,3qXaAdVOZMZ7XWxBEZ7fil,Dread Mar I,1aw0Cdl1DIrtUrUA6fGbAR,En el Seno del Amor,2o6JjORHuLsv1PfjMQQmp0,60,https://p.scdn.co/mp3-preview/7f018ede91a38066b7fb94b270fc5bef853c09af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,La Flor,2x9kIjm8AejYJCunY9yKOA,Nonpalidece,0W1EfnztQTHuv03MuMzWPe,Nonpalidesenchufado,20yi48fX2JcQ9JnIlo29bV,62,https://p.scdn.co/mp3-preview/689da907412d0a83eaf36b2a61e59dcee045e9e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
