Cena con Amigos,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,302655,spotify_espa%C3%B1a
1,Bailar Contigo,29iNhnoFkQBvOlUKn2io14,Monsieur Periné,36KsCCwgI0Dep97yVJWmkK,Bailar Contigo,5zi55pxYWY1hsKLZk4XWAf,64,https://p.scdn.co/mp3-preview/ada9c8e2d591d3c702f213a6093c19645bc40cc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Carmesí,3fk5fBFB27GbWGATdBpOgr,Vicente Garcia,2Otnykd696YidQYfEGVmNq,A la Mar,5afHhk03AfHR76hfjRNobE,65,https://p.scdn.co/mp3-preview/9e22cd523b79347ec191bb29d0611d0601130ae8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,A Star Is Born Soundtrack,4sLtOBOzn4s3GDUv3c5oJD,89,not available
4,Buongiorno Principessa,39NkxRRpmHhXxO29DhkCCt,Dedicato A Piovani,4keC8ZLqNeBe49rj8S4brj,La Vita E Bella,7359xUgv9EhNYG5mpr3EYD,43,https://p.scdn.co/mp3-preview/a388cd77716a075539faa5e3bbb26f54f4fbd948?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Desafinado,2GW4RDBkjLWUDjumnHB3K1,João Gilberto,77ZUbcdoU5KCPHNUl8bgQy,Ultimate Guitar Classics 1951-1961,0d03HJwweHFZRzvqzCrito,51,https://p.scdn.co/mp3-preview/356613f78abbb90866e2b4f8d89d833952eb51b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,¿Dónde Estabas Tú?,6O7IhKaYZSYAUv0u6xVJkl,Omara Portuondo,1h4iSQAKdvAAm07l6FX6dy,Omara Portuondo (Buena Vista Social Club Presents),14IVwO0ZopBuaLEupTFx4O,24,not available
7,Bienvenido a mi habitación,4NtU5Yq5SqaIbGjpbPmXw7,Georgina,71cjWNRukkIF8Ulh006x3b,Bienvenido a mi habitación,4nEsMSMUDN7x646cLbaXBp,41,https://p.scdn.co/mp3-preview/5c68ff19533b84efb592b4254f570089f8aac7ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Lágrimas Negras,4cYr28vZOK1cSXiaefSXkO,Bebo Valdés,3qeECzqe5c7ssusMaDdwbj,Lágrimas Negras,4VOwUaLAK3Ea6tWZzos79U,52,https://p.scdn.co/mp3-preview/9589ed58b42ac5654324f10fd3ac0c690ca2a8b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,La Flor de la Canela,3AvRiaZZqrMe3lznMui3BM,Maria Dolores Pradera,58LNn3iNPmmHusH1EkyBm4,La Colección Definitiva,62TrSoP03z7TiX3ZXGANGg,37,https://p.scdn.co/mp3-preview/0a9fb6cb2da8367816741544c3d92532240b0f10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
