Fiesta,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,843814,spotify_espa%C3%B1a
1,Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Señorita,2ZaX1FdZCwchXl1QZiD4O4,100,not available
2,Callaita,2TH65lNHgvLxCKXM3apjxI,Bad Bunny,4q3ewBCX7sLwd24euuV69X,Callaita,06S3Qjh4QWLtn6c7CVhYh7,95,https://p.scdn.co/mp3-preview/23c0b25cf824c1bfd7a814fe7cd1264c31a5a9dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,China,2ksOAxtIxY8yElEWw8RhgK,Anuel AA,2R21vXR83lH98kGeO99Y66,China,1PTTAq0OxggVgqP5WTYWDh,97,https://p.scdn.co/mp3-preview/a2486b829160d65e2bf30038bb3a5f76df3393b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Promises (with Sam Smith),2tpWgbBdzjkaJVJzR4T8y1,85,https://p.scdn.co/mp3-preview/c78e0a33c394091314b35a2fd42b0102cc8fb1cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Dance Monkey,421leiR6jKlH5KDdwLYrOs,Tones and I,2NjfBq1NflQcKSeiDooVjY,Dance Monkey,5i6CS5XcLZGLgaNCKlJvc2,70,not available
6,Indeciso,59s0s39NFWScuHDbHytI14,Reik,0vR2qb8m9WHeZ5ByCbimq2,Indeciso,4qecT0ZJrf35thz2WaEm6P,87,not available
7,Fin De Semana,2DFn7QiaiaNNWXuWLABatP,Lunay,47MpMsUfWtgyIIBEFOr4FE,Fin De Semana,5xoULy1zmC7mR6u23LMW6B,74,https://p.scdn.co/mp3-preview/23c422afc4ef21b1898e8097493486f2f41b06e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,blackbear,2cFrymmkijnjDg9SS92EPM,hot girl bummer,37CqAwxTungNxKpIK5vSgE,92,not available
9,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,I Don't Care (with Justin Bieber),5Nux7ozBJ5KJ02QYWwrneR,94,https://p.scdn.co/mp3-preview/40d2bf0a16b4a4c7e5747a57943f9c0bbf5bc5ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Me Llamas (feat. Maluma) - Remix,5hEM0JchdVzQ5PwvSfITeX,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,Me Llamas (feat. Maluma) [Remix],2mqj8lMnZRYR5hapcNVpRq,73,https://p.scdn.co/mp3-preview/85095843e1751ea3c834e853e4e02d906e5b7fc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Liar,7LzouaWGFCy4tkXDOOnEyM,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Liar,3xgS4rfthlsvhW7J2WLiiR,92,https://p.scdn.co/mp3-preview/10cc798e1e25bb65f13cbe166aa77e51e2f11474?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,86,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Si Te Vas,6Y4PDQv4XjYjHLeLmvyOt0,Sech,77ziqFxp5gaInVrF2lj4ht,Si Te Vas,2S6p0g6YzG3609Ty45i5Cq,83,https://p.scdn.co/mp3-preview/5cb4ad4d3ffe549979c79007dd7437211affb89b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,OASIS,6ylFfzx32ICw4L1A7YWNLN,94,not available
15,Otro Trago - Remix,4bTZeO72FwMa6wKOiqoynL,Sech,77ziqFxp5gaInVrF2lj4ht,Otro Trago (Remix),3hiJmThCss4ugTPzvgUnT1,92,https://p.scdn.co/mp3-preview/0fa4dbb8b2547fd7f9b7e54dd42e37b78af1edd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Call You Mine,05CwHjIk71RXVU40boRMnR,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,World War Joy,1ONuDpN0a3zhCUyKCgtuzK,73,not available
17,Memories,2b8fOow8UzyDFAE27YhOZM,Maroon 5,04gDigrS5kc9YWfZHwBETP,Memories,3nR9B40hYLKLcR0Eph3Goc,91,not available
18,The Middle,09IStsImFySgyp0pIQdqAc,Zedd,2qxJFvFYMEDqd7ui6kSAcq,The Middle,7nEiwcUSwycvC77kZ9ub7c,85,not available
19,Me Gusta,1N3rf6ZFzb8NPYeLCmgzj7,Natti Natasha,1GDbiv3spRmZ1XdM1jQbT7,Iluminatti,53k64d93T2Pwjy8x71zQVO,71,https://p.scdn.co/mp3-preview/0f3432a44bd02b58405a5ec7fc7606af5275bc87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
