Karaoke en Español,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,412307,spotify_espa%C3%B1a
1,Procura,7xmp7f74I0rxUOPjVuIOE8,ChiChi Peralta,5GNSVtCq2hiXDx7jUA5Iou,Pa' Otro La 'o,5T29t6GK83ntYYu3kjUMar,11,not available
2,El Sol No Regresa,1npDfdIgKSiOwtDJJqgeBw,La Quinta Estacion,7FZj349hdLfD6qzXkJLuAh,Flores De Alquiler,3akKzcllmwsg5jq6TK4P1d,10,not available
3,Caraluna,4XTMj7kd8DHLl0r7ghmEAr,Bacilos,1mux8L6xg2Cmrc7k0wQczl,Grandes Exitos,5WGN7m5BK95GiuafTCL3JQ,71,https://p.scdn.co/mp3-preview/cf4fe4a741da944052250838e9ad6577a7b41e9d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Colgando en tus manos (con Marta Sánchez),3UI9I3e1g1y5T3SMfdgfGO,Carlos Baute,3smfreCkyJt7bShaTYpG77,De mi puño y letra - Edicion Coleccionista,1cz8fhax6HNiCSE1uuV2Vs,75,https://p.scdn.co/mp3-preview/d516cf9159df2722a3f7f8d4cb117d39c2442b2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Morena mía,0tSE3FNeqYVuTQIy1s67Az,Miguel Bosé,7mWCSSOYqm4E9mB7V4ot6S,Colección Definitiva,0nEL8RK9TM7RD6oTzv27Zf,61,https://p.scdn.co/mp3-preview/3164e42e1f32003fcdd6a0c7b0b13e3433d4d88c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Un Año,5BDP2tky8oMQJPS33frKVp,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Un Año,4Vtx3PxyOfBUBuEYAIocsP,80,not available
7,Espacio sideral,7rGadqZ92cyRGmkDDpxAzH,Jesse & Joy,1mX1TWKpNxDSAH16LgDfiR,Six Pack: Jesse & Joy - EP,3o2ISZrrYHFTKUP3DKuvrK,62,https://p.scdn.co/mp3-preview/559d1334a9cc5069dd413a56572f01ce3ad210ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Me Dediqué a Perderte,1HpIBHs03kKCxlrPthWXmL,Alejandro Fernandez,6sq1yF0OZEWA4xoXVKW1L9,Alejandro Fernandez 15 Años De Exitos,1XIDdkj7xuSoDDyYseS7o3,11,not available
9,Mi Historia Entre Tus Dedos,4X4eypK7U3nCtOegosnciD,Gianluca Grignani,0H1InhXaXQPL1aj0mvHemU,Destino Paraiso,5BegiOj46Ggq4dbLT1AK5d,68,not available
10,Antologia,1I1DRPWM8iIYEbsuGMbaR3,Shakira,0EmeFodog0BfCgMzAIvKQp,Grandes Exitos,3JhHRFetUgAWw376a3sk6C,66,https://p.scdn.co/mp3-preview/d256ccd6697df6dda28bca40e61e0672ffdc9877?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Volverte A Ver,2ZqFfDwNjKvPu3USx3onhO,Juanes,0UWZUmn7sybxMCqrw9tGa7,Mi Sangre,2HbvQeJXke68tjwOcsj8ne,63,not available
12,Yo No Sé Mañana,7nDIflSHQXzaa8zupxwv3U,Luis Enrique,2mUI4K6csTQd3jieswcmiI,Ciclos,63irJwZoWLRUc1lBKtuxmQ,72,https://p.scdn.co/mp3-preview/74891187474ca171644f18fbeabfccf502031e8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Andar Conmigo,05iMQqncVBIm4AE26EvaTL,Julieta Venegas,2QWIScpFDNxmS6ZEMIUvgm,Si,3pNoZEMsLO0HZygvwaXANB,70,https://p.scdn.co/mp3-preview/b6069c739059cab6c3d33e432d4a0fe44f57dae9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Dejaría Todo,79mdw3IznNCFsF7R9O2KGz,Chayanne,1JbemQ1fPt2YmSLjAFhPBv,Atado A Tu Amor,3liBiZNxZoEkcv9ooLM20i,60,https://p.scdn.co/mp3-preview/b05392a68e4e685976fba4a8548794917efa2e0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Corazón partío,0wQCKR9OFjYu5Kzrk7WivJ,Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF,Más,3MfNbOJuFb5H4CjrT49oiI,74,https://p.scdn.co/mp3-preview/cee7191f8b94d18b77bf6a6382d34f5418844095?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Es Por Tí,3b1IQflSLrgzYQPGFzI9cl,Juanes,0UWZUmn7sybxMCqrw9tGa7,Un Día Normal,2UJCnSqpR3AIuTvWYZLCp1,73,not available
17,Vuelve,369XUs61gRuokPS5E2pwHZ,Ricky Martin,7slfeZO9LsJbWgpkIoXBUJ,17,7fUnkkWBAzFNC6JbYuuOnE,48,https://p.scdn.co/mp3-preview/4cde5de84e83c47b4290be955872c091f8a397cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Loco (Tu Forma De Ser),3ydweVPwq9PCEVJ8WwqT6u,Los Auténticos Decadentes,3HrbmsYpKjWH1lzhad7alj,El Milagro Argentino,2pqscM7JlS6XR6fk7Y8tVZ,70,https://p.scdn.co/mp3-preview/367a77d33470fffe30c71bb72b1a38e833a2830d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Yo Quisiera,2GSr8anleCXKLNjjjijoMZ,Reik,0vR2qb8m9WHeZ5ByCbimq2,Reik,2X17BMIMWhZDWHL0UR1LBS,71,https://p.scdn.co/mp3-preview/61728ffd412d24f93f4467e9e252ae11e42ffb72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
