Novedades Viernes España,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,173810,spotify_espa%C3%B1a
1,¿Qué Ha Pasao'?,2zkVH2daHyjS51g7PRJFDn,Abraham Mateo,2bxxlINUlcMQQb39K7IopR,¿Qué Ha Pasao'?,2KSuEqdiRePWkHU15Q9KH6,63,https://p.scdn.co/mp3-preview/45ac9f760521541c9f070c4f52edb3f43161183e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,La Mejor Versión de Mi - Remix,2dy3TKVDEbIeWxeIb8JWqZ,Natti Natasha,1GDbiv3spRmZ1XdM1jQbT7,La Mejor Versión de Mi (Remix),0OChMQnL4dpFZQH93uPb1d,68,https://p.scdn.co/mp3-preview/d32ea1dc5c840ea3ebb4ddb5e99b936abc8d1b55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Cry for Me,40nPimvmG05WYS7983bawZ,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Cry for Me,2dq4ae5hiyxlFPG1s8rlq5,79,https://p.scdn.co/mp3-preview/be6616aac8c7cc3aeaf0c58a96857259c0bdfd55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Conmigo,0ie2JDYXalB1GEXRm5JsHa,India Martinez,6FOpWOxsjQxKEbLiJpU1xV,Conmigo,2iBZzs9rGSJOKF751jfrCn,53,https://p.scdn.co/mp3-preview/6468005fd15f4f95f1801952a83b0a8102e87ee9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Tanto,3bCuNSiaBHqxdevMYEnGpe,Jesse & Joy,1mX1TWKpNxDSAH16LgDfiR,Tanto,3mBRgkagJKALFDxm5ptevT,65,https://p.scdn.co/mp3-preview/60c7b19e6699f2da06f50e6150c8e54152b505dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,OLVÍDATE,2w31PjAONsffo4vXFO4lW4,Paula Cendejas,4EiI7Vls0NB16jLuexzCHC,OLVÍDATE,09ijw1WxctSQo8J8g9AZax,45,https://p.scdn.co/mp3-preview/eedc8ddef44071aa9d753c0cd5c56829c934b166?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Celebration (feat. Ky-Mani Marley),08j5bEz5uMlE9zCFvLyaDr,Maffio,5RzT7CM6Ot0sh0EHefMicV,Celebration (feat. Ky-Mani Marley),6FoYHPXjjZKXolsGXwC51E,59,https://p.scdn.co/mp3-preview/6a56576b989be946ec60b5f699b4b4e910978688?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,medusa,35K1MKd41LQ47OFOPfX1Zg,Alba Reche,4mkCQKEe89EI0kn0Q7tMyK,medusa,2WacdenBtxm4WgiwhIGohl,62,not available
9,clementine,7ozvM98YyrdyOBh1lItVHc,Halsey,26VFTg2z8YR0cCuwLzESi2,clementine,4Hw4CuL2FH67FfY5mBJl8D,73,not available
10,Profesores,3mZFOjJplVA5PTU5zmymZB,Morad,4az97MtWmBQ5Db3GfDh9j9,Profesores,6ZyJNX2l1p8sdkGIXGDgXI,52,https://p.scdn.co/mp3-preview/1aaf480a9a6c0d6998858df34334ddb0c3c10326?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,86,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Mi Vida,1j6BC0HOfJO7K6q7Hig0q6,Nacho,2ayNSoKPCRAfjp6hQ76hRu,Mi Vida,4BbzgNXpvQgztFBqlcxGGA,51,not available
13,Rehén,2f9kSqn8WbqgUuxNPwVuPl,Isma Romero,5tGFnFD0dIxKMG8uuR9p89,Rehén,5uOIhkHA5Pv666KCdTZoIy,42,https://p.scdn.co/mp3-preview/85f3f2dc94472a054278ee67e083a052b1c20c58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Groupie,7eWvJuIlvYqYiFkk4fskN6,Casper Magico,1fux65HMCBvfJHqlBc4Nno,Groupie,20Ub0zPBVT9dg0u2gGxp0c,51,https://p.scdn.co/mp3-preview/a14c402c78cbdf8d027d91114732fd6a75f792ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Sims,7sJwGtoWgkVRwzujlyT3cp,Lauv,5JZ7CnR6gTvEMKX4g70Amv,~how i'm feeling~,2ASTOinfP52bAbWPzXmjYz,73,https://p.scdn.co/mp3-preview/6c4103a1d4ee6272c1f29f991a90d02c6bfe5275?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Stressed Out,5sxKkSfnuokdgfAsJ08Vk9,Babi,5nP79s99csrvcOiXTGjVfg,Stressed Out,0jvmYAsRBjICERla3LleHo,47,https://p.scdn.co/mp3-preview/51a2eec235365774b358de9f6a274551baabd1cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Cheating on You,0ClPIeT6MSgfSgQ9ZrJbAq,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Cheating on You,1cZNFKrwWK0PGqQFUspj3L,73,https://p.scdn.co/mp3-preview/d5a55ea557c5a06e1bf10abf93d4ec2a16b9f385?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Champions,3CxxCJdGx0ek10DwOWfIA5,James Blunt,7KMqksf0UMdyA0UCf4R3ux,Champions,0ESUlBLp4YSMMap5rQIhvt,59,https://p.scdn.co/mp3-preview/90e7c3f28856c064fac7abae8d1f1e7ff63fc769?cid=fa83a2fec7c440b7a2795d600d6b2c7e
