Feel Good Blend,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
89,Love You Anymore,7JEUg9KqmpdIE5Nbb9ss66,Michael Bublé,1GxkXlMwML1oSg5eLPiAz3,love (Deluxe Edition),68xKnVblFsSQ48CtgZT0oY,71,https://p.scdn.co/mp3-preview/d463db7cea7de9714d2ec9723a737352788aaa3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Africa,3ZPKocroJIcnHGcnJVlLKD,Weezer,3jOstUTkEu2JkjvRdBA5Gu,Weezer (Teal Album),65sHj9PvsbyD0uugGHjueN,68,https://p.scdn.co/mp3-preview/fd50e613eafb6f28e2f98da86e2667c4cd0bc167?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Love Someone,3id2EVGKc3eFAMn9nFnB0r,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,3 (The Purple Album),3r31ml7fFfNaoSSMH0sda9,71,not available
92,No Promises (feat. Demi Lovato),1louJpMmzEicAn7lzDalPW,Cheat Codes,7DMveApC7UnC2NPfPvlHSU,No Promises (feat. Demi Lovato),6301sWkK7hVwcrhcEwKPcH,74,https://p.scdn.co/mp3-preview/eb769786f45b9fe4852d38b4db9e2b4774e8781d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Mine,7uzmGiiJyRfuViKKK3lVmR,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,COSMIC,5EEkfRgfYHiFu0lGur6Z6M,83,https://p.scdn.co/mp3-preview/139aec4c3e350d889e4f1108eb14654c3d70c376?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Want to Want Me,7oGZAicScQt96OAW4AruYy,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,Everything Is 4,59eUYETmE1zi31ESb3SUkI,76,https://p.scdn.co/mp3-preview/d0727e5bbaef36980bc20f5c5cccf3c757af7bb0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",1WkMMavIMc4JZ8cfMmxHkI,Justin Timberlake,31TPClRtHm23RisEBtV3X7,TROLLS (Original Motion Picture Soundtrack),65ayND23IInUPHJKsaAqe7,75,https://p.scdn.co/mp3-preview/8a0ad558d8c75abc3b5e320bc52f264f654eccbd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,Blurryface,3cQO7jp5S9qLBoIVtbkSM1,84,https://p.scdn.co/mp3-preview/0e0951b811f06fea9162eb7e95e4bae4802d97af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Counting Stars,2tpWsVSb9UEmDRxAl1zhX1,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Native,20lOt6G8MHv8ZO7ViOmiP7,80,not available
98,RAIN,5FieiCIIiHA3Njs2Vy9j8J,Ben Platt,6qGkLCMQkNGOJ079iEcC5k,RAIN,3BiKuQlctfuiwVlE0UuxPc,66,https://p.scdn.co/mp3-preview/05a42fe144db14485dc4d8487cff29fd76eb3ab6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Someone You Loved,5tuTbti933whvN0gyaxmyF,Straight No Chaser,1yQ8S4xdGOGbUcpaPR6hCM,Someone You Loved,34fkClMwxXRaAliKK9NTMb,40,https://p.scdn.co/mp3-preview/8858fec35fc071ce64f55e734f33dd6ab1e2be82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Bottle of Pills,4jfLuPdSrnXNmO7dJuKzmS,John The Blind,12U3blX0ilxf0tnejqPDYD,Bottle of Pills,456S9zdBNYA2o06IcQM6UW,43,https://p.scdn.co/mp3-preview/b51d112f3218ac69a95f61a8d3c769f8a2301613?cid=fa83a2fec7c440b7a2795d600d6b2c7e
