Feel Good Blend,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Over You,2rF2dht1UkYFPpJ73w0AU6,The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,Miracle Pill,79gY3R2V5HcDbnrMp6wuVP,59,https://p.scdn.co/mp3-preview/8473f35f98b4eb48c73fb19f22271f64423e6e7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Manic Monday,79NYdkxwgObli2soXJovYH,Prince,5a2EaR3hamoenG9rDuVn8j,Originals,1X1So5oX4TCFGdK6BN9UXs,45,https://p.scdn.co/mp3-preview/743c56c1db655c0a1224b78ff1f571ecc70f5e12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Another One Down,5YPyp1Xshf0JpoAQ7iagns,Richard Marx,0grdhNhiRLFBaFVyybqsj6,Another One Down,7amoi3AjgTtQqybl8VsAvI,43,https://p.scdn.co/mp3-preview/fc33e312a6433c5b3b42b9d2bc520303a813e454?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Lucky Stars,0pOLUfbKdbPl1HjTw3xbZY,Busby Marou,4ETXyV9H1p2P1XYgXXTjiO,The Great Divide,7csjD3dBWReZZ7xkSWA03D,40,https://p.scdn.co/mp3-preview/9e7c8d0c292f7ea6e4e81c5281c32692ec801ab3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Locked Out of Heaven,3w3y8KPTfNeOKPiqUTakBh,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Unorthodox Jukebox,58ufpQsJ1DS5kq4hhzQDiI,79,https://p.scdn.co/mp3-preview/c647489f28d840b545b90e10067012f504dc7b68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Boulevard of Broken Dreams,5GorCbAP4aL0EJ16frG2hd,Green Day,7oPftvlwr6VrsViSDV7fJY,Greatest Hits: God's Favorite Band,3id4t9IqRoB1f1smOERtrY,75,https://p.scdn.co/mp3-preview/4cca71d6143e48f9c2e1420ce743986a45fe6dbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,I Don't Care (with Justin Bieber),5Nux7ozBJ5KJ02QYWwrneR,94,https://p.scdn.co/mp3-preview/40d2bf0a16b4a4c7e5747a57943f9c0bbf5bc5ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,123456,6XD28jsvrkE2XZg4btfcIg,Fitz and The Tantrums,4AcHt3JxKy59IX7JNNlZn4,123456 / I Need Help! / Don't Ever Let Em,1qmkBYXtUz1fCdaMTP5MFN,57,not available
28,She Will Be Loved - Radio Mix,4llK75pXNWZz6KAho2Gp16,Maroon 5,04gDigrS5kc9YWfZHwBETP,Songs About Jane: 10th Anniversary Edition,5zClcGCSWj926AMjvBNSLc,81,not available
29,Am I Wrong,1fidCEsYlaVE3pHwKCvpFZ,Nico & Vinz,0awl5piYwO0CDTHEkCjUhn,Black Star Elephant,6zXb9FQMzawvY2Au8Kxky3,72,https://p.scdn.co/mp3-preview/9ecf91e6cfd4a85b9f9600772bf6d224e051e052?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Broken & Beautiful (from the movie UGLYDOLLS),1Y9cAYTmyWJCcmfqdG2I29,Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,Broken & Beautiful (from the movie UGLYDOLLS),5UHs9Jq0Vy5E3eUdkgcZvj,75,https://p.scdn.co/mp3-preview/d0cd9ed365c0005fc0f5054f868ca92da4fff856?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Good Times,6AIVaLqiqHSMZ2Cc5IvIc3,Cara Hammond,6kVzFxVpG66n3Tw4fVIM4F,Good Times,698iNCyi1BWte3CQqOjkkv,39,https://p.scdn.co/mp3-preview/03bdb561de8b3ae38c7a97f8c78daf73e42c1c61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,x (Deluxe Edition),1xn54DMo2qIqBuMqHtUsFd,85,https://p.scdn.co/mp3-preview/097c7b735ceb410943cbd507a6e1dfda272fd8a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Firework,2nWaThHB7qrp5F0REm7iwz,Katy Perry,6jJ0s89eD6GaHleKKya26X,Teenage Dream,5M7EJimG9PfuS5NEOIux3t,48,not available
34,You Say,6Up545NUflOiXo8cEraH49,Lauren Daigle,40LHVA5BTQp9RxHOQ9JPYj,Look Up Child,6pmoTLfsPpn0wisT3YFJSN,83,https://p.scdn.co/mp3-preview/3af292e58be8ef42836922174a85571a24ab7937?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,ME! (feat. Brendon Urie of Panic! At The Disco),4Sib57MmYGJzSvkW84jTwh,Taylor Swift,06HL4z0CvFAxyc27GXpf02,ME!,0WGakTFs8cnggcYsHjIhgy,46,not available
36,Nothin' on You (feat. Bruno Mars),59dLtGBS26x7kc0rHbaPrq,B.o.B,5ndkK3dpZLKtBklKjxNQwT,B.o.B Presents: The Adventures of Bobby Ray,7apLPYT8szV1IqTxyVSy5P,72,https://p.scdn.co/mp3-preview/cb93cd5770a3ff6824d8cfcb7e743c9be99c0246?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Supply & Demand,09PIYploijfke8kPiVVoJV,Wilder Woods,26DytDdxKgr9N0tdrBSLs2,Supply & Demand,2IwPbScfxhHIqbz2SxjVVX,26,not available
38,"Lookin' Up (From ""Songland"")",4fVYcnRgjeO1pMqm9FolrO,Max Embers,11O6zlvW2ifkhcXjOpNrhE,"Lookin' Up (From ""Songland"")",0r2d7A0TniE1KClj7FXWD8,47,https://p.scdn.co/mp3-preview/713996d4f53f5a4ec9e3d2a14bf19799bc434be1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,One Less Day (Dying Young),2K42Wx45XMrRpZULKogNtE,Rob Thomas,3aBkeBhwadnWMWoVJ2CxJC,One Less Day (Dying Young),4yPrJ27VPxbHohQ2Djy41T,29,not available
40,Castle on the Hill,66qlqxhEMpSHOzjRK4il0b,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Castle on the Hill,5YnGwVQx2OQ4CpcQeVDthP,66,https://p.scdn.co/mp3-preview/beb4ed48cca5d2a792e877c7efe92d54046eac67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,My Own Hero,1C0sxTCgfuTl5MDLJqGmii,Andy Grammer,2oX42qP5ineK3hrhBECLmj,My Own Hero / Don't Give Up On Me,6fHV1IXZ4rUzaEKFsq5p3w,33,not available
42,How Long,6wmAHw1szh5RCKSRjiXhPe,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Voicenotes,0mZIUXje90JtHxPNzWsJNR,77,https://p.scdn.co/mp3-preview/0dc00d9cdee8c916782feb2e6fc89d82910aa019?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Always Been the End of the World,0usp7mJCNcjfkI0GlVaV6J,Patrick Droney,78Rk1F0jGdipWWfrhyWwt3,Patrick Droney,3tdnCuYNUXbWjeTEfFFZ31,40,https://p.scdn.co/mp3-preview/b0c1afa48cbbd82bd34cbbfd21e73c15a8c0c2a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Woodstock,4VzzEviJGYUtAeSsJlI9QB,81,https://p.scdn.co/mp3-preview/c32d9479367a99fcf5f881e23e1381e6f87214e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,More Than Friends (feat. Meghan Trainor),03VNgdCL9t8aPyvwZecglI,Jason Mraz,4phGZZrJZRo4ElhRtViYdl,Know.,7dwIWyB2jdJgL3P2JEgRKm,63,https://p.scdn.co/mp3-preview/6daf9bab89c44d09983507b0d1689548dfa3db30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Right As Rain,5V5fVBKPL2JQzCXj0IOD5F,Collective Soul,4e5V1Q2dKCzbLVMQ8qbTn6,Right As Rain,3x764n4WAk2yWtIuiQ3vcv,31,https://p.scdn.co/mp3-preview/de3ed000f25b0e885a9533229042b186a3b8876d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Delicate,6NFyWDv5CjfwuzoCkw47Xf,Taylor Swift,06HL4z0CvFAxyc27GXpf02,reputation,6DEjYFkNZh67HP7R9PSZvv,76,not available
48,Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Sweet but Psycho,7CdLU3GgPy1PH5FVsrPlyA,89,https://p.scdn.co/mp3-preview/9772598a67666a9b7184926c59fe15b9574c7e46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Happier,78EicdHZr5XBWD7llEZ1Jh,90,not available
