US Top 40,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,boyfriend (with Social House),7mUTNN05gzFc7SAzknnljS,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Everything Changed…,3lltPqseSLIBK9qpjksFkc,51,not available
21,Dangerous Love,3E22O5YIMAXgnqNGJ2b85J,Justice Carradine,4lmyGbhv14PwBGEZmjVyzU,Dangerous Love,2NPM6xI2P51LVQ5oyrZqtF,43,https://p.scdn.co/mp3-preview/9358243a3b4f85ccba495c3f64acf4a8a6e5576d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Lover,1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,1NAmidJlEaVgA3MpcPFYGq,92,not available
23,Slide Away,44ADyYoY5liaRa3EOAl4uf,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,Slide Away,0SHGFAL8WZUvpWb5iLPp6E,90,https://p.scdn.co/mp3-preview/0cff2bb99981e4c697a584cbac6f5225d08a1e3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,The Git Up,5dW1VZPcFqB4n0P08rGDgm,Blanco Brown,3yzRiNMZdTsSUgplcyYZ4i,The Git Up,00xSEAMEAPTF17t2rdOFYF,87,https://p.scdn.co/mp3-preview/bf19add55f2da6c1095f0d2a5fc47fdf0c6c0634?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,The Bones,3npzogdOEiVsieXmmhBepL,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,GIRL,5QakU0QMcoxjjyCS1YW4G5,82,https://p.scdn.co/mp3-preview/fc33627ba3c42dbabe573a25fdc467375df2d7f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Torn,2GdxQw8NwoeH8tKySg6nym,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Torn,6a6Dy4LaFvh43Ed5lomDEd,80,https://p.scdn.co/mp3-preview/1ff3cfa3fc477d266958ba7a0dbbdd0e287f9b93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,all the good girls go to hell,6IRdLKIyS4p7XNiP8r6rsx,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0S0KGZnfBGSIssfF54WSJh,87,not available
28,Graveyard,6V9fHiv84WlVTg7CSnIVY2,Halsey,26VFTg2z8YR0cCuwLzESi2,Graveyard,66QwiCFDLtRbrZ5Vs9wlL9,91,not available
29,Only Human,0DiDStADDVh3SvAsoJAFMk,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Happiness Begins,1Uf67JAtkVWfdydzFFqNF2,88,not available
30,One Thing Right,4hPpVbbakQNv8YTHYaOJP4,Marshmello,64KEffDW9EtZ1y2vBYgq8T,One Thing Right,4QAC6FquY8D0RXom13iE5J,89,https://p.scdn.co/mp3-preview/86a860d6266e657a2a47b7c2266a9a98c1ba564d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
