Dance Nation,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,71330,topsify
1,Amnesia,7GBiEPnY33o1boPlWi7Pap,Crazy Cousinz,6VXB0WH4MfmhZyongoEYZr,Amnesia,4Bn1VP4XVpMIuWRg3injQ9,58,https://p.scdn.co/mp3-preview/423b888cc2e1ab296c92230d40884ae61e88e025?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Sorry - Ten Ven Remix,3INSPxzDjflPlat1D0QXk8,Joel Corry,6DgP9otnZw5z6daOntINxp,Sorry (Ten Ven Remix),4ns5igSCRm6o0ibUwbcCj9,45,https://p.scdn.co/mp3-preview/71cbfc7f0b5c21eccded6ece181caf594a9aaa9d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Sweet Dreams (Are Made Of This) [feat. LIVVIA],2iNzgaya6O3kNKZ58pAva1,Dexter,3Z0otmc2wMAPGElrQaWGql,Sweet Dreams (Are Made Of This) [feat. LIVVIA],7BPF22SPhqOktosXj5N0Z1,36,https://p.scdn.co/mp3-preview/c48d2c0bf6ee5d4bcfd61b6568690976f5a149ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Higher Love,6oJ6le65B3SEqPwMRNXWjY,Kygo,23fqKkggKUBHNkbKtXEls4,Higher Love,4wquJImu8RtyEuDtIAsfcE,92,https://p.scdn.co/mp3-preview/a74efdaa12f708673a14fdf67bfb6ec365d8ebf0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Take Me Back,2HQb8gTiNfVkwCxLNkhHJO,Coldabank,3JOvRLynmP4mA6dvlWARoA,Take Me Back,5PunbldroWOHqyqAM6jSaa,58,https://p.scdn.co/mp3-preview/33c28c431604d1c772c2dd3c247f86593663830d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Feel So (feat. Fiora),4TFDeBqHM6jvbqAi2DAtlv,Zeds Dead,67qogtRNI0GjUr8PlaG6Zh,Feel So (feat. Fiora),4B6iuOdLe6gtG29Cmi0yVU,59,https://p.scdn.co/mp3-preview/23876938403f8b1ae047820857431095aa120532?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,God Is A Dancer (with Mabel),6fenHIxXuuzKB55wY4WCHP,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,God Is A Dancer (with Mabel),2T0NPRcdhIt71ifDWm328R,82,not available
8,Higher,7E0UqLtjH5ipLhkX3bCCuK,Ally Brooke,6TXM1kV4L8DsDAkAfbOPYk,Higher,5peCrBl7RlaO4qDdxAaBON,68,https://p.scdn.co/mp3-preview/f2e8a878bc46b3c355781ee5d8fa1a89e4bfdc6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Magical (feat. ZOLLY),4l6OKWmMQVeFGY4xzRQ3HH,Cassian,1ChtRJ3f4rbv4vtz87i6CD,Magical (feat. ZOLLY),0gxiyZOllwECoNLJEztQx1,40,https://p.scdn.co/mp3-preview/a12c44356a20740183a727450ce1c76665daf214?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Holy Water,7Ga9ZSdPAcQXQvd1ObVFpm,Galantis,4sTQVOfp9vEMCemLw50sbu,Holy Water,18C3JLfjKrkCKZubEhqJuw,72,https://p.scdn.co/mp3-preview/c2c54ef611015334a3a315ba8352365bbfaf9877?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,19TOAlTFq0NDHvUPQR0tkr,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,South of the Border (feat. Camila Cabello & Cardi B) [Cheat Codes Remix],3BjxjIkTZKUpeZ6n5MYMNx,74,https://p.scdn.co/mp3-preview/b823ea3fbabf8808b8680c0c2d397d237408fbb4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
