Study Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,10815,topsify
1,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,92,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,These Nights,2n0oy8RGDpy6WGcLImTteI,88rising,1AhjOkOLkbHUfcHDSErXQs,These Nights,2ZHGnhsomLmLezueESi9ou,71,https://p.scdn.co/mp3-preview/ba3665499461dbe4f22bedef1b7f2d4941777cb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,TALK DEEP,6RMvf7OCYYSw4x2K8UakDt,E^ST,7ASucWaI33cepJbo74Hlo0,TALK DEEP,6QSypClxqJS7M5fhLSbuK7,47,https://p.scdn.co/mp3-preview/ba5f78511fefb247a0f921495adf9bb3647c55d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Too Late,0jJh7G9WoDs08pVwyJOQpP,Conor Matthews,5iWU68xnsNiacwbt1fYEcq,Too Late,6RWh5ZExJBlcsyOM3iz5Md,51,https://p.scdn.co/mp3-preview/cdeeece1ef735a12dde8ab52732cd304978eb794?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,When The Fires Come,5dC2iwkAdIQir40oJ1Ck82,Kero Kero Bonito,6OqhFYFJDnBBHas02HopPT,Civilisation I,4NPyYcu2uggCCGwAq23Lej,41,https://p.scdn.co/mp3-preview/453da9c931b8332c21600bea2c537ed103a57995?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Used To,6ZZ4frD36r7ce76iqYSWO2,Hartley,7DpaPZ3DnHnTUl5mtFKv4U,Used To,2B48i3psNlhR1LGpULv5pD,46,https://p.scdn.co/mp3-preview/2ea4de6afe9a7cbd2057aa45c34ff45845172b27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Wonder,58SVvEQLhZib0Yf9n0vVzO,Phil Good,3MDqk7o9WcL4FSvlyyGjRv,Wonder,4JtJgdShVX1cTy9Jfon0BV,46,https://p.scdn.co/mp3-preview/78766be2d610374993dcf425177f8598af18e142?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,The Least That I Could Do,7B0agS1sIVLUGYG5oVHZ3V,Plested,2nJYGgfTf2846LtVB3AES8,The Least That I Could Do,1lQkmbE6ix1E4uUhrselp4,52,https://p.scdn.co/mp3-preview/bd7efaf365f08d2c198e7a2ed833fdb1e374e3f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,wildside,6nq7PXZg3mPTAr53yjoflq,Baby Ariel,3ggXjUaLzPuY775WFABpXe,wildside,5OuCmkL9rJOYUPWf8uThv4,51,https://p.scdn.co/mp3-preview/85feb2e6285bf9bb0e317ba3cc6e621f98b308ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Walking (feat. Swae Lee & Major Lazer),1qbXrxctv75pm1lWCn6Zw3,88rising,1AhjOkOLkbHUfcHDSErXQs,Head In The Clouds II,7bOpX6Ilc9UCFmH9uGyUDy,68,https://p.scdn.co/mp3-preview/1e8690bcd59b8023a5f09f1864e792d9958f844f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,My Boy - Edit,0WguORZMIHRuKEyXnzOioL,R Plus,0lnAZ68xKGysVy084bTQmh,My Boy,6QTWDp9lo8zn2iTVRO9iAd,38,https://p.scdn.co/mp3-preview/ba5eecffbc0b26b01ac36ec7a4e7d90744232ffc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Didn't Break It Enough,7zAPuRyZGRLPSGNnaj1H7X,Griff,5RJFJWYgtgWktosLrUDzff,Didn't Break It Enough,2Zd8vhZtRzFkNWe2GQrc1v,52,https://p.scdn.co/mp3-preview/1878b12a3b57fad627d4248e67e562c956516eec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Bad as the Boys,3e20HtdIlujFpeaM20nAmN,Tove Lo,4NHQUGzhtTLFvgF5SZesLK,Bad As The Boys (feat. ALMA),00oyXQOmH0MJIVcvDDx70m,68,not available
14,Sorry (Acoustic) [feat. Hayley May],28FY7O241klK8bFgz044xl,Joel Corry,6DgP9otnZw5z6daOntINxp,Sorry (Acoustic) [feat. Hayley May],2kGsVlDbwMfVKUvK7aVCOY,39,https://p.scdn.co/mp3-preview/026d0cfa360cab90be01111ba7ab3b561397310d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Charlie,5Z69nqYhcktzSRDIBA9JvS,Mallrat,4OSArit7O2Jaj4mgf3YN7A,Charlie,2sf7N2WKAzMKlpPn0JuYbj,59,not available
16,Feels Like This,53Wsf11ElpPr1WAGtRQlcx,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,Dressed Too Nice For A Jacket,1ziE8y7wGzDY0PDgoDXKwF,69,https://p.scdn.co/mp3-preview/9efcda13ed65c89faf84d4d812576d2b089b098e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Closer To You,3r2TFFPynN97CgmzXKal5X,Clairo,3l0CmX0FuQjFxr8SK7Vqag,Immunity,4kkVGtCqE2NiAKosri9Rnd,63,not available
