Urban Throwback,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,4087,topsify
1,Get Ur Freak On,6zsk6uF3MxfIeHPlubKBvR,Missy Elliott,2wIVse2owClT7go1WT98tk,Miss E...So Addictive,20t54K6C80QQH7vbcpfJcP,73,https://p.scdn.co/mp3-preview/377a872a710350a8aa969597d4a5a9979fa37d54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,What's Luv? (feat. Ja-Rule & Ashanti),2mKouqwAIdQnMP43zxR89r,Fat Joe,3ScY9CQxNLQei8Umvpx5g6,Jealous Ones Still Envy (J.O.S.E),6vMgb2mih3pPiWUxF8VEdI,74,https://p.scdn.co/mp3-preview/1ab4e265221ece1b9a6ba722d1430bd070825221?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Scandalous - U.S. Radio Edit,3stnrhzN0lzZFskbaZ5sEw,Mis-Teeq,6csA2rxNLkQJXeEa7lyGXn,Mis-Teeq,7fw8rAhWi3UWw92jgemhbZ,57,https://p.scdn.co/mp3-preview/a5e3f191b0d4c82f180ee64746e4cf472ed3cd33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,American Boy (feat. Kanye West),41on8RwRh22IHcChAN2gm8,Estelle,5T0MSzX9RC5NA6gAI6irSn,Shine,4nAIqmKELnBEXEkYg1pMic,21,not available
5,Roses,6bUNEbXT7HovLW6BgPCBsb,OutKast,1G9G7WwrXka3Z1r7aIDjI7,Speakerboxxx/The Love Below,1UsmQ3bpJTyK6ygoOOjG1r,73,https://p.scdn.co/mp3-preview/b451e1a37d16658c39c5d4e3583ab9f223f21279?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Feel so Good,7hfRrdFJgFKK3cJ4rmkecE,Mase,1wiBLzTI7z9RUwEpNPdFT6,Harlem World,21YtqAiqXNGuvWNBS0JvOy,66,https://p.scdn.co/mp3-preview/555687cf1db6af866ba108904b14c108ea73b374?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Hypnotize - 2014 Remaster,7KwZNVEaqikRSBSpyhXK2j,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Life After Death (2014 Remastered Edition),7dRdaGSxgcBdJnrOviQRuB,77,https://p.scdn.co/mp3-preview/d4552da84ff1f275ebaec056eb714fba1fed6fbd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Low (feat. T-Pain),0CAfXk7DXMnon4gLudAp7J,Flo Rida,0jnsk9HBra6NMjO2oANoPY,Mail on Sunday,5j1wrOAOm5KFd17pPiSvle,80,https://p.scdn.co/mp3-preview/dcddd0ebee02d9142b39d092c823f88201547b7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Me & U - 2016 Remaster,3sqBoIyTrTaf7vSK5rgVvy,Cassie,27FGXRNruFoOdf1vP8dqcH,Bad Boy 20th Anniversary Box Set Edition,52TqKxbJkOBsbjKxlKgLwu,33,https://p.scdn.co/mp3-preview/8af0f71672e8943957afbd5a715e2eab03ab11ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Say My Name,7H6ev70Weq6DdpZyyTmUXk,Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,The Writing's On The Wall,283NWqNsCA9GwVHrJk59CG,78,https://p.scdn.co/mp3-preview/26cde6756e631b05cb8b83e99bec8eac00980073?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Come and Talk to Me Remix,5xE7sFTlv2yrG9mmhDSpdq,Jodeci,1eNkUXHPaXyuyC8NAgzykK,R&B Hits,5Bp5PZqYJ9tiz0Hf6lOD5Q,61,https://p.scdn.co/mp3-preview/6c3bfa482e034468851260335a1ffa813ee12fae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Dilemma,18vdhCWxqPohnPwicDi3Xr,Nelly,2gBjLmx6zQnFGQJCAQpRgw,Nellyville,1kh5XByhI0DDWV7m9kddr0,62,not available
13,Replay,4E5P1XyAFtrjpiIxkydly4,Iyaz,5tKXB9uuebKE34yowVaU3C,Replay,44hyrGuZKAvITbmrlhryf8,76,https://p.scdn.co/mp3-preview/409a5fc7b41354e36172a0c0197f9d3298d31141?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Beautiful Girls,1hGy2eLcmC8eKx7qr1tOqx,Sean Kingston,6S0dmVVn4udvppDhZIWxCr,Beautiful Girls,71clfVkkopYLrgweVj2cow,78,https://p.scdn.co/mp3-preview/149a2a28b7acbe31096d9f3cb4618ef08926c8b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Whatta Man (feat. En Vogue) - EP Version,52FpkyImUt9LDI9mCWDryr,Salt-N-Pepa,7wqtxqI3eo7Gn1P7SpP6cQ,The Very Best Of En Vogue (Digital),6ABqEktNUuYULXWUubkHKg,49,https://p.scdn.co/mp3-preview/c1a8ba360f2afed3e1f3ea6272af3bc13a0d7eb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Peaches and Cream,2SLZ2rX5773RS16mcqBxG7,112,7urq0VfqxEYEEiZUkebXT4,Part III,6QlbqTqKJt1UnuH3PLz9mb,68,https://p.scdn.co/mp3-preview/24735540544ed7b6a00866a330177b444cbb43bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Got Your Money (feat. Kelis),4YAH0VsqkTacLE14OjhJKh,Ol' Dirty Bastard,50NoVNy9GU1lCrDV8iGpyu,Nigga Please (20th Anniversary Edition),6PK5k8o9WRXle3xq12NRRs,30,https://p.scdn.co/mp3-preview/0d2dc14402b6d3f71b3e429bab96c107d8ddb9af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Always On Time,4hrae8atte6cRlSC9a7VCO,Ja Rule,1J2VVASYAamtQ3Bt8wGgA6,Pain Is Love,2wMavIKnu6feFNOeQ1hVwf,74,not available
