Global X,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
79,Power Rangers,5FX6roFt99Mz2erVg8t5sN,Teni,3ukrG1BmfEiuo0KDj8YTTS,Power Rangers,3914O6BDznBFmEzp4Ecgn1,56,https://p.scdn.co/mp3-preview/b824a41e4f76a221cbf672d4fefcbc9967affe09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Prolongation,4cprICSNuzvmGWi8Ayng71,DJ Babs,0DrzKyq66BJLP9V5IjiE4d,L'architecte,0EeRCGA8p6VZxkkXNOSrDR,49,https://p.scdn.co/mp3-preview/447b8ac7fa0929bb2a77f2932d6f01dbc10d13d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Side Effects,1BiXkuVBXz9IzP7210Zo9I,Stray Kids,2dIgFjalVxs4ThymZ67YCE,Clé 2 : Yellow Wood,162XZSDZpr559n4iyLy8m5,71,https://p.scdn.co/mp3-preview/c38810355f0c3dc83f691a67db177ef2055b5237?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Daru Badnaam,2TzyJEUfWHGRsk3r6Emvbk,Param Singh,5VcLs7XsTFlhhaW3I4i4gC,Daru Badnaam,5KLNI7nhEUDcxF0sGM0f0w,60,https://p.scdn.co/mp3-preview/a29917bd83bcc182582f4c51a847129c711ed2e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Dey Go Hear Wehh,4b6Zzbix1bBdsGp2FLMKU0,prettyboydo,76qtJqxLY1aXEPHxAJui7y,Dey Go Hear Wehh,5hRID0ZcAEruxKV3p78Rqz,41,https://p.scdn.co/mp3-preview/49f0b6970bd6704fc8cbda0d45c37fd9dbab6570?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Khapta,6stxV2bl7xSiPUornxwyNR,Heuss L'enfoiré,3YwqjMyrRfuixi2pbgTGCE,En esprit,4YUEcV66XwylhSNJI51ABq,71,https://p.scdn.co/mp3-preview/a984c19898d522f8ed1adb9e476f55d58dbe5bce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Xcellent,47W7cZn38qScnlk3QaP6Wt,Walshy Fire,3yJLZoq3Ra2VmSW5teVgih,Walshy Fire Presents: ABENG,2HHdP3gQGgcNGpHdGbwFoO,2,not available
86,Uh-Oh,1OBb2wZMXKNmtdyyejLIyL,(G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx,Uh-Oh,3PzrNuMGWGpp8WOfrmpkaU,73,not available
87,Twisted (feat. Logic & A$AP Rocky),5xEWiG0ug0rOymOjlzSGzx,French Montana,6vXTefBL93Dj5IqAWq6OTv,Twisted (feat. Logic & A$AP Rocky),7rmnGDfffE9OoCScZ4pjjU,68,https://p.scdn.co/mp3-preview/2f7e185f49682ce653a78546e40667a69b3f8d5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,JA ARA E,6pdip6qgVJOI5JxqgbAlu6,Burna Boy,3wcj11K77LjEY1PkEazffa,The Lion King: The Gift,552zi1M53PQAX5OH4FIdTx,68,https://p.scdn.co/mp3-preview/2453ddc5b6b5a4c14ddf48751c6b462fa80c6126?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Ana Gheir,3LTkPjZBzAHEMOzZdQGPDr,Amr Diab,5abSRg0xN1NV3gLbuvX24M,Ana Gheir,5GERnHqhdOn9Uaobc1HJwW,51,https://p.scdn.co/mp3-preview/9fc810d81482400e5fbfadb33b8711b1df124ad0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,MY POWER,7ia5l12mCvbQTeAnG1oYpg,Nija,7f9KxQWD88MZrSY6jc0zoW,The Lion King: The Gift,552zi1M53PQAX5OH4FIdTx,64,https://p.scdn.co/mp3-preview/0e7501b6bd6c4768201c01fb29d24c4a37391e28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Extravaganza,5grN6LdJCBlTUd9Oid2tvW,Sauti Sol,4Rj9lQm9oSiMlirgpsM6eo,Extravaganza,5AwtoTgmALxYhTJMDYy435,43,https://p.scdn.co/mp3-preview/94eeab50f51683878e156d21478001b0b7a8c169?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Bijli Ki Taar,7n3F6cf7hCWQHpG25O10d0,Tony Kakkar,0NZtn1Kyq08alpHCTRf3dv,Bijli Ki Taar,1WdrJN74pkkEcUOogfpZVL,56,https://p.scdn.co/mp3-preview/2c83b558a746e8c5ac465e6649f2d86c2470049f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Anybody,4cyUTdVRJNxjcI9W4TezDW,Burna Boy,3wcj11K77LjEY1PkEazffa,Anybody,5DPMC3g3iWqpWFzg7NoIG4,51,not available
94,KEYS TO THE KINGDOM,3KZK9MF3bAixN5UWOHVTbf,Tiwa Savage,1hNaHKp2Za5YdOAG0WnRbc,The Lion King: The Gift,552zi1M53PQAX5OH4FIdTx,64,https://p.scdn.co/mp3-preview/328f4d77d9d5a2f9d3d640a0bd4471272bd85a49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Schau mich an,1Fq1tWIG9oZAcvECPe4e4J,Fero47,4A7HeXSd4HtQuf6IR5XZ1b,Schau mich an,5hNbxQ2iEJ09MaY9SEERdh,48,https://p.scdn.co/mp3-preview/b2133ac481dc8a4bb394c30c2fb74f964e7919c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Pink Youth,2WwwfnTUm4yUK8stRMPd7V,Yuna,3kHVioJpVxlazAAKQ64pC1,Pink Youth,52lWZNXWoJMWFNPmXdAWz9,56,not available
97,Nazanin,76cndubwAE1yFNxyY8EGwO,Tohi,7pBXdJN9S9N9nNifjPixET,Nazanin,5yVtRgKO68p3P55OR2xB2A,38,https://p.scdn.co/mp3-preview/7cea1a4daa8aa5ce5337125c5732e3716f190db5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,What are you up to,0y2tNViyMIGWO0vhNVQaj7,KANG DANIEL,5vGoWnZO65NBgiZYBmi3iW,color on me,1sLN2NCHc58Dkl8hbSZfzb,67,https://p.scdn.co/mp3-preview/fd194d4353194a069c6972c3d02cc656d4406f26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Glow In The Dark,0kmxWw7KjktV4V1ZpbOeru,Skepta,2p1fiYHYiXz9qi0JJyxBzN,Ignorance is Bliss,22zpCX6Nb9ppOVklalvGec,59,https://p.scdn.co/mp3-preview/890d620e873e688ca1d916fc8fd1ea67ef842e0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Goonda Gold,2lTPo3JiJiXif3j98ZmjJ1,Cartel Madras,3nwKi37CnuKq5BcPr267h3,Goonda Gold,4DRUEAIxj6mu0i5tiVwXOV,26,not available
