Global X,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
48,Akwaaba Ayiti,2mHFa8yfcSVuKkt45tKUJ6,Michael Brun,1HcAkAeL4xf02wzAnl7mIV,Akwaaba Ayiti,48hL5fPJUwIEtsYd6Z7s6B,47,https://p.scdn.co/mp3-preview/6b7be87bfedc4fb09098848db4e72283ea322273?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,BROWN SKIN GIRL,0B3FovCVaGKS5w1FTidEUP,Blue Ivy,3XV0lFzNs8BCTwhJTcMiBr,The Lion King: The Gift,552zi1M53PQAX5OH4FIdTx,77,https://p.scdn.co/mp3-preview/919c83819c5bb9a0097635dd978f9c74135a9cc2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Ela É do Tipo,2x8TNY9KwNvD19gVGs4WOP,MC Kevin o Chris,2UMj7NCbuqy1yUZmiSYGjJ,Ela É do Tipo,1hG0rwH2mYAzpWhGEYBRS8,78,https://p.scdn.co/mp3-preview/7a1fa5f0d4a555e69418c3d7180f7fe38a49e59a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,What a life,3TfLZodlQ1TzNpdrc4KXR5,EXO-SC,6741jcSlgsv0M3B4ruIPS5,What a life - The 1st Mini Album,60dCcEJcX0TamOud2jS87a,69,https://p.scdn.co/mp3-preview/dccdfb6233fe7ba4d789655dd2d5a4aa3fcb5f93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Señorita,5x4kz1Da2r0Lw2h4ugJIrq,Fadi Kod,5C1qy89UpKMP1BQDAMhtF8,Señorita,7kKPuJRGm1qsPwYiwDIamg,52,https://p.scdn.co/mp3-preview/4ae7b117b7cc439a7c00272411aa13296fa9f313?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Perroquet,0yf9wOELI6Nzzqn0FURpPp,Marishal,3JwSZs6bIRe3xNvWDql7YJ,Perroquet,0ioRGeIkd6XYlMIHGJZmfr,38,https://p.scdn.co/mp3-preview/6f9a3c308d6fe671ecfd8707bb9ea9db97775d7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Estoy aqui (feat. Amara La Negra) - Radio Edit,3qBMt72cO4k2tIn5SRVYin,MC Fioti,2W6kbe0nm96COrHzNmfLLd,Estoy aqui (feat. Amara La Negra) [Radio Edit],7klOBKQJFCZUSTL4u5HSmG,56,https://p.scdn.co/mp3-preview/e2321681f6dd497d1de9dae449ad292b4e4734b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Ello Baby,5zN3hyqfKLYMZ0VGnBvahT,Tiwa Savage,1hNaHKp2Za5YdOAG0WnRbc,Ello Baby,4ReAUEHOS4yJSnTjiYQdyf,53,https://p.scdn.co/mp3-preview/7961f39050db39fddbdf765bfefcbe4a5e93f54e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Liar,5scse2pEzUWzbcleDSJ29o,Tolani,6ILYtYSwIa2Aygcqr8PTds,Liar,1Sn5yLukK2QIzzj9cBixle,49,https://p.scdn.co/mp3-preview/63820a3fcc1acd395a8231086f409022bd9f28e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,One Night,0tOV3Qn8pB0QyVA4ycsgu6,Hollaphonic,5MOWxZWdW3Hi4IPyyRrRTi,One Night,3xPYFXvlOMWfgpgAqNUTO7,45,https://p.scdn.co/mp3-preview/ded5c591d2b71b03780a5526dabbf349c81406ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Open Fire (feat. Busiswa),00X3BV84d52AMLuHC3bjvY,Patoranking,2hKQc001G7ggs3ZyxMdkGq,Wilmer,4nMoBj5wMHccOCYB62ipcc,46,https://p.scdn.co/mp3-preview/f5a3053d6b4e2c91c4a4ef6817d8559eba937933?cid=fa83a2fec7c440b7a2795d600d6b2c7e
