Mujeres del Indie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,118551,spotify_espa%C3%B1a
1,Pinamar,6K98GWDNC9Q9Q28uhNjOCM,Daniela Spalla,2VSRhqonKsL7KRAIk8SMmt,Pinamar,5W7fMvZVn8kdy3imSF4C2k,45,not available
2,Ya No Se Trata de Ti - Acoustic Version,06BoeYC2jAEvEJXYhV7PCX,Francisca Valenzuela,2piHiUbXwUNNIvYyIOIUKt,Ya No Se Trata de Ti (Acoustic Version),2ByrEsLdDXsKYqMXOqUUx7,50,https://p.scdn.co/mp3-preview/0ec09617e39b0572ba06240b6fe1758487a6b82e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Al Norte,67fUnCQc6m44QT3KnWzHZS,Silvana Estrada,72VywtXEoONiBLNu3ibGI7,Al Norte,2l4VdF6kbTeN26cG4c1cgk,5,not available
4,Monoambiente en Capital,1prdmkn7pO2S0FJChx0fN4,Zoe Gotusso,3XBw8ImFEo86mEB2dYh0vS,Monoambiente en Capital,1HjSFjgizVFIZ9c1aG9VC7,57,https://p.scdn.co/mp3-preview/8a657714f5e19f1464a1db3a5a2fc28a714dfdd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Encanto Tropical,1yInesqVBwMaW1xT4i0TPz,Monsieur Periné,36KsCCwgI0Dep97yVJWmkK,Encanto Tropical,65dDJHiGH66LQPEiLHKDma,46,https://p.scdn.co/mp3-preview/5ccfe7786dbb20e98aba7d8cabb101596998b86b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Vete De Una Vez,4avGqRWheA5WMIxaN72bNw,Daniela Spalla,2VSRhqonKsL7KRAIk8SMmt,Vete De Una Vez,4pP1N4m2FMr0taCYHJA0CX,44,not available
7,"Culpa, Tengo",4bKQUb2YadX9zaek1ngZKj,Elsa y Elmar,5nKGeITSNCVP76muyOlszy,"Culpa, Tengo",6ijb7bIlJEXCOrnMxTmVfX,0,not available
8,Sabré Olvidar,7CFmeHaFayBGxMRhbp42qB,Silvana Estrada,72VywtXEoONiBLNu3ibGI7,Sabré Olvidar,2Zk36BAZOIz89HUbPzJOW6,1,not available
9,Pa' Mi Entero,3XYRNTBQLpR8qZMJSptr8V,Marissa Mur,5kt4v3JNtP8svtTI8PDFOT,Pa' Mi Entero,5TbFBxS1BraUgl9d0pfzyp,37,not available
