Latin Jazz,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,344774,spotify_espa%C3%B1a
1,Condiciones Que Existen,6rKrh4zGSBCa7aFcyq5Gvo,Eddie Palmieri,2VviFtXYreO6Zn9n8Ibk6C,Salsa-Jazz-Descarga,4DRLWQNSmZ1rnoddSFwPG3,39,https://p.scdn.co/mp3-preview/b8f0d4b1615ea4f0da11a8da57d2e01b5a60e209?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Desafinado,4RAeL4OABP3aI9cu8iCXrF,João Gilberto,77ZUbcdoU5KCPHNUl8bgQy,South American All Stars (Guapachando),2e1EwQ14pZF7ompCZuaEMI,36,https://p.scdn.co/mp3-preview/e072f64b8533343708868ca55f6ace7f96a27a32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Pedro Navaja,7iQBflxrDWDvsIEDy8juLT,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,Una Noche Con Rubén Blades,3iptT1nxZTR7fX4Cf8KHbJ,46,https://p.scdn.co/mp3-preview/c867c36623e2cc0842322c6f39d6169e1cbcc196?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Sunny,2QpwAPgyuRCvL6fBEWvpUN,Negroni's Trio,6clJrNFd1xD5dzc9UzxW7C,Sunny,73Orqh8gNy6wgoCTTEN5Jd,4,not available
5,Como Traigo La Yuca - Live,4ZMlEw8pXvHuwQwem5kpGF,Chucho Valdés,27mRThsZ9K1BYmz0rioxwp,Live At The Village Vanguard,2S1w7Sc9NukidqKfpylJDX,43,not available
6,Home Cookin',5iHt2zihQWvVBGdPIR4dKT,Hilton Ruiz,7uUrPQUnxCoQusOAh5I0D1,Enchantment,3NaX3LlcZvDgsUoscFGOfY,42,https://p.scdn.co/mp3-preview/5977097c3c3a23c712aa2f0111f0fa8e786fcb04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Mambo Sangria,5M80uFtSW98fR3ykhjGPyd,Cal Tjader,3XOVABzceOUTbR3iEz0ImO,Too Late Now,0a4KBsjEsOeqeEFzQW8rhy,38,https://p.scdn.co/mp3-preview/8b919705c19f34e7fee51b62f429f83f075f2bc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Dos Gardenias,3Fn6K2roSmzhKzp5BBJKJl,Buena Vista Social Club,11kBu957KTYoAltZHDm8gW,Buena Vista Social Club,2Upqk0mMh9OMIVSj9F8Xzw,30,not available
9,El Cantante,62qut4QWc4SptIRYikqvBK,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,Una Noche Con Rubén Blades,3iptT1nxZTR7fX4Cf8KHbJ,42,https://p.scdn.co/mp3-preview/c84a6b2594b99d6bfa1d2094119e33c9c8af5076?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Chucho’s Mood,2VACXzUf5uOvheUAztmM3P,Chucho Valdés,27mRThsZ9K1BYmz0rioxwp,Jazz Batá 2,2qNItLdcFnSId2094fNe3A,40,https://p.scdn.co/mp3-preview/8f5e47d4bf6ed89fe7e69bec6046b2a9db6a7d68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Cuchifrito,3KL71OfzGjSeNeMfPQ4w3V,Carlos Henriquez,7jDk9ohezXq697Zz5X2KPI,The Bronx Pyramid,3tzUc7mPAuBZCWAM28Ithw,40,https://p.scdn.co/mp3-preview/74746a68451368a67874d059a5b6513a8dd3ec22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Agua De Beber,6B8ckWZ4p80Izvrqbywt0W,Sergio Mendes & Brasil '66,6hCsqVHnBo1BVQWuIjRMkL,The Collection,5dF8zBNO0jEBzv8BngOXC1,40,not available
13,Dig My Feeling,5sWCc28VBNY2kHMfZ7MqHc,Willie Bobo,74Dnr5flGLfLeyV85l0NUr,Dig My Feeling,0aFfSViYSXEcJm2EUWcCne,40,https://p.scdn.co/mp3-preview/2ca3fa30fd4de9c7190d4820efdc350932d07c7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Como Fue (feat. Bobby Carcassés),23DTCcj8R5BHYgsprq5ngD,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,Live in Cuba,2mLRfQqMxdiZSpUHnd0HKy,40,https://p.scdn.co/mp3-preview/b3d6a63cf0eefe21b217ec04fe801dec0e2e245f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Tres Palabras,492E26qWIhmnzthZye91v8,Bebo Valdés,3qeECzqe5c7ssusMaDdwbj,Juntos para Siempre,3KqVBTW2XNykZ5r1yRRjo6,41,https://p.scdn.co/mp3-preview/c0b2f27a256dc401bf2a068e59f8c7f4ecc45f55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,"Ay, Mamá Inés",5eeZItvyhs0zNAN17uDnPM,Alfredo Rodriguez,1dp5YyefJVa9mkiqa3s50O,Tocororo,1e2GBOtPyLu7iuNm4EvFKG,40,https://p.scdn.co/mp3-preview/f6bcb907224f744c5835fc43a91d12ff9eaa124b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,La Explosión (Instrumental) - Ao Vivo,1OmzzOmyVL0xf7pCkDyrAj,Irakere,2xbLfmO8N89nCiA55XsSeI,"Ivan Lins, Chucho Valdés e Irakere (Ao Vivo em Cuba)",2kfE5y7Q5cJTC7scuI9Tjw,40,https://p.scdn.co/mp3-preview/dee5c8ad14c39f486f234c57c5edb94b481aa679?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Corazón Partio,2YKpikIUrPvznHwdIimQX2,Arturo Sandoval,0MGQZNEMaEICyku3cSDrnJ,Ultimate Duets,28xn3zHQbQHtmAL8dptb4A,43,not available
19,Batida diferente,6IdTeV8TfNABByZ3bUEUV6,Herbie Mann,6ycoXr0Ayd89vFUT6BOiWo,Latin Fever,5LLQl89oz0vptV3tQefJv2,40,https://p.scdn.co/mp3-preview/153c450700a3f3cdc1fe9db17300c6bce861c3a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Lagrimas Negras,3fxPfBBMeYJQEzGT7oWVEy,Bebo Valdés,3qeECzqe5c7ssusMaDdwbj,Juntos para Siempre,3KqVBTW2XNykZ5r1yRRjo6,39,https://p.scdn.co/mp3-preview/a945056c3c7754845ef6d9132b950913c6d54744?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Águas De Março,3IvzsLgMv2eF5eSXoeP7Xm,Antônio Carlos Jobim,3pO5VjZ4wOHCMBXOvbMISG,Antonio Carlos Jobim: Finest Hour,1XkX9d8U5KCcD5DKEpMfOy,11,not available
22,Africa,54goL1KjbgwruLzJvdkgCn,Alfredo Rodriguez,1dp5YyefJVa9mkiqa3s50O,Africa - Single,7zjOH2EziEf8LP3wgGr519,3,not available
23,Linda Guajira,6LgpmOednaE46TjVgeSFJm,Mongo Santamaria,2oVwztjpHpJlAvlVVuqVa0,"Latin Jazz, Vol. 3",3Frf4Pj6JoecGG62EG8Z8h,38,https://p.scdn.co/mp3-preview/ec53de52a65bb0a557f2bd0ef6fc6942e6351ff5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Quimbara,7mqqWVpuUHekEdlVOSQjmy,Arturo Sandoval,0MGQZNEMaEICyku3cSDrnJ,Ultimate Duets,28xn3zHQbQHtmAL8dptb4A,37,not available
25,Bebochicochuchoturo,2WQNDG0KKDMczbJLxvdxnJ,Arturo O'Farrill,5LHgdJhFO2hT2gu877UPKV,BeboChicoChuchoTuro,1SqBgxgGA4HrqCEv03Mf7I,29,https://p.scdn.co/mp3-preview/5f81980db1e471b615a67184077dfb7f12664fd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Mambo in Miami,3LgdE2ElJy94x5qqgJWl7Q,Cal Tjader,3XOVABzceOUTbR3iEz0ImO,Too Late Now,0a4KBsjEsOeqeEFzQW8rhy,39,https://p.scdn.co/mp3-preview/5cc49347983981168528f12efaab6ebb9031ec8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Bruca Manigua,2nRmc4GL2U1Ehrqzf4eCqF,Ibrahim Ferrer,5dss7E1Ph0KxuF1ULfAx4D,Ibrahim Ferrer (Buena Vista Social Club presents),27HNh1cyB39ERqdpSjM2i1,23,not available
28,Dulce Amor,3wxMLF4APGuI5s7QmaR4MI,Poncho Sanchez,7wIvJyLDNfkgdKFVxJl5tL,Musica Romantica,1vIx5zBOhWbOW9ayztlv26,2,not available
29,Sofrito,727P24JrF2m6tUwVCaQDzq,Mongo Santamaria,2oVwztjpHpJlAvlVVuqVa0,Sofrito,4dqMy1Cc314df6rnSKD9Je,15,not available
30,Luces,4fVzIqfRv3VC1doIk9JLnt,Chucho Valdés,27mRThsZ9K1BYmz0rioxwp,Jazz Batá 2,2qNItLdcFnSId2094fNe3A,36,https://p.scdn.co/mp3-preview/99cd27ac00440dd9a58890fa61ac95c6e50badc1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
