Clásicos del Verano,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,304704,spotify_espa%C3%B1a
1,TELÉFONO,5h8VHxOBK1VWWj46T8fSly,Aitana,7eLcDZDYHXZCebtQmVFL25,TELÉFONO,3hgpPBjZ7yR1yHyrVEngZL,66,not available
2,Cuando Te Besé,2XXMDz7SPZ4mSFN1PXfHUy,Becky G,4obzFoKoKRHIphyHzJ35G3,Cuando Te Besé,1rNj1DvnXIH5irucrzT4zo,81,https://p.scdn.co/mp3-preview/711aada3953b733c610466921e9bfb66a3b829d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Purpurina,5HFvuMLMgS75OaY3UKzqqs,Alberto gambino,2KaaIknCVW5SstugreNkha,Purpurina,72qI1N3VpmiHjDdBRuZz9B,59,https://p.scdn.co/mp3-preview/1f7b1bef7efec8cb1723d53469afa98a147823b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Quiero tener tu presencia,3f2k0XTc2ZXG17jEMDu8pp,Seguridad Social,5UbMQUFrcJdDstPCza7y0B,Furia Latina,44qXGSYAvbnwci400nEDpe,63,https://p.scdn.co/mp3-preview/36253d886fc8cce0880315787c5e1dc84833fe1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Ya No Tiene Novio,7uQmJ1jgNzBpATSoWKSPFu,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Ya No Tiene Novio,7yFrNYBdjgAeUKflMGtU8l,79,not available
6,Ya No Quiero Ná,2A2Q4CYBcVvBF2OqgJ3OWX,Lola Indigo,3bvfu2KAve4lPHrhEFDZna,Ya No Quiero Ná,0qvWm5gyv7jLuRwj4Ioaob,65,not available
7,Madre Tierra (Oye),2wlptOJ1g5fvLdu6ruKCKU,Chayanne,1JbemQ1fPt2YmSLjAFhPBv,En Todo Estaré (Deluxe Edition),0P0d0y1LQ5VGrp58TQ0oM2,67,https://p.scdn.co/mp3-preview/a3f9fdb1ef24293cd91e298b7f088627a5dc670e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Sin Pijama,2ijef6ni2amuunRoKTlgww,Becky G,4obzFoKoKRHIphyHzJ35G3,Sin Pijama,6hAxqfWO3xDGzjs8yad1pB,82,https://p.scdn.co/mp3-preview/7097639119e58485fcb5ce246725fa2b7ac71904?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Vaina Loca,1s2B5cndbqK8rPJEIcKJRQ,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Vaina Loca,3EpCMNzLUiLxHlXq3dKApm,19,not available
10,La Bilirrubina - En Vivo Estadio Olímpico De República Dominicana/2012,1GT0Q2ZTeKtIBueYKr4vhr,Juan Luis Guerra 4.40,3nlpTZci9O5W8RsNoNH559,Asondeguerra Tour (En Vivo Estadio Olímpico De República Dominicana/2012),43lcnoRo7YBAYHEztiDRrG,66,not available
11,Traicionera,5J1c3M4EldCfNxXwrwt8mT,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Traicionera,1TnP5HDR6fxVZBIGZq6DgO,9,not available
12,Torero,709CndJJB3GTUhQD0LLFse,Chayanne,1JbemQ1fPt2YmSLjAFhPBv,Grandes Exitos,1HR0VmKYncW4JyMwRCSi9N,62,https://p.scdn.co/mp3-preview/129e05b04a0bb4a56d16f152a521bd3cf10f4fe2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Vamos Pa la Playa,2XdgVioNvENCspUhMzvyjH,FlowZeta,6Ocjln6CF4WJ5z1GTmGzUH,Vamos Pa la Playa,7cx81P0OPmK2MElGwJ9ggg,7,not available
14,Sólo Se Vive una Vez,5dg7OfEwTVvUZfqt24ObwI,Azucar Moreno,2WrKqjMRKr5MitNYaNgvl3,Mucho Azucar (Grandes Exitos),7xcIu7L8tCgaKYWndaS0uV,56,https://p.scdn.co/mp3-preview/6069dc7172199e9b1c713e0204cdc711f9d86a58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,La flaca,1MrZ8hGkUWMmT816wPaMgE,Jarabe De Palo,5B6H1Dq77AV1LZWrbNsuH5,La Flaca - Edición 10º Aniversario,52SGUmWz4rcauYwTKIJzBp,69,https://p.scdn.co/mp3-preview/de8001a943205b7ac3ebc910633a5e67421e2c41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,La Bicicleta,43it4kot08akLzFIEMhXNN,Carlos Vives,4vhNDa5ycK0ST968ek7kRr,La Bicicleta,0RYhKF9kDheHRaPYVYo2r6,16,not available
17,Déjala Que Baile,2KK9N6iBAisA0booTu3bGd,Melendi,1EXjXQpDx2pROygh8zvHs4,Ahora,2cx8aUPxZ0GvVJkJdNXeOM,69,https://p.scdn.co/mp3-preview/330975ffaa921235ab1a9fca0f57f1b2b87db2ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
