Punk Español,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,46381,spotify_espa%C3%B1a
1,"Sarri, Sarri",3Ikl1NP2ZnR2QktOqkdQfi,Kortatu,2bSQxEqvD23Y4W6ztHaann,A Frontline Compilation,2GUirHCExX549jcIgaYWKO,49,https://p.scdn.co/mp3-preview/2c8d33b4edb4efce337b53807d77c1546eaa1975?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Horda Roja,0qUWJ3sGqpHD0dxDf717wC,Nucleo Terco,2wsG4oMP5UI9MapWrtbzbn,Abriendo Fuego,2vgD730uukAo1NsEy6D8JP,19,https://p.scdn.co/mp3-preview/323350b8a5fd0b40f76717abe9e2ebbdfe07b057?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,La locura,4qoiW7KuyMkiShQgZkRGc6,Parabellum,0JbJ9sG3cB719QmmkIRTPQ,Hace falta…?,5t0HwnzCCMGcMmervnzQRY,43,https://p.scdn.co/mp3-preview/414b728e0a8ed9ce2dcfb00c7790dc5676851eed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Por ti,7tbmPVO7BOZ3uBTkQ4lwFV,Segismundo Toxicómano,0sKBEhvr6hz7Wpptw0fY8U,Escapa!,6MQUQgI1RKD4wHu2Qc16iU,47,https://p.scdn.co/mp3-preview/83f000fe50e626f1c5641b9c1b3d938d5be4427d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Mi Primer Amor,2oRmhBSPhWNScSkwR7x8xi,Piperrak,0kya4eL7YgduZ1RAbO6Uou,Arde Ribera,4miZbn6vSzsHLvCUMSBX1s,51,https://p.scdn.co/mp3-preview/7640423ace992db81df4e842c2b8c349a5008d15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Salve,3A5g4sFwzahqS2B3NeqNV2,La Polla Records,3vHlZN6pTa2zOl2eVxiEdJ,Salve,1XCAxFWUmdLpI0WEtfBYmU,0,not available
7,Enamorado de la Muerte,4en5NpD2ZD6CpHeHIFTbzp,Rip,4P40mhKEotTwKd3cFNtwG4,No Te Muevas y Zona Especial Norte,37R9s562KSQPqUm2TYWe7h,39,https://p.scdn.co/mp3-preview/f744f4bd6bbe3e8250e8bba328f8921b9910ac15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Así Es la Vida,12obLt5jLRqJTWwbV7HywQ,Los De Marras,0E1P5uNgbD11POIDxFROHh,Vulnerable,7hL5n61zepkS2WQ1MCTpCI,46,https://p.scdn.co/mp3-preview/8404fbde27874024cd1b36dfb091e1d8b4e5ae31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Kaña,77UVdHUTHvECJJ0xcmooGX,Zirrosis,3hzp7HyJA5zS5VbpapOfFJ,Kaña a los Que Nos Quieren Pisar,475lQDKfTnB0nSuGgnov06,20,https://p.scdn.co/mp3-preview/b0d67dbe6db79e4de1cc296609b4820487d6d6e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Somos Revolución,4alCPx4T5VHqAsihn76W4I,ALADEMOSKA,1ekttoTgjC4AhaG3r4eaMT,Revolución,4AQDaOXwk4lKN9DwTVbhjf,39,https://p.scdn.co/mp3-preview/a9d4d269e307098f5b826b6519d3a513241ee5f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,La Última Patada,0QobiDnqGnnbbW8Duu9j90,Gatillazo,3XrunnoiCGkRTanrnsPRam,Siglo XXI,2fwFXVTTeMyJj7IbIoFQZy,41,https://p.scdn.co/mp3-preview/adf759eeccbca5dbf2af06bff6db9f4828531aca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Adios Reina Mia,52hHIF5rYiUi0AtPyvMrY2,Eskorbuto,3AXQ8iTveAp1uA5NlbK8qb,Demasiados Enemigos,06jJMaPtFcbDkuzuIeKywk,44,https://p.scdn.co/mp3-preview/250aa8960f3e9e21aaa64846053b5c819441c053?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,El 4k Se Llevó a Mi Chica,18b2UvdOlTpR3IMru5Pfya,Lendakaris Muertos,6x6bFaWdzVQM6e7ke2ysMc,Podrán Cortar la Droga Pero No la Primavera,6YVmHQN5rdkLupIaszQxK2,41,https://p.scdn.co/mp3-preview/8c1991bf3b0069cfd378a6399fcd07cf89e71833?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,El País de Alicia,4QAw1unWjQ1a2XMwGc06Ie,Envidia Kotxina,0ecMaXEm4sV6sndUYsyvmU,Difícil Ser Humano,1zSktJaNyIi1ot2Wupn4VZ,39,https://p.scdn.co/mp3-preview/f1990808cfac94a4dedc4dec4075e0d98eb4faa6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Don Vito y la Revuelta en el Frenopático,4EBFU2ujZgudwRUsi588jo,Kortatu,2bSQxEqvD23Y4W6ztHaann,A Frontline Compilation,2GUirHCExX549jcIgaYWKO,36,https://p.scdn.co/mp3-preview/932bf66c411339e52025800d0a3615f6741b1a52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Esclavos del Siglo XXI,0tk6HwFFBSkbrn8sGKaZgq,Gatillazo,3XrunnoiCGkRTanrnsPRam,Siglo XXI,2fwFXVTTeMyJj7IbIoFQZy,48,https://p.scdn.co/mp3-preview/c2d26ca36a084d0817194993cf3d2e1fa1bc2a51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Piedra Contra Tijera,05ZxYc1glaSTsNVbjBO9Ty,Soziedad Alkoholika,2S5OOMthdyp3Qu4IbTGAQ3,Tiempos Oscuros,7aQjiTfTyA9eMNkuMc09k9,47,https://p.scdn.co/mp3-preview/0988f5155270bb85cd7dbcd82e6b13fa8b4839bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Kualkier Día,1I9u9TGitfcJzOXV1fCM9B,Piperrak,0kya4eL7YgduZ1RAbO6Uou,Arde Ribera,4miZbn6vSzsHLvCUMSBX1s,47,https://p.scdn.co/mp3-preview/83a1092d86b71484c7ad3a6617d8651f7a44ff3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Ellos Dicen Mierda,6bsiPYRqISKkHN9FpgffKP,La Polla Records,3vHlZN6pTa2zOl2eVxiEdJ,Ellos Dicen Mierda,0QjDaIXJLrgirtJMFWIu8R,54,https://p.scdn.co/mp3-preview/965253f5f4f0e727e9746dfbbe70c964ea485f8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Ni Dios Ni Amo,38OqmiFdfy1Cmcn2XI90oE,El Noi del Sucre,2cRU20gTiJDxjQadbtENvV,A Mi Manera Vol. 2 (Leyendas de un Desconocido),1mMB89P9sgw8WRsR6qk8Rg,38,https://p.scdn.co/mp3-preview/f4fb25295433f47ddbf2a3ab920cf819f743a34b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Mil Historias,7mElnVvJoNpmTDSPvOJMUB,Kaos Etíliko,5y9aHzw345UfAGA1Db5BPy,Porsupuestón,4fhyGd8qDAkvZXmDvLYixi,39,https://p.scdn.co/mp3-preview/71a46bb14872d3b448708395b3ae3fcbe3e39968?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Las Drogas,12UZTr5xsKm79TzQkmYRUf,Segismundo Toxicómano,0sKBEhvr6hz7Wpptw0fY8U,"Un, Dos, Tres, Fuego",6KqECOoCoekQjpDd0oIYxS,42,https://p.scdn.co/mp3-preview/9a307ce3187699a772e77217e5de8e2f34a60cc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Ante la Muerte,38QGYGRhXCPecNslTifxfV,Kaos Urbano,0u5LMlVeRfZZuh2Nxowii4,Ante la Muerte,7vDR2G7v27naFB98tQJqMZ,36,https://p.scdn.co/mp3-preview/a29836f63a808f89b1ca72e0265e31342bf5cf5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Tenemos a la Pasma,2yGO1zOQ3psTV42DxtzF85,Lendakaris Muertos,6x6bFaWdzVQM6e7ke2ysMc,Cicatriz en la Matrix,51o67b23wyqqkYGN738zMG,38,https://p.scdn.co/mp3-preview/21ab2af7008d4038f276ed585e30804885ffc6dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Jarama,749QVthAEMdMPQdZBLQ98S,Boikot,0wppCmJl3glHZZScLcs4gn,Jarama,0Xturr8pgzoF9M6gb0UPlh,48,https://p.scdn.co/mp3-preview/a9f2b0db1bebdf45f0c617990be1c8f3da1ce8bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Txus,19cTnpZXsoNpah6J4q13iP,La Polla Records,3vHlZN6pTa2zOl2eVxiEdJ,Salve,57AwljF0RpTwtEd5A1SzUP,47,https://p.scdn.co/mp3-preview/a5a286f8d1afb5e5eea5755d7ced1ea943b21d80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Cenizas del Capitalismo,2NenHGIv1vW5Q1ncqVp5zZ,No Konforme,26yvJIyoBOe4vGLB2tlwub,Cenizas del Capitalismo,4X7lJZHbRFUQc5yQSL08Ii,0,not available
28,La Vida Sigue Igual,4jyuKmz9LEpVe1gF7nbFNB,Tijuana in blue,35LHJRKlkpHkACfkoyqqT4,A Bocajarro + Sopla Sopla,2QoZ36rmjP1gyQIQ2aAB9r,33,https://p.scdn.co/mp3-preview/d65a68df1a6446d016695ea255e0deb985bcc1a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Nos Engañan,0WFeE2O8RI03RheJ4PPbDr,Parabellum,0JbJ9sG3cB719QmmkIRTPQ,Envenenado,5GO7H2fSWsSs8QA7ahTcsK,33,https://p.scdn.co/mp3-preview/26783c17d7d6d0e5058631ecd301a2eec5a959b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Bad Religión,6I5TZHdQkUT4vHqFmbYtnQ,The Kagas,25TQ86q5TLjD8MR099s51q,Nuevos Héroes del Rock,1YPt2UE3GWYLPyhpzUe8eI,35,https://p.scdn.co/mp3-preview/1037c3135d05efa6edef8ddde896579313532de9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
