Turning The Tables: Celia Cruz,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,278,npr_music
1,Chango,5QfqYCyouyxpNLdrzUPneW,La Sonora Matancera,01p7Homi0d4XxZ06f2NYYD,"Homenaje A Los Santos, Vol. 2",03AnRWEaJMP6DD6KdycSYD,14,not available
2,Alma De Mujer,3ydRIHfrX3j9rzKXXbiWYS,Paulina Alvarez,5ROypdOonbOiLLKY9MRQq0,"Boleros Cubanos De Oro, Vol. 2",66C5FZ8xgFCxLUokjzshOZ,11,https://p.scdn.co/mp3-preview/1e4f7dcaed7e4e03b54cf6ca8af943c18bec4cff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Drume Negrita,1AsF75Nno6H7XZHOEMEHbt,Bola De Nieve,1pmg82OsemYIXnWLWxEmiZ,Las Grandes Canciones del Genial Bola de Nieve,0QnKgQMlKjJPWEfukmzUCQ,35,https://p.scdn.co/mp3-preview/0118306d6f427556443f66bd3a444703e18b353e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Que Bueno Baila Usted,0O8Gf1dTGNbEaSYSGk1pcS,Beny Moré,1Sp47peMTI9na8FTY4yHJw,The Most From Beny More,0HLeuihxljxWozRHDvy0Yy,41,https://p.scdn.co/mp3-preview/9e59a67308809ba92783b2e3ad23998f41b88a5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,"Cao, Cao, Maní Picao",6QX6sNhLiptL1o5q55OXzW,La Sonora Matancera,01p7Homi0d4XxZ06f2NYYD,Mi Diario Musical,57eQICbekhHUc8WXBEZpkD,37,not available
6,Tu Voz,745wXwwU5x5o1zI4xeQwPB,Celia Cruz,2weA6hhVqTIN2gSn9PUB9U,Cuando Salí de Cuba,2bS6KpKcLAiVoNlXUj6oRi,17,https://p.scdn.co/mp3-preview/b8ba42efbdb200a8e06f26ac10f74ff27fe1c4c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Me Voy A Pinar Del Río,14uucuWFa78hDSkfqq0uoE,La Sonora Matancera,01p7Homi0d4XxZ06f2NYYD,Mi Diario Musical,57eQICbekhHUc8WXBEZpkD,18,not available
8,Cuando Salí de Cuba,0QTSaQfQyHZs16AR9o1vbF,Celia Cruz,2weA6hhVqTIN2gSn9PUB9U,Anthology,5yufWjlFIaT0nRyMTSsw5k,0,not available
9,Guantanamera,4YHyL4G88GO6n3KXSFXG4S,Celia Cruz,2weA6hhVqTIN2gSn9PUB9U,A Lady and Her Music - Azucar,7oUSB8vLO9UF9yhqhFUINx,10,not available
10,La Guarachera,7kWdf24d03AheJu4KF4mo3,Tito Puente,6SPpCqM8gOzrtICAxN5NuX,Cuba y Puerto Rico,1P7Ucst33FwWbnoCj0TlNw,39,not available
11,Bemba Colora,2WWTHjU0YuSOl294tHFJPA,Celia Cruz,2weA6hhVqTIN2gSn9PUB9U,Son Con Guaguanco,48GRWbSztz90V37eXpNwhd,0,not available
12,Quimbara,3GDna1GrUkkjZTaoysolGQ,Celia Cruz,2weA6hhVqTIN2gSn9PUB9U,Celia y Johnny,3ETmy7JfoqlvAwVg1sopmg,26,not available
13,Latinos En Estados Unidos,6m4RgKTzd05DMgRgTQrruG,Willie Colón,7x5Slu7yTE5icZjNsc3OzW,Celia y Willie,3dIsd8OhzKeonnCSV6VdWS,34,not available
