Turning The Tables: 21st Century Edition,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
25,Praying,79NlESqzFSW0hdBWgls4FX,Kesha,6LqNN22kT3074XbTVUrhzX,Praying,4pfzhxwwQy4B8lySxjwKdt,35,not available
26,Don't Know Why,6ybViy2qrO9sIi41EgRJgx,Norah Jones,2Kx7MNY7cI1ENniW7vT30N,Come Away With Me,1JvoMzqg04nC29gam4Qaiq,74,not available
27,Bad Romance,5P5cGNzqh6A353N3ShDK6Y,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,The Fame Monster,034EE1ofh9OM6wJBqd2xYo,54,not available
28,At the Purchaser's Option,5RmAtT0VaKttU0Eybo6ZWA,Rhiannon Giddens,1EI0NtLHoh9KBziYCeN1vM,Freedom Highway,1CVuPxNHwY5ORJ8MhjD0UB,46,https://p.scdn.co/mp3-preview/5d0fe26b14c1e13722f351b355477f7dff89040a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Transgender Dysphoria Blues,4RdpSi00jdvfRLZb3Q1WhB,Against Me!,29lz7gs8edwnnfuXW4FhMl,Transgender Dysphoria Blues,4MuH5XuLZFuDc6kB2CSapu,47,https://p.scdn.co/mp3-preview/845830e5e30dae1c0b29dfe10ab4f669fc196aa2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,The Weekend,6gU9OKjOE7ghfEd55oRO57,SZA,7tYKF4w9nC0nq9CsPZTHyP,Ctrl,76290XdXVF9rPzGdNRWdCh,76,https://p.scdn.co/mp3-preview/4c112b50719f0d39deb0b9f1fa2601eb0555cc73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Avant Gardener,3LueS3mbuB1yaJNN0Ale6U,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y,The Double EP: A Sea of Split Peas,5lUc4iyCvw8DxpZa4Fryej,55,https://p.scdn.co/mp3-preview/224bdddc5fc78473afc9f0454e0e1aa901c743c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Before He Cheats,0ZUo4YjG4saFnEJhdWp9Bt,Carrie Underwood,4xFUf1FHVy696Q1JQZMTRj,Some Hearts,0kys2jaKAiDPfNBd4z7LAg,74,https://p.scdn.co/mp3-preview/b61f1fd8811b6c9bd9d5d0b47c35175aba787201?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Heartbeats,2YacpExEbX9tF8IbFlFOo4,The Knife,7eQZTqEMozBcuSubfu52i4,Deep Cuts,1iqMDM4Io1tnDDl58NGeVJ,55,https://p.scdn.co/mp3-preview/f3c32a74aa29f96384928604336ab6ea0585bfca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Soy Yo,4Egb5xP6cniUx0kgZd5zLB,Bomba Estéreo,5n9bMYfz9qss2VOW89EVs2,Amanecer,7GQzUp6R1CtA9CmsVZg090,63,https://p.scdn.co/mp3-preview/93134a685ab8d7e950d3ef4a8cc5cfbd4c0fc37f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Misery Business,6SpLc7EXZIPpy0sVko0aoU,Paramore,74XFHRwlV6OrjEM0A2NCMF,RIOT!,71rziY9eLo1tA2dBMxrwhc,72,https://p.scdn.co/mp3-preview/d4aacf7e02038a401759df9a908756e4f71de0fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Cruel,3j5DVpcCELigVZrmwGOw3X,St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,Strange Mercy,1Lci4bx7JIuCC8pnBNX7ds,52,https://p.scdn.co/mp3-preview/00667d9d4ad64b53d57a2193de3ce24b6514a54b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Workin' Woman Blues,58KQWfgO3DEu4kHlsmQEXz,Valerie June,4QZdOCb3UacKbQ1ybDFAKM,Pushin' Against A Stone,02ayfOwf2rHWQoQoP4PCwQ,38,not available
38,We Found Love,6qn9YLKt13AGvpq9jfO8py,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Talk That Talk,2g1EakEaW7fPTZC6vBmBCn,74,not available
39,Since U Been Gone,3xrn9i8zhNZsTtcoWgQEAd,Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,Breakaway,5gDAEao3VxFdbm8vS0koQq,74,https://p.scdn.co/mp3-preview/6e39adc77aba227544f11251414bd89824e0eb96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,I Know You Know,3afeZ81GDy59tATovKyH6Z,Esperanza Spalding,5bepW5vcdRzheNc0F8lHJ5,Esperanza,7188JsHTl3rladofF7CVvW,55,not available
41,Blank Space,1p80LdxRV74UKvL8gnD7ky,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989,2QJmrSgbdM35R67eoGQo4j,66,not available
42,Good As Hell,6uAm7pG66O1XesXS9bpHSF,Lizzo,56oDRnqbIiwx4mymNEv7dS,Good As Hell,5PMpdvn38HScK6IuLniRep,75,not available
43,Why We Build the Wall,72dKKaJfpzLMYgJEJl1OKc,Anaïs Mitchell,7K5Lm5dxoEwEpOS0Fc3l3s,Xoa,0cE5sSsvz3GLgoAeFZ1oki,29,https://p.scdn.co/mp3-preview/20c58508883f5992bb16486036deb17e7a1c4637?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,212,6no1mklq4BJBg7KJ6Dly7N,Azealia Banks,7gRhy3MIPHQo5CXYfWaw9I,Broke with Expensive Taste,1YmJl4Cm06bArz3D560pzk,67,https://p.scdn.co/mp3-preview/3d3afb2c09f24be504ec373b1b907880eed76947?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Complicated,5xEM5hIgJ1jjgcEBfpkt2F,Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,Let Go,3zXjR3y2dUWklKmmp6lEhy,79,https://p.scdn.co/mp3-preview/497f3eed8dedf972b878e04e4e3f6b18556226c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Crazy In Love (feat. Jay-Z),5IVuqXILoxVWvWEPm82Jxr,Beyoncé,6vWDO969PvNqNYHIOW5v0m,Dangerously In Love,6oxVabMIqCMJRYN1GqR3Vf,76,https://p.scdn.co/mp3-preview/ce8ace0ec425840416be78db07cf50dd331eed4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Dancing On My Own,3Rc2ajBMInxeNGVkMPC92Y,Robyn,6UE7nl9mha6s8z0wFQFIZ2,Body Talk Pt. 1,4ektWErsV6EIxW0jBWq1Jn,55,not available
48,Monstro,3sqq9wOsr3PMoDTbkDovFm,Downtown Boys,7l8uFATeRemkWEA8Gn15YC,Full Communism,2uOinTd9KHYUdQR5r3sDKv,13,not available
49,1234,2CzWeyC9zlDpIOZPUUKrBW,Feist,6CWTBjOJK75cTE8Xv8u1kj,The Reminder,7bTdGfczXffzzNE9ssJj4Z,61,not available
50,A Thousand Miles,4w1lzcaoZ1IC2K5TwjalRP,Vanessa Carlton,5ILrArfIV0tMURcHJN8Q07,Be Not Nobody,5e7T2qUigzt0oIr50KsOld,78,not available
51,Monday,4FYmHTavxSVFUPyM2GUpPb,Cécile McLorin Salvant,6PkSULcbxFKkxdgrmPGAvn,For One to Love,7HPMR4vGuzd6vnGS4H3ppu,49,https://p.scdn.co/mp3-preview/eff03a7828f4b4a5000938676cec7eaab89b3f6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Hands of Time,1WbZp0e357OaJhRhCbe13n,Margo Price,09yvLritEUxHrzx5TlFvbl,Midwest Farmer's Daughter,1ltdOb1CJGjzMW52gq2U9t,6,not available
