Roséwave: Juice Up Your Summer,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
24,A Thousand Miles,4w1lzcaoZ1IC2K5TwjalRP,Vanessa Carlton,5ILrArfIV0tMURcHJN8Q07,Be Not Nobody,5e7T2qUigzt0oIr50KsOld,78,not available
25,Bruise,6vJFWet1sMnWrKE8dDmfGG,Yumi Zouma,4tPyCwWrsvZ8OKYl7QRavL,Bruise,0HR7LLku7QMhusktFwyQx6,52,https://p.scdn.co/mp3-preview/536aa6905723578338118d782a73ccd6a772fb83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0S0KGZnfBGSIssfF54WSJh,96,not available
27,Heartbeat,3gFJuDtgFb50zGpdG6VQOt,Annie,7zt6Af78CalxaPDqORfw8L,Anniemal (US Version),0VO3Vsf0gzRPEIKLwU53KI,16,https://p.scdn.co/mp3-preview/c3a949e4126eacfe0686a55cd4fd0e628d4b756d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Pa'l Frente y Pa' Tras,3hA0y0s4kay7Id59O4l3ve,Ivy Queen,6p2442ymrT9lZEuCZJdYcH,Pa'l Frente y Pa' Tras,5Uvw1XaYIbTWagDNyD9KU9,37,https://p.scdn.co/mp3-preview/7462db0bb44efd380b09cd836022c73d66db9625?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,A No No,2Q0JkTzFXrU2BbnQT7tzIR,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,Caution,64zK6tmksJw9gNZR0L4DVx,58,https://p.scdn.co/mp3-preview/d37b7b19f05978953edf29a80f978a35eebcda40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,"Do Yo Dance (feat. Kamaiyah, RJ, Mitch, Ty Dolla $ign)",4ABM7D05ULpP8CGyuDJ1Yg,YG,0A0FS04o6zMoto8OKPsDwY,4REAL 4REAL,5zuM1EG06X1J7VsIF1omRm,59,not available
31,"I Know You, I Live You",0W8MpnhaImy0oPRkVpRvjI,Chaka Khan,6mQfAAqZGBzIfrmlZCeaYT,What Cha' Gonna Do For Me,6elTNQdWmobPp0QGEPwPMc,35,https://p.scdn.co/mp3-preview/706005f9df9063e53c5b1e7cfbfe2de7266d713e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Raspberry Beret,5jSz894ljfWE0IcHBSM39i,Prince,5a2EaR3hamoenG9rDuVn8j,Around The World In A Day,5FbrTPPlaNSOsChhKUZxcu,70,https://p.scdn.co/mp3-preview/80cd007d427fcfd8c9a9139cfc4fd7b20bfead4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,My Lovin' (You're Never Gonna Get It),3R97rNX7JnmshCWBwOSFet,En Vogue,5fikk4h5qbEebqK2Fc6e48,Funky Divas,7d2qNq4zap02SoWdvr0caA,59,https://p.scdn.co/mp3-preview/5d8d1f7fe6368ceedc942ec7787cfc157a772a11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Don't Waste My Time,70tAM9TN7ryjB0gPGOjS7l,SAULT,1uRxRKC7d9zwYGSRflTKDR,5,57EkTny9UjqpLhFzMO4Hdb,46,https://p.scdn.co/mp3-preview/756d93173fc69f19cb3c8682abb03dbb9964dea2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Aute Cuture,7dQFpbs34ufIEU745DVclf,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,Aute Cuture,23irnvaijPHVE7682D4G3f,76,https://p.scdn.co/mp3-preview/af4112e6ad0c6ab26cb3772159dd8a03fd11ad9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Big Time Sensuality,0X0LTI0MQG9S3FLSUvjrj5,Björk,7w29UYBi0qsHi5RTcv3lmA,Debut,3icT9XGrBfhlV8BKK4WEGX,44,https://p.scdn.co/mp3-preview/11682332cdd8c5705b067437c0e829fa0afd586f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Cheap Queen,2U5Q0eGC03syuUie76vROa,King Princess,6beUvFUlKliUYJdLOXNj9C,Cheap Queen,3IbecwxaNaaP9lt5sDTxAH,65,https://p.scdn.co/mp3-preview/d6092b679c6497856019f135715c7802f801bb0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Rapture,0PtDNK2Q49fAM4ZbKtN0mz,Koffee,1gWjcmBsveEYMxOZ0VRi32,Rapture EP,0v1VLjgwVun46wA13DWUJI,66,https://p.scdn.co/mp3-preview/054fb70f36f5da1dce06b316d4d334c2c88ca988?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,High (feat. Danny Brown),2bSF5Qs8IQE9RRaZIef7mO,Freddie Gibbs,0Y4inQK6OespitzD6ijMwb,Piñata,43uErencdmuTRFZPG3zXL1,55,https://p.scdn.co/mp3-preview/9a27da3492d62e192e18d9ec810e946915ad6a31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Daddy Lessons,7tTElNyvXsfFcxDXIiH5cm,Beyoncé,6vWDO969PvNqNYHIOW5v0m,Daddy Lessons,7vmngE1EExuJ0wpdRescsX,58,https://p.scdn.co/mp3-preview/13abb16dc26f5bffca231c085ec5e4893e4a82d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Who’s Gonna Make My Mistakes,3sbAE8hIRY9JyXYZjtKpb6,Caroline Spence,4De2r7QdHl1eZwnEnQ1IzE,Mint Condition,4zAQQvgbXyFJ5Hk20BF794,28,not available
42,I Summon You,3x0T1InTooVkA5KdaIh67B,Spoon,0K1q0nXQ8is36PzOKAMbNe,Gimme Fiction (2015 Remaster),3umUeoAKPNFzvwmBbiZ4aw,33,https://p.scdn.co/mp3-preview/f89f342e0239bdd2b07d72fb423964429bc03b48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Don’t Threaten Me With A Good Time,0UsEU29nx7wcyNEsGIA6qc,Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Center Point Road,5gnWhEFNbtCn0RLG2cp90g,58,not available
