Led Zeppelin x Royal Blood,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,5701,topsify
1,I Can't Quit You Baby - 23/3/69 Top Gear; 2016 Remaster,5QRD5sNh0aaWMyjTzQ0QIn,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,The Complete BBC Sessions,6VH2op0GKIl3WNTbZmmcmI,45,https://p.scdn.co/mp3-preview/435bfca6feccbfe0c20bb26504827bc2ee1ff9da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Dazed and Confused - 23/3/69 Top Gear; 2016 Remaster,3vDA1z8UmHtVLQV7McvhEj,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,The Complete BBC Sessions,6VH2op0GKIl3WNTbZmmcmI,45,https://p.scdn.co/mp3-preview/9370494b025fd3c2a5e4f77918b645d06126c8b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Immigrant Song - Remaster,78lgmZwycJ3nzsdgmPPGNx,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin III (Remastered),6P5QHz4XtxOmS5EuiGIPut,78,https://p.scdn.co/mp3-preview/8455599677a13017978dcd3f4b210937f0a16bcb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,In My Time of Dying - 1990 Remaster,5g9VOUgrn7ozYE3ZQm8w41,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Physical Graffiti,1lZahjeu4AhPkg9JARZr5F,51,https://p.scdn.co/mp3-preview/1930386cbcee121cf4b8acdca8588a77ad3d6c90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Good Times Bad Times - 1993 Remaster,0QwZfbw26QeUoIy82Z2jYp,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,3ycjBixZf7S3WpC5WZhhUK,71,https://p.scdn.co/mp3-preview/c1f024eb57b569b926c8e68cab0a6056dc7d9654?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,In the Light - 1990 Remaster,3Ch9zofxkeb5Dh1poeEhF8,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Physical Graffiti,1lZahjeu4AhPkg9JARZr5F,53,https://p.scdn.co/mp3-preview/79af9e834d7819a9c02743fc68a0b022dbf3c370?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,When the Levee Breaks - Remastered,05f8Hg3RSfiPSCBQOtxl3i,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin IV (Deluxe Edition),44Ig8dzqOkvkGDzaUof9lK,63,https://p.scdn.co/mp3-preview/b9c45ab3f67e56f3cbd45b087fb52787a1175c22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
