Halloween Hits For Kids,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,977,topsify
1,The Crypt Jam,21zjT55VHzq3PHc2CQlAeJ,The Crypt Keeper,3qTu9ge2h0VltEnDZQ1e2D,Original Music From Tales From The Crypt,7wyQJPnNpvGimZrQ7PGO4q,38,https://p.scdn.co/mp3-preview/926a1227e5fbd5d8d1d5b00037de9507b2bf307c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Hungry Like the Wolf - Remastered,2adPNAQcPub09M0RY96CH9,Duran Duran,0lZoBs4Pzo7R89JM9lxwoT,Halloween,6Te4ci35xv4zn0YyON1kKg,2,https://p.scdn.co/mp3-preview/5776fc355b811f08fc4143bcf039706d56bcc843?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,"My Family - from ""The Addams Family""",62rchuhJrm5JSlIfHz7cH3,Migos,6oMuImdp5ZcFhWP0ESe6mG,"My Family (feat. Migos) [from ""The Addams Family""]",6C9Wzv1cnhqbXytAzby4K2,70,https://p.scdn.co/mp3-preview/7219b0eb7268f722113bd41f5f4aecf2aab46833?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Puke in G Minor,24te9LTwuDo9wmHXZfZNFx,The Happy Racers,16W82BsAi9twBb2dPWKZRt,A Scary Very Halloween,7JhfiWlYRO2H0dz2q6apKy,2,https://p.scdn.co/mp3-preview/2d638a11380eb670b07dbf43c44bbf8cbdd73c6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Werewolves of London - Remastered,43TAz9RSCiumG1AkiIJuFw,Warren Zevon,3mY9Ii0cL5SQxpOTAm8SHx,Halloween,6Te4ci35xv4zn0YyON1kKg,6,https://p.scdn.co/mp3-preview/e1ca4f12c24ebc36e120fd54ad79467e4af5719c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Dead Man's Party,2mMN7uM1TzSJC0iEgRajTC,Oingo Boingo,5LXEAEGrpKQtpyCu2sZuWu,Best O' Boingo,6JJ4PNeuAif81xFmX69lZj,0,not available
7,The Munster's Theme,0BuXHYNppINIXDWRT79BtC,The Happy Racers,16W82BsAi9twBb2dPWKZRt,A Scary Very Halloween,7JhfiWlYRO2H0dz2q6apKy,1,https://p.scdn.co/mp3-preview/c5d242bbb49948a77f2e7e05f132205c42361f23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Feed My Frankenstein,7LDTB4kVmrLCU5TqKjZnzm,Alice Cooper,3EhbVgyfGd7HkpsagwL9GS,Hey Stoopid,0lhICEAy0rRGbhvWzlP0Ke,56,https://p.scdn.co/mp3-preview/ac7762e0d5067341311bf0bf9b5afe5241287998?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,A Nightmare on My Street,2TB6yyifApjyZGoUJ1MyBM,DJ Jazzy Jeff & The Fresh Prince,1mG23iQeR29Ojhq89D5gbh,"Halloween Classics: The Evil, The Demented, And The Just Plain Weird",1enJF32QND9fX6rOMl7wWI,41,https://p.scdn.co/mp3-preview/c2f92dd86437ba360ad52afc6874f53210e0bd3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Sweet but Psycho,7CdLU3GgPy1PH5FVsrPlyA,88,https://p.scdn.co/mp3-preview/9772598a67666a9b7184926c59fe15b9574c7e46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Thriller,2LlQb7Uoj1kKyGhlkBf9aC,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,Thriller,2ANVost0y2y52ema1E9xAZ,59,https://p.scdn.co/mp3-preview/e87c95de42eecbed85b08021e3125833ed31ae98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,The Addams Family Theme,2QMxJD9EaZdZiJttUVPARq,The Happy Racers,16W82BsAi9twBb2dPWKZRt,A Scary Very Halloween,7JhfiWlYRO2H0dz2q6apKy,1,https://p.scdn.co/mp3-preview/4623f63e2131ebd5ac767a6a4fb09449e1d861b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Walking with a Ghost,7ImkjvM1OKWhJ5HIPOHcHE,Tegan and Sara,5e1BZulIiYWPRm8yogwUYH,So Jealous,2yNhqBKfZPzrxRJqGMbSz9,54,https://p.scdn.co/mp3-preview/e29300060990a5502ebfc4156f638ae36c09fd27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Howlin' For You,1gBGDhwhekrKYy7gqULf0t,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Brothers,0glJnyA8SbcP5G2vtPDMNB,65,https://p.scdn.co/mp3-preview/72d4698ee57c59e6775adc869b2ce306df5d9533?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Devil Inside,3m4OWJ3Ovl0pXwT79bw94N,INXS,1eClJfHLoDI4rZe5HxzBFv,Kick,7cuwWzS0oiApEt2fpKafkX,49,https://p.scdn.co/mp3-preview/b6d481d74877b9b1f68ea50af54968674728fc5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,People Are Strange,1Jmqubf9kGkWeYQXQKImL5,The Doors,22WZ7M8sxp5THdruNY3gXt,Strange Days,6v5IVMmY1IvWtbfnQoiFSf,70,https://p.scdn.co/mp3-preview/f63e989a2e7d5c11558f02698882857a51b56a91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,What Should I Be for Halloween?,2jh6FmnzLlqkE222YYs9jo,The Happy Racers,16W82BsAi9twBb2dPWKZRt,A Scary Very Halloween,7JhfiWlYRO2H0dz2q6apKy,1,https://p.scdn.co/mp3-preview/1c68bd3145f5464a104afb83fff9f6c982a69dd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Monster Mash,7a3FSn0j9aPPiOdLSGDPH5,"Bobby ""Boris"" Pickett",42MRYPhQfcEXqb18dl5ERX,The Original Monster Mash,58bEJGRsEmiK3qQoBsU3J5,1,not available
19,Ghostbusters,5tT1g4xPOvDazb74Kk7ypU,"Ray Parker, Jr.",0NyzfcGDZZ6GM25EBG9BYK,"Halloween Classics: The Evil, The Demented, And The Just Plain Weird",1enJF32QND9fX6rOMl7wWI,24,https://p.scdn.co/mp3-preview/bb96f0fcf10c99bb2be42ee217e42a30789eb6eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
