Chilled Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Panic,6FW6JfPbLov2pOFMsEbSgh,L Devine,5dhyUSoGhz79WTzP39vKs4,Growing Pains,2jsTbvNFkE9EuNFLnStchm,51,https://p.scdn.co/mp3-preview/65f137c8c04689ce9b02589d5e876495e403cf23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Cheating on You,0ClPIeT6MSgfSgQ9ZrJbAq,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Cheating on You,1cZNFKrwWK0PGqQFUspj3L,71,https://p.scdn.co/mp3-preview/d5a55ea557c5a06e1bf10abf93d4ec2a16b9f385?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Colourblind,5fmBkJa4mTezkJq8B1TgSn,Tones and I,2NjfBq1NflQcKSeiDooVjY,The Kids Are Coming,2pJXQvY0YeDvVJ9gMU9G7j,67,https://p.scdn.co/mp3-preview/44a02d70bcb236d58a1129d9e27b0ae1fed41342?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",322tcqPhma7F6hfCeLisx0,Lauv,5JZ7CnR6gTvEMKX4g70Amv,"fuck, i'm lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”)",60sI3iRfHfu7YpcTpZ29W1,92,https://p.scdn.co/mp3-preview/f516b7ef3c83e390a1c965c5b3730ebe4a6c667d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Wicked Game,57h4OYRuqBvgE87biicEzq,Grace Carter,2LuHL7im4aCEmfOlD4rxBC,Wicked Game,54GJohpNn06XoK8QeufjQG,65,not available
25,Stay Young,7wjprvfscpUNacftNovfQO,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,Stay Young,2DFhsR9VbaeoR1sWlX04lk,64,https://p.scdn.co/mp3-preview/fb9bbf91d895046005a241e2563ccf8c6de9bd5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1i3z3GR1JtLswOSJNO0BQw,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1uuGNc2B7c5tEfCuIy3dDT,74,https://p.scdn.co/mp3-preview/1a42a795794298a01897c682495534a8e1b7b20a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Not Over You,0gr7xzfKDED0mKuv7i5PI7,Conor Maynard,6mU8ucezzms5I2kNH6HNlu,Not Over You,4HNgQRfYsHbjnMn5HSpJJa,66,https://p.scdn.co/mp3-preview/0c8b4240deaeea3b757985af1fa16913e99e7985?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Calling Out (feat. Hannie),5vWGx944svOovKta9UUbWZ,BOBBi,7rDW6qMEbfuFk8I631TEMT,Calling Out (feat. Hannie),6lFQYatRFzl2RU1wTHnVbP,36,https://p.scdn.co/mp3-preview/a2e5e0d655d23f4381e988534d34cc7f2c20adb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Best Part of Me (feat. YEBBA),0VsGaRXR5WAzpu51unJTis,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,76,https://p.scdn.co/mp3-preview/9b06d400381716c72ee93e5d1db73b2e21158e96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
