What's Up In K-Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,5095,topsify
1,These Nights,2n0oy8RGDpy6WGcLImTteI,88rising,1AhjOkOLkbHUfcHDSErXQs,These Nights,2ZHGnhsomLmLezueESi9ou,66,https://p.scdn.co/mp3-preview/ba3665499461dbe4f22bedef1b7f2d4941777cb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Feel Special,14rWuS6yllHOdfZ8sZsZUj,TWICE,7n2Ycct7Beij7Dj7meI4X0,Feel Special,5efEhTY3yPlGU4Ofu2yi7F,63,https://p.scdn.co/mp3-preview/66ae76749f6fc2280f91c19da497d86cd07277a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Chicken Noodle Soup (feat. Becky G),6wyr4ReB05D9sJB1Rsmcqo,j-hope,0b1sIQumIAsNbqAoIClSpy,Chicken Noodle Soup (feat. Becky G),76IRLp7YzBVLKsat6Ro9ae,80,https://p.scdn.co/mp3-preview/dfc669bfa86bec8fe74de00b249fe1c75c748070?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Fear,0fToFBFypPz5XMyAdAm7Ay,SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH,An Ode,4btxaakgIaE1AkXqpReLwd,73,https://p.scdn.co/mp3-preview/ab334832a833ed65b0d47cca3c3d7a932df73577?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,BREATHE,4XbyRgWe6yU4wE6WShdTEs,AB6IX,4y0wFJ5jmCUNRLZfsw1I7g,B:COMPLETE,5cxJNT3zQw9kvJ0wpwWY7V,66,https://p.scdn.co/mp3-preview/903239ece2d4a01074665959cc6931305f269305?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Gotta Go,0xq4ZTcmwBfkPGo4RRKmMe,CHUNG HA,2PSJ6YriU7JsFucxACpU7Y,Gotta Go,7BYCvUqCaeIo2jgOl9iAGr,74,https://p.scdn.co/mp3-preview/c615e7c43bdff0eac5d0fd0eecf7fc463c23eda8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Shall we?,1afMrs1HEsNDm11GRrLeoW,CHEN,0UEP2XBR9aC5NBKcAKnBIq,Dear my dear - The 2nd Mini Album,7vIUunVE4NWLS0uq9X9o5f,62,https://p.scdn.co/mp3-preview/c291a6c1c8bcd472491334b69d81e852c51035a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,"How can I love the heartbreak, you`re the one I love",4FObSSNE4O4dgzD4iHFprW,AKMU,6OwKE9Ez6ALxpTaKcT5ayv,SAILING,4IS7nV8027qHDzziNjqMpS,67,https://p.scdn.co/mp3-preview/b24672b7cf720a2e6282639fc122e041e93765ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Good Luck,0yB1yBOhM518Qz6dqSdNtU,Mamamoo,0XATRDCYuuGhk0oE7C0o5G,"Queendom, Pt. 1",6KEK9ix3xkhj7yqB3vZFtX,60,https://p.scdn.co/mp3-preview/d97401886cb549ee7ecf459ce02f68652f863ca3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
