Indie Mixtape,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
29,"classic j dies and goes to hell, Pt. 1",0Yl5FnBBCSNBCQWOhi40Xa,glass beach,4gHs8pWsgZpndQZKs6QVRH,the first glass beach album,113M3j7mkEpg5TUgXJDS79,37,https://p.scdn.co/mp3-preview/79a2ca77daaaf08cb1e1bf66a78f27ab5659fb98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Nighttime Drive,7bmf45poFdTz2Qq2mNrp3y,Jay Som,1wmiQ6ytATiGnJs6uFluKO,Nighttime Drive,2slFcoxktGYlga6Cbqwrja,39,https://p.scdn.co/mp3-preview/180ffcdd1e2716d59a754a5390a240bf0afd7bb9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,My Heart Dreams,7jXwlDFYU6vvFplpkwGmmd,Black Belt Eagle Scout,1CUUXdvZE6UzwQyBUm5YVD,My Heart Dreams/At the Party/Half Colored Hair,1e1Gg4aXaOOAiqntn5MkiW,21,not available
32,"Jane, Don't You Know Me?",3c3eXsHo5yGWlFXVhmthNf,Elvis Depressedly,5a31Ij1sTxY9LUYVwgBp8m,"Jane, Don't You Know Me?",6FmPSL6M9Jx00K7xk7AlgT,36,https://p.scdn.co/mp3-preview/23ba9dcce3d92ed158126ff6688ab1a9b1f6b5aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,bunny,28uXVG6u7uuFtEytpLOZRq,Ghost Orchard,49RJFYAmLSE8FMBQ1GjguG,bunny,65fQoc4ElD43qlYfem1lTB,25,https://p.scdn.co/mp3-preview/0ce6a2f5ca01b94bef03cbc45531b651e903ecf6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,America (You're Freaking Me Out),20WfBEoY5LuJdK9slRv71l,The Menzingers,7HWFXU9pHBj0u58yoRwwOJ,America (You're Freaking Me Out),76xp2axlbmffPMsZaGIWVX,52,https://p.scdn.co/mp3-preview/e3fb34cb99dd8e283de8e9ee02b5ba780e7f31d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Hardly to Blame,2s3VPx9tIAubfnSLGssZib,Sheer Mag,58ehndX799ZV9Jcv6IefJ1,Hardly to Blame,6AsMsAuLUwg4VstSPWfWT5,29,https://p.scdn.co/mp3-preview/aa498f3530e4e3819bb065da2386f47ab4e8f67d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Water Me Down,79ap7oTftmfgDUBUsUcYqt,Vagabon,17mwzDXKn4ra9cuxXaptwp,Water Me Down,4kcsdigEl9ascAJ6a2b2g9,57,https://p.scdn.co/mp3-preview/f232486d26b43c1bd1d9845f131e922044d3b3e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,In Love Again,3r7p1yUo7SZIU8xPZS1UC9,Mannequin Pussy,33yje3hgpNfdXpqdJQcrt9,Patience,1X0Na8DRV5U6G9grTPDWKF,39,https://p.scdn.co/mp3-preview/9d3e5e441d3e56c6491ca973db39c1cbd6f90fcf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Autumn Dress,5uwS35sviD1vpTRVsF1nqA,Mat Kerekes,5rOjuB5uYAoDMHgZM6CFBB,Ruby,3FTwVo3Ml09aCJAamSni5v,39,https://p.scdn.co/mp3-preview/5b1aca453df0ddc3db31fa547c569d36bb7564d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Unspoken History,66EGYjrOz1ZhKmpDDUSZNw,Alex Lahey,5kdYrM3h2sB1Eid5tDf6Hk,The Best of Luck Club,4tJrRPoZQsGRCmIrtFSqgV,30,https://p.scdn.co/mp3-preview/6e6e2942cdf67d74da7a711fe7726c215d06b0f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Daddi - Reggie Watts Remix,1FfOW5Nw3qIyKyInq6yeRz,Cherry Glazerr,3pIGm1omCcHIb1juBNHspg,Daddi (Reggie Watts Remix),40MsX8E2mabqIViEsKz5ke,43,https://p.scdn.co/mp3-preview/799c282b0b5dc1c364a127fa85372da0d1803931?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Endless Stream,2BkEu3UKLuYOBJ3hSIYOdu,Andy John Mendosa,5CKFRmda44UBmG4O4o08sB,Endless Stream,7MtnEqleuyYZNZsaBz9RSD,4,https://p.scdn.co/mp3-preview/82a7b46ee6874389b05f51d69787881826c6feb6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Bummer,4ksHgLOd4sgzFGGRBbFTli,Save Face,5DpkPhxrNNiGAJPY5seREe,Bummer,3xxiimpgKisEk8rFBsMZ1I,35,https://p.scdn.co/mp3-preview/ca3b411bf0a871f762662ee364e0b09349002547?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Nobody's Happy (feat. Kellin Quinn),7ehlk34jGRdbjEWnUX2Rga,Fossil Youth,6vZDJiy5mycVxGasudQdWg,Nobody's Happy (feat. Kellin Quinn),6oiL8Srit7R3zuRAJuGkSb,39,https://p.scdn.co/mp3-preview/feb0e88b240322345472b76600b5602f6c8cfc9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Five,5NP9dmtm1REy6Xbsjbkyny,Angel Du$t,2ynylCO9SRPTKjgNEH0Y2a,Pretty Buff,2CjNHKLQ6vg07YRCbCCe6b,30,https://p.scdn.co/mp3-preview/8075dbc37d0e3f2bffc7f2e16ad69ba735b715ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Getting By,58inhVcskpSA0AtxsEAUTM,Long Beard,3truyDimkGtu58fxQj9Xv9,Getting By,2aSG5TsGPILW81fbjuyBK2,25,https://p.scdn.co/mp3-preview/4a59823a9fdabdc0aa382dccf7549f45b78087a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,These Chains,0KF9n8XeYmrlonaGnL8Krd,Mid-Air Thief,0zGRuj0aQ3mM6i2dQoO8h0,Crumbling,4n9J61IrlrEFswxTu0MJIo,40,https://p.scdn.co/mp3-preview/0b7cfe4bdd3082f5dde202044a44cc0ce3d5d049?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Sure Ain't,0gahvMLjFJbtBpBDBspPpa,Wilder Woods,26DytDdxKgr9N0tdrBSLs2,Wilder Woods,35rWm0QieUmTizxsC7dXnG,50,https://p.scdn.co/mp3-preview/9b110b7549d094b8405f5d443e70ad98c0de8df7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Champ,5Zh8Wpv6XMot4SGdLfCBOY,Rose Dorn,5RVkV6yPBVICb0DC5NaX2G,Champ,5Gt7Bxl0PuMgoA8Nt2arLW,4,not available
49,everybody's cool but me,6snhGf4hJp8NsdENDrIUUO,Johan Lenox,1KuV6xtFnLPsneN3yBrjFj,everybody's cool but me,57Xz4I1QHWX3dUXqbfvz9Q,33,https://p.scdn.co/mp3-preview/54cf0821011000ec87f5aa5bb5c0e1b9b547426d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Remember Alderaan?,1HdTp39Kldr9OPrsNRiYUg,Dogleg,5WSlKTn8XCAH31eAVaJ4Wj,Remember Alderaan?,1pUldihkAuFU12tsuX2gDT,22,https://p.scdn.co/mp3-preview/33de358ea176b3b9b0c12453448aa8afd1514532?cid=fa83a2fec7c440b7a2795d600d6b2c7e
