The Road to Punk Rock,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,197737,spotify_uk_
1,Come On Now,0jC2XPH7vnNK5ol0bfC8Zs,The Kinks,1SQRv42e4PjEYfPhS0Tk9E,Kinda Kinks,73anEcke1iGiFLxWhXnco8,40,https://p.scdn.co/mp3-preview/ddf370355e4c54bb6ca859cd6f98de1a1ed36863?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Personality Crisis,4AwKXevZmsTNa3KZVj3rzl,New York Dolls,0WhGV9lzljq2QKJ8ipw6jx,New York Dolls,2xbTV0Awe4Qm5caUVuPbMr,54,not available
3,Looking at You,50w6PJJmcNzmqlQwts40x1,MC5,4WquJweZPIK9qcfVFhTKvf,Back In The USA,67NkpPGMcxoIiumOW3oRpL,43,https://p.scdn.co/mp3-preview/85796f57ceae35bf9d0cdcda8699d6304e224e47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Psycho,77DvhwGhnmfrXWwiJzeIMC,The Sonics,2g3PKH7Z1Ofn5oGR6oDjLy,Maintaining My Cool,5joOZaTA1gkFmw0eLM8ASR,45,https://p.scdn.co/mp3-preview/f551ed138539e9252488f0599a62454769965170?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,96 Tears,4v75K5mEyumdXCZU09kwAg,? & The Mysterians,3ZZHB1Xh2PM88QTMiqHB62,25 Original Greatest Hits- Cameo Parkway,1Ka3HGMoNWvfPxwjsRXGpF,43,not available
6,Human Fly,0ElRzK07sc9eszyk1ea9Ab,The Cramps,4lYtGx5NZQJHsMyhHc5iz3,Off The Bone,1n1znRLH7iRtkhjbrCs0wi,56,not available
7,Should I Stay or Should I Go - Remastered,3v8PlUFGQQDBIk1J86waCo,The Clash,3RGLhK1IP9jnYFH4BRFJBS,Hits Back,3Zkggi5I9uH5x94DuN6u1S,70,https://p.scdn.co/mp3-preview/767e69433abd76af00e098931e11153a416a3566?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,"Liar, Liar",3VOS2LMDQT1t7CjoiQWRqW,Castaways,786h0FfIRozE9pD7pNxcGq,20th Century Rocks: 60's Rock Bands - Wild Thing,1MUOAt4ddaUtezItjih1UK,7,not available
9,I Can't Explain - Original Mono Version,0xGTPWVlPZ1oNx2z0XZOXK,The Who,67ea9eGLXYMsO2eYQRui3w,Greatest Hits,23W2qtQDqASXPMsBXYpTY0,2,not available
10,Free Money,1wP1qnWy0cZWxnbWkzf9La,Patti Smith,0vYkHhJ48Bs3jWcvZXvOrP,Horses (Legacy Edition),7xg7u99lilTCPbaRfnYuy6,45,https://p.scdn.co/mp3-preview/4ff502ea87a66259514ad9c435b62ec95262f341?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Send Me A Postcard,6EXOSA4BWBM1AUsXxKwYDT,Shocking Blue,5WimOFbBnCU5wI6t5PPpEk,Scorpio's Dance,0JqylHtd5MjYXBG2zypr0T,51,https://p.scdn.co/mp3-preview/7aa6a144b1c3d31cf3fe433272ff671d46cb6030?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,I'm Five Years Ahead of My Time,1pS5b7vdEMS4fP1KLfgH1B,The Third Bardo,6SdO3dLXggmHcby5EkO06o,I'm Five Years Ahead Of My Time,3hNScATzwVp4uxCq9xOiDN,37,https://p.scdn.co/mp3-preview/39c9b75bab54af391e0225e817c21171748b0371?cid=fa83a2fec7c440b7a2795d600d6b2c7e
