Massive Dance Classics,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
35,I Luv U Baby - Radio mix,6J3LHclKrdg1zLArH3kmF4,The Original,2IwjkUrnzXsfgXkvUtZYKH,I Luv U Baby,7LgsDPzNTZGIxAOlzwscrR,55,https://p.scdn.co/mp3-preview/4d744710669bed74f80dc042ae64037c7c2d6fe7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Call On Me - Radio Edit,3uLSUZEmTY50H6Kw17lpfW,Eric Prydz,5sm0jQ1mq0dusiLtDJ2b4R,Call On Me,4FN8F3aiiUagVSBBGW5ULu,16,not available
37,Everybody's Free (Single Version),1gMZCGs6bxhyPeHAEiNc3i,Rozalla,2wnJCxpnKAagrdBJAvaDrQ,Everybody's Free,5aQvlWnZ4ccLkCSOUMIA2X,55,https://p.scdn.co/mp3-preview/871db5c75a30422c9aa339cce1fd2a4892e10d01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Two Can Play That Game - Radio Edit,1gsnWXeNlbfoHpaGRi4oQ0,Bobby Brown,62sPt3fswraiEPnKQpAbdE,Two Can Play That Game,1K62bZaGNA1eNoR2pNu585,57,not available
39,Make Luv - Live,3UZK9yD18Mtzb6MgYBmuLW,Room 5,0AEbDFXbsssoSoC3pj91eq,Music & You,6jLeSCEqT7sAo0un1aOpSh,57,not available
40,Love On My Mind (feat. Amanda Wilson),2d6kU8J16F3fqpbYKZiLP3,Freemasons,49H2dQUNhIlso7VNkS8nFR,Unmixed,6RJScagruOkzWCCOiXRNND,52,https://p.scdn.co/mp3-preview/d0344d28d3cd5aec73c7263fb99fc2f987c71624?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Show Me Love - Radio Edit,7xL1F0tk9Xz8bMJoJcZyaV,Steve Angello,4FqPRilb0Ja0TKG3RS3y4s,Show Me Love,1kvnktiEZMKlCpkJ3VFe0w,7,not available
42,Poppiholla,0IMcUszK4FkAp22s6Eiq1V,Chicane,5GxyeQagayzZOg4UwffQlD,Twenty,5S26j913nxRCYKyE4sZNCR,46,https://p.scdn.co/mp3-preview/ddcc96c62c63154e96b7c3b0650d639688ef80fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Make A Move On Me,1bRi61JqeHPUDhuftFeK9D,Joey Negro,5cWh5zsmOIFhuPL0Ay1e7f,The Many Faces of Joey Negro Vol.1,6eEreIF7TAIsZGlNCDR7h9,54,https://p.scdn.co/mp3-preview/3bdda5c9a6751c5b72f5b85afc3ea7a5a6047dd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Café Del Mar - Three 'n One Remix,0UjlzEecHAEs2TfcDreKQO,Energy 52,0sElgscu7tp38PM1MtsUz7,Dave Pearce Trance Anthems,0O2dXIZUYvZHMulwwcsj2d,45,https://p.scdn.co/mp3-preview/f82fd439d9d809ed10c19c75b7ca94ac4a08a2ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Yeah Yeah - D Ramirez Vocal Radio Edit,4HVGC52IogHANcKFA0QYiT,Bodyrox,3FVJvsdVNbVmydSuI22Z5v,Yeah Yeah,0qIj9p0MyiMJWtw9Bqc5br,54,https://p.scdn.co/mp3-preview/d315a056fa9da91ec020019c7a5d8434c46dc351?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Drop The Pressure,243NB0yDHxtapXQvJvCaW6,Mylo,5YjEVrNMrIRw2xGbjTN6Ti,Destroy Rock & Roll,5hEmQDypt7E7hJIQeTo6as,50,https://p.scdn.co/mp3-preview/8c4ca644846268d5b28fc5321f551861b08fb702?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,The Girls,1bHhtkFwH6eBNTka0DnGzU,Calvin Harris,7CajNmpbOovFoOoasH2HaY,I Created Disco,5gDkjyJBK8VLZjKqqUd79K,53,https://p.scdn.co/mp3-preview/e9d8b1e1cf89222fabe7809adb4254de73ab7a6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Wearing My Rolex - Radio Edit,5liQj4sVRmEEESvvcb64o8,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,See Clear Now,6jyCINx0IQwks3MnchgcOR,63,https://p.scdn.co/mp3-preview/3590d62e44888e92346fc806af09d51943ec6887?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Gold Dust - Shy FX Re-Edit,61gnmKsVhB4TuSJWZzjI3N,DJ Fresh,6r20qOqY7qDWI0PPTxVMlC,Gold Dust (Shy FX Re-Edit),2y7ahWV2mpl2le5QboUG2k,61,https://p.scdn.co/mp3-preview/5792566962627c012428015ec86fac0c837b0417?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Put Your Hands Up For Detroit,2T1Xemp92qxuUCAFBWfRrj,Fedde Le Grand,7dc6hUwyuIhrZdh80eaCEE,Put Your Hands Up For Detroit,5NaES6denS6wM2M2zV1YkR,60,https://p.scdn.co/mp3-preview/90e692887bf9764752e70afafea353927b9733df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
