New Dance Revolution,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,52207,spotify_uk_
1,Lose Control,7CHi4DtfK4heMlQaudCuHK,MEDUZA,0xRXCcSX89eobfrshSVdyu,Lose Control,1qSOaTvsCOyFJya3v1UzkP,67,not available
2,Nothing Else (When I Think Of You),3hHcL95Pqlj93e8YCAkkys,Joe Stone,4kwEd1P9j15ZqUVP5zK7Pv,Nothing Else (When I Think Of You),28RD2BPGDTlPvnz8kR6i1e,57,https://p.scdn.co/mp3-preview/6e82f9a5b550234601d8a1fb548cf104451c1249?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Sweet Like Chocolate (feat. Lily Allen),6r4EuFPtH2P8DJHBajoYaH,DJ Spoony,6tDESlsE9MXHHGHASpXukv,Sweet Like Chocolate (feat. Lily Allen),46VnIdu2vMb2uq89H7cZsO,55,https://p.scdn.co/mp3-preview/1cd7f9e69950c3838732704b45b17bf8db0c500a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Tried to Love,4sJutC2CvqWHzTzSZC8ep1,Madism,5UUdxfBMwm0hLlLgnZtBFv,Tried to Love,0UE1NgQShQFkOuSux99bJG,44,https://p.scdn.co/mp3-preview/fb8a2c5ed8d81dea3554f0a95af008fff19a4975?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Certi (Move Your Body),3fmMWiRMWqpfp4mYr2K6Pj,DJ S.K.T,05z4P0nQO00HG5WeErugd0,Certi (Move Your Body),6q5bGHmbT3prDCXFeUlo45,36,not available
6,Perfect (feat. Haris),30cW9fD87IgbYFl8o0lUze,Lucas & Steve,5wwneIFdawNgQ7GvKK29Z3,Perfect (feat. Haris),3hOyUjdcI6wGuhk52tuH4g,54,https://p.scdn.co/mp3-preview/9ee78c41bd4d406e52233ca477050464b42c2abd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Freak Like Me (feat. Melody Thornton),4o68Jw0pYx8zFDwEgIGLDM,Harrison,58O8UPrTdl4u2buM0skj94,Freak Like Me (feat. Melody Thornton),68pdWeHPYZpKEZivriyKNN,37,https://p.scdn.co/mp3-preview/933822ec3e666e9294dcd9f7e2f39dd9083c489a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,You Get What You Give (Music in You) - Joel Corry Remix,0XSaocHNE7kQjD3sYC7MWw,Billy Da Kid,36q2CY4RdBv9GgeapsKmmE,You Get What You Give (Music in You) (Joel Corry Remix),0WW8oJEQqyDBSzTUm3zDpP,29,https://p.scdn.co/mp3-preview/9dede7195c838004d5b30ba6bccf3d948bcbe404?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,So Blue,1aNYOEOIlPAaWGd5QkwEx0,Sondr,4hbnUamwrCHpv4wQTwvCIc,So Blue,17Mg3tjUZdNpKT9jnly64H,39,https://p.scdn.co/mp3-preview/4e63f1613732b31902bf0c8e72de3e38142cbf8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Animals (feat. Rachel Chinouriri) - MK Remix,6YpTSni4hLWImgdCYIOFrP,Preditah,5qYCZ5FQuzZSjOnesvuYiD,Animals (feat. Rachel Chinouriri) [MK Remix],1ESD5DohVDoRoGDOga7WfI,38,https://p.scdn.co/mp3-preview/98b04327d6b3fe051c1ec754a384d2b44873febe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Ghosted,19Y21nRBFTdoAuySde7JCQ,Lost + Found,5mRE8kKA1XzOkZpPSiF5yv,Ghosted,6tJ6nhu4pqisNrL95Ahzmg,29,https://p.scdn.co/mp3-preview/49b1786aacb9f7eb16621f00a9d613303b70a88c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,I Need Ur Luv,56hU9lS86U02iJx6WhYHmq,OFFAIAH,2E1NFr5AeEGUJkLUUsWCAO,I Need Ur Luv,0CXsQO1YkSz4cM3gv2yCQc,43,https://p.scdn.co/mp3-preview/5e984a11ac0cef6f476203f2e46a5dae1811c534?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Hide (feat. Robinson),5ipHvBu6d4LBtSjQtcaeKC,Franky Wah,3IG3Ub4ra8AuSxCFDVkVco,Hide (feat. Robinson),46tyyj2fcBxrhajWQHTZj3,43,not available
14,Ecstasy,4N42Ta28mOYeiyMlypgCTK,Fabich,1mwP5J1kB8clYx0SoNL0uh,Ecstasy,5Hrkn1HmX82KNlTbsUUweN,43,https://p.scdn.co/mp3-preview/7041ef8a23cf100c145f07cb87fe0e8b46908f3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,I Don't Need Love,11YeL3eE19GsSU4EYi6fIs,Karen Harding,1QOHbhVRpDoNtRkz79si6b,I Don't Need Love,2xOc24xBzKOFw916SCPWiy,43,not available
16,Dreams Of You (feat. Rae Morris),6pu5jQqenr37n0z6eBKOh0,Icarus,0nUF7iT0e6D5xEl743Jfu3,Dreams Of You (feat. Rae Morris),26et8vS0ynfWtbIFKKtZi4,47,https://p.scdn.co/mp3-preview/53a9cea425d69c91bcadbe38792b6c6fb1874c9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Baianá - Jack Back Remix,4TPSHXXcFWCf6Z9Uvq69cB,Barbatuques,5xnMjuPp1eDXa8du0SKIHD,Baianá (Jack Back Remix),3VCdr51Z3C9ptAv8zbL5xs,25,https://p.scdn.co/mp3-preview/d046dab07dae1858de26af9a577d9942edfb4d2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Changing,56SkLjnwBXnAkHSf6jBPk3,Becky Hill,4EPJlUEBy49EX1wuFOvtjK,Get To Know,1vlHG5JJCSsWBuA5vPTY7Q,62,not available
19,Forever,2Ci9hgh4lvPdvlkwPv9r7Q,Disco Fries,7G7KvDCLdVG0Ok511Iqc9U,Forever,7Bwh0T7yxAUkZOiebPhQnd,46,https://p.scdn.co/mp3-preview/9d16656890e0dc1f9b9e5054baa6b610bcb5816e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
