A Breath of Fresh Éire,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,40947,spotify_uk_
1,Angel on My Shoulder,796RjfhbKSyGc6If2PANR7,Nealo,0HR90wEU7v0pQRVsltcQKO,Angel on My Shoulder,1cgibXd11vMAuKrMGvSwh5,29,https://p.scdn.co/mp3-preview/9b745f148de56253e12004cdefc5a651745ae413?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Why Wait,3vCXs7BAqUzj7wzCPGaTZO,Lilla Vargen,1bYTiIHnxEdBncCHYCfE4j,Why Wait,1S15dxHyZvTZSrgITtdj1k,55,https://p.scdn.co/mp3-preview/d3482c15cf0dfce0c4cbf820a28c3d76d21b42bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Wired,6pWWIAARXUKyk1r7UtfmHc,Seba Safe,2vY3QN8jlAZS4C4OsbDYV6,Wired,0XzahAi7YSaTaPVVhhzWr2,23,https://p.scdn.co/mp3-preview/ae8658a4e790962833dd8f4dfc689d23a1c0f8dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Ice Cream Sundae,2sJHJITMt2SYuim7KvK8yG,Inhaler,6lyMYewq2SuTFIXgiv7OxH,Ice Cream Sundae,3NyslwappViTftGrmA1my0,53,not available
5,Hold Your Own,1TrSxdOZVM5RvmDcGp8bm5,Super Silly,12lUwCZdVz44FharqZMfnq,Hold Your Own,3NBmuNRFsTj7Fgw5kAvb4j,25,https://p.scdn.co/mp3-preview/807a5b50db3e03321a292c55ec5c0edf9a9449d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Messing With My Head,0cYjXeLzhrrgYVjtAcEv4O,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj,Messing With My Head,63OpWRjGIpNQjp7Yze8fNb,43,https://p.scdn.co/mp3-preview/bfced987ec798f51b55e7e50aae8fabedc3f21a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,You and Me,5YO0rlSKP25lVi5mDxH166,Marlene Enright,4LTLCFO3bKpgQRLjneZLgq,You and Me,6yU8S9BvzCcn4vSiDqTUzM,19,https://p.scdn.co/mp3-preview/d04fb865f206d5b93856838fb80150191cedf692?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Rescue Me,6Ra8gWa7m5Ho5VeotmnMQl,Isaac Butler,6WNQZiST6bmusWFp51hV7p,Rescue Me,3p3BjYGJjL3GqhVcvmQc4w,30,https://p.scdn.co/mp3-preview/d7a97d3aedf2a124f04dbedf6b3403cdfa5e1e47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Lotus Eaters,7gYyQi4sujOwX9OgDMB4Hn,Tebi Rex,7zS2n2fSTNuwDTqfYHv55G,The Young Will Eat The Old,1MD9lOH4GENuvwiPtLgxiA,33,https://p.scdn.co/mp3-preview/5a6603f6686d152720c0d65b56922fd167121038?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Last Flight,7cEMs2QJwl4wBln0QioY4A,AikJ,5WyrbfsOVc7Ujg1iUGp1Ke,1992,6VmVteg1dHTlX6zsDZBxkK,28,https://p.scdn.co/mp3-preview/b589f3be29a54ee6f7d9a0678afed0bb23f0ebe8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,I Love My Friends,7s4ZSHIP0Klj15b0kmKGaZ,Martian Subculture,5CNfcjsUX8fZ0lo0bPrdu9,I Love My Friends,7GykD6qgJTmzp42651T403,22,https://p.scdn.co/mp3-preview/d17e9858d551787163cd18ac41c586d252253912?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Seven,0JnWDODEEVdGmnI13Ec4CO,Just Mustard,0wXaC3fHGVXbhwn5iLZMMi,Seven,3cNyfPEag1LgOHneSsMTlV,37,https://p.scdn.co/mp3-preview/27619588aa35d21fdba2bbd951ddb4c67f22d947?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Follow the Sound,53VulJYt0jDXe9koRETpLH,Kean Kavanagh,7bSUVGOUQn87z2HRy0Ha3B,Follow the Sound,4LcOMa44E9Rfp3f5cGpLfm,33,https://p.scdn.co/mp3-preview/9bcd4e87dac92014ce9a617b28362b257741bdb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,38 Long,0IVGfuxALTs2KptTOOpabP,Dashoda,7mnU27QcKXISW5mM4dYDhc,38 Long,3cYpiUir8wtymBMRh5pn1r,29,https://p.scdn.co/mp3-preview/af7e64effa27641defb0d56851633cd11350fbb0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Love,2bZfLYLcOiWSNYKtiNQCRq,Dennie Valentino,6dOJI9AK1zHaiXPiINsh3x,Love,7krtKr5b7cGSDBdDhIn6oA,21,https://p.scdn.co/mp3-preview/1233640c24e469762c6b8372f5b9e121af7fd981?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,On the Run,1BHNfCIDcyTEkm9Qs5hUuu,RikShaw,7xDNKSEDodegTCQirmVKRC,On the Run,0aKueMPcJi7lh0c7MM6ue1,27,https://p.scdn.co/mp3-preview/2a399c3171fac322e90f5cde3aa60a181d7f8c71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,On Board,5WCp8teE5DiS3lYl2EftcU,Alana Henderson,6P6SqdQjXIzTWKj5QBWliY,On Board,0YQXRn90SNUP9thoGosAnx,40,https://p.scdn.co/mp3-preview/edd84f5bb15c5975feec7c6f13c3200d448a631a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Would You Die for Me?,24ZLoPdViAZ9gJii0LSVFs,Otherkin,3KozMLMh8J2iR3jmwndtfX,Electric Dream,5YMNoniwK8B0gAAxS9BeWt,34,https://p.scdn.co/mp3-preview/d8943ec74a6d91e769710e6b3099a32d05fa8c52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Bloodstream,1UgUpku6JtGVBerwDVurHr,Conor Byrne,0hEeBhTVYUKs2B4PY2IdMB,Bloodstream,25F5v8WWVCCSL7II7HXZJu,56,https://p.scdn.co/mp3-preview/39cfa464d834f4e61c4e506faf10b906391281fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Like I Do,6TYyNok6Bkt2EkWbG4RBGm,Moncrieff,7axEazQlDDxu7KBQyFTfoC,Like I Do,441bTMHJxjdr2r10Do3v30,37,https://p.scdn.co/mp3-preview/69965c727100aaa4a69586521e0fa7fba5e43c5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Tin Pan Alley,1g93dDRFRuN021f5uB6m6j,David Keenan,4RhFWLvAR5H5uXvjWVmxMG,Tin Pan Alley,0NKWdlpZAIS1y2WUUIkclf,41,https://p.scdn.co/mp3-preview/89ba0452824c55cf34a077f9b76c18ae9e4472d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Fahrenheit,3pNdHQq7wF7CEJSWXcnoSn,Kitt Philippa,7vdR3mj5oI4T6PbnhWcxcX,Fahrenheit,2geIWahV7sgfKg2BgrVd8j,21,https://p.scdn.co/mp3-preview/c05ce02cbebd4be07cd27ef205c46744b8bb3dfa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Nobody New Around You,33OTdf4l4rnrAMIc6FPjh1,Daithí,2N5V735dwftKHqBpx9YPrz,Nobody New Around You,7MQyqBx6A1JbidrUgYWveK,46,https://p.scdn.co/mp3-preview/e04e80eac6467190a28091686ae8c7e35b66c135?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Mother,1BE9cEPHmw3fFtqdtsErz0,LYRA,0yZG22ntdDqVCFIulOTc8x,Mother,6PW2oTmnhDHWPlfFns9lsX,40,not available
25,Fall So Easy,0luP4uMdiFgBaOEBNC8cEl,1000 Beasts,3gFKwhL6BbxCd4Meqm2AH9,Fall So Easy,0URTcjVa6Fdohlq4NaAxMs,22,https://p.scdn.co/mp3-preview/9a1b3a54b741daee53568a88c8345389fefb7722?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Sound the Alarm - Demo,0rX8Bvin7TCphXx76qt7kN,Hudson Taylor,4DX2G1URzfEiRg2wBfv4ub,Sound the Alarm (Demo),61Pc8J5c6MlesOnejADstZ,45,https://p.scdn.co/mp3-preview/601e169171b30fc94bd40fb9f8ba6361a506ff5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Did It To Myself,0bPB8TqrB1xBYzGEcpC7Q8,Orla Gartland,3ajf12ub55b51qcS94d9Co,Did It To Myself,4gyfvcxg4RYbtJwpcL3CZl,53,https://p.scdn.co/mp3-preview/530d7242a5f0d304604b73a26e4083c073052e69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Collar of Fur,7ytLP3YW58akAQyMTwW78l,Fionn Regan,0WJc0VDtzsLIk33XRB20Dy,Cala,5N1201PBNTiy1gj7b7sPsW,42,https://p.scdn.co/mp3-preview/5c6d183cdcfb04317c21c8fe8cb3811530e1d60a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Butterflies,1RMvWA6XFFN8cciB2GHYFy,Soulé,1XRCocF9w2bZKho10CbDOP,Butterflies,4u3b4Pc923P1iz846Lz1Pj,54,https://p.scdn.co/mp3-preview/3eadac539c15457df4b82d6dcc42b11fc9d77ecb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Outnumbered - Acoustic,7FCdJdGEOBCHqZAYRoZAWV,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,Outnumbered (Acoustic),4nk0xj3tr6st2yzimGINin,67,not available
31,Nineteen,1HUWs8ZbRhFh8o9kqkEoAJ,Saint Tomorrow,4mJ4m0EXLrIujnViXmAuK2,Something That Matters,3nlGTdBeZ1F8CS1zuucBhS,22,https://p.scdn.co/mp3-preview/f7fec905acfea3fb929c533cb538d8f064c76593?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,I Never Got Off The Bus,2xoqLs9gKow0hYJvG7GgJ4,Tebi Rex,7zS2n2fSTNuwDTqfYHv55G,I Never Got Off The Bus,39oxxbiCSFdbaII24r2Bc1,33,https://p.scdn.co/mp3-preview/bf95022e65294dacbc8f14a6c6c634dd3c7a338c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Lost My Mind,5cmW14aaewacGlxOopDgTO,Lydia Ford,2pC5evGCBphU1KuCK8MoS5,Lost My Mind,7kSByqauDKNzjRXVcWCUJ0,22,https://p.scdn.co/mp3-preview/15228458a53c97d4c0d8513b4deec355a6095950?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Bop.,1QBZ93QHvoQBBGimAEpOgC,Modernlove.,2u17Ej1u0JHyRsstmofsrh,Bop.,6vg5xGCzCZJfgxfBXAD73g,42,https://p.scdn.co/mp3-preview/2e53fc050ccdeee27b00191f2df2d0d33e6b4785?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Expectations,0VHlmHT9EGuqmMfIuiAkSR,FLAVIA,4KvJPTW5GGjm49mMuzftPA,Expectations,2f9IEsNWQwJyCteyE0LdgX,34,https://p.scdn.co/mp3-preview/b69eb08d7b5785b5ea6f9978606bf1d51eb586d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Ocean,5g2Oit5ha50uuxCMR4TV1E,Tolü Makay,337qYJNRgFq2iddKtqiHDG,Ocean,2jG2FsBXGo8jQvVD2iS9NF,32,https://p.scdn.co/mp3-preview/82ac07daf41a3e895db10066ae32ec92d43afacb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Paris,6MkCfpkdimGrSG8glacoXD,ELM,0z5MH7P2J44oGJjMreM1WD,Paris,7cvUQy83PTx3r9OTz1uWsG,43,https://p.scdn.co/mp3-preview/0c03c9580b3377752bb2a79036ded5f7d2589b28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Airbnb,4muB4FNAYFvOslGxHX1u50,Kojaque,3ZHJIsD3uMwwjXlSpDzPtY,Airbnb,19toFGJdY03fyT7LPM7ksO,37,https://p.scdn.co/mp3-preview/c4919cfbc04def040267d17ac11e7f16a1b6403a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,More Is Less,6stRwMBE0APnzwWIaWiBbJ,The Murder Capital,18M7pJRsgFVjEBZ5ufmJAp,More Is Less,2x5B4OPy45jFeTEyI27xd7,8,not available
40,Petty (feat. Shauna Shadae & Wusu),1neDT1UnYTvC64Js6OptAc,Hare Squead,3OqgnoaUHWX4ih4oAL0zzQ,Petty (feat. Shauna Shadae & Wusu),5n4IQTVp8iHgd2UXhTgfeM,40,https://p.scdn.co/mp3-preview/f76273ca78ccf2734a49ae5e0b71a7f831953f68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,One Last Time,1QoIpSZyvTvZxRFqBG20fb,AikJ,5WyrbfsOVc7Ujg1iUGp1Ke,One Last Time,1lpYNg91NpNXYVjmxfAp2P,22,https://p.scdn.co/mp3-preview/c70a0b7d0ba56a152564926e8d397eacea33b3db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Loving You Anyway,6QWaqZ1vnEKuWBnRIxmWAm,Conor Clinch,4P8PcG9dGe9tJ1QUGABckm,Loving You Anyway,79jzHP6bCG7SURFTHxKxUP,24,https://p.scdn.co/mp3-preview/b8ef1593586caba7b7c9ed3b1dba64132001c18b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Summer's Song,3ILvrNAnpGlBW440GMq9th,Villagers,2m1l9MLSslzup4vvokKgvQ,Summer's Song,3lqCqC7SJYGXQsD2va2ZvX,56,https://p.scdn.co/mp3-preview/7f5fd8c420a95f5d7f172892c9ad90916fbf7231?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,void,1EUC7EkK3FuOe7KqZ2cTGL,notions,1Ee0X7qILX8oP1nP38WotQ,notions,1BEgdlmbCzhjFM6dHl6n1U,20,https://p.scdn.co/mp3-preview/4d84c7451d63675ca2adda83e475db0cf664b35d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Elysium,5NIW6h7dMOmTajA0ug4YjX,lullahush,6AOMBIvvaiHnttzFuzaL4y,Elysium,1qawNYu5APRZGln8rCEWC3,20,https://p.scdn.co/mp3-preview/01dd9c5ee1a15cb91556d80bd373cac632b34d30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Fool,4NgfxzTUZw3s953GcTvDxC,Mick Flannery,5tIXFM4sGNRR4Oo3hLbFdf,Mick Flannery,48rcrRY3lVDZ23cpE6kwls,54,https://p.scdn.co/mp3-preview/021dc766c344c7bb8b283527b203add86d8db75a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Is It Too Early? (Kilmainham),3UcrZK7LLThTmPJgyizzyk,Saint Sister,7ufZdjYTNe1vzA9Z6Fek14,Is it too early? (Kilmainham),2bFOSd9Svy3bqWJ4T74yov,49,https://p.scdn.co/mp3-preview/0fc5f5f9403b0f430b9e7f35848200cf1ae3c442?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,In Need of You,450k3QVXvqAawhGtStdF9l,Hudis,0lKvXZMcqMsL2RfhKDciLm,In Need of You,2XHe2ILo81fTOC6bFxJ442,27,https://p.scdn.co/mp3-preview/cbb5278b390dd93d354376a604b62b3149164b68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Out of Town,6wL9FNd2xNx9cK5RhYCmhM,Eve Belle,0hlmKVWnpCYbbiIsh0P2pj,Out of Town,4u4cwLGoaA6MG0NDAJY5UK,42,https://p.scdn.co/mp3-preview/15a536fc88698d1f758d0df4fc60b3b2c3414d6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Long Time No See,3Ec0lbgOaVkq2svERIk99G,Wild Youth,4wZxKygv7GA7oGYzk6bpid,Long Time No See,5WGfLxy1bHNGCPz8wRSRl0,47,https://p.scdn.co/mp3-preview/b38a2f9ca1ffe00c516852556565cb7192f5f83a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Because Of April,0pViXOtcq8DVHYyDZeer58,1000 Beasts,3gFKwhL6BbxCd4Meqm2AH9,Because Of April,6LlHkCu0etdfDQuh0TrFjZ,20,https://p.scdn.co/mp3-preview/124509c5436a42c3fc5eb0a3392b01673ac5f217?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Six Drinks,0BkP2vaUv11m1QOHBOghjq,Uwmami,58uFM3F40S96oGeySzhuEI,Six Drinks,6FhccWWEJNSL7pxe8SHyc5,17,https://p.scdn.co/mp3-preview/22fef2f35f51d9f34aa3ee91e603b8a0fb96ce9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Talkin',2MNLmMBvyAw84MFyKCxKIy,TADGH,7FyUlk9Iba7ZjZPOhR7IcK,Talkin',73nsSooi8OCP5R8nhOxCLs,21,https://p.scdn.co/mp3-preview/1a7e29dc6fc9d352e0c62d54b2b9c3275a033ecf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Dig,56W1JxgIHfMi4OKMtLHMxz,Runabay,0mTPbUWGSkbc2A2q8D1Bkb,Dig,2bltVSXtheFumVmcSrfVxQ,21,https://p.scdn.co/mp3-preview/c755dfe9d4e7f0dc292cd10073ec10f0eec87df6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Why.,1k6DQHmRY8uwqXjd6ha0ki,Leøn Jermyn,4xxTi9dGYpw7h6tQjurlhs,Why.,2rnlxuR2Co8HcPwWVPo3JF,16,https://p.scdn.co/mp3-preview/0041939c1f961ff623bcbf387101956cf15316b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,HowDoILook,13zKVjpCoE4Ed5KUyNag8i,Pillow Queens,7BDvurihyagH0uSPNDJX7d,HowDoILook,21WcPgKlPvVvNQRrY2JdnA,39,https://p.scdn.co/mp3-preview/a23c27f5b17ad25647418a55728cc7c7269586a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Ozone,6mOHAShVtqwJIBRAd7Xa4l,JyellowL,7zWrMTItje9ZjKK2XWTPle,Ozone,4x9Nh0dyy93tsBOQylu5pM,56,https://p.scdn.co/mp3-preview/c7ad0b3d0d50f2a598ef9bca6b4a5d8ddd12d704?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,On/Off,0Ct8uVJzNSKvtvHQZXoTSo,Adam Garrett,4WzjMiGqjSIJoSJsBuS05p,On/Off,04SOlDQvMliZxW66RpjtPA,17,https://p.scdn.co/mp3-preview/2ae457f01665cca6421283f3703d92ec9d292ca2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,pak it in,2CBrwFbrNnzvikGZXq5j9l,Uly,1i5DopntEK7C4VKpD5F6zg,pak it in // mama,7fbNuLkq7MOLzrajDNymJp,29,https://p.scdn.co/mp3-preview/f2a6ae37fde0135d574b7928a29541336ba11e69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Strongest Thing,73wzH2KNipHnQR050VZDZM,Bantum,3PcfymOgMHBSp3T5YvSDiS,Strongest Thing,0mMGjeh3VhRd4uJF8M6Dv0,20,https://p.scdn.co/mp3-preview/09892502c45c6d5f602b981b9a543b474eb2561f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Questions,06YCEw6aP8M6jl6aCS1VCD,Nealo,0HR90wEU7v0pQRVsltcQKO,Questions,3jAX4mT9VMHQ3ZX12Arn8z,21,https://p.scdn.co/mp3-preview/fc4ad6bdc4f52afa2e6bb2156a984666408920a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Don't Talk About It,3i35NwwhppbiWcN44mo5GM,Sorcha Richardson,04Zh21lNHZb2MCCcRcN2pc,Don't Talk About It,4zlVh5Pa9Tk9F5cnrcfkP0,42,https://p.scdn.co/mp3-preview/02ccd92726efe4f3102d942cae2d5ac95d47a19c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Better 4 U,2GmUQQk7i5Sl8Sn5JlbdmG,Gemma Dunleavy,4RdnMFmYii89p8VnyvPHKr,Better 4 U,2QJs566odSV4uxs6HMOFeo,19,https://p.scdn.co/mp3-preview/0869d21bcd63962ca43485474e411fdde537f9ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,The Back Of Her,2YQr4Zh2TsIABHW1TbuvEs,Junior Brother,2CdmJGEGEkzPZ966NCmtKz,Pull The Right Rope,1zJWPGP8JFdpypvANgL1KQ,29,https://p.scdn.co/mp3-preview/11efc4c12dc0644c576c31df3b3e1f99145cbe8a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
