Sweet Soul Sunday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,Long Way Home,23VdpjPPUgWscU45SAZFIM,Durand Jones & The Indications,6TVVIyd0fsRDGg6WzHKyTP,Long Way Home,2wTI2Oc4lMH7NEPeAx6mRo,44,https://p.scdn.co/mp3-preview/c4aa6282c0bfaea34887032bb1bdee9b71bfb772?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Love The Things You Do,1ONzZIqZm1F9dEOPMDjdEi,Pip Millett,1QfEfvB62EEl4upf2ANKkR,Love The Things You Do,4PWJm5KgebAlYm2c1pg11p,53,https://p.scdn.co/mp3-preview/332df6f062cb38650b6e1d75f3c9b2777edf2e21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Mixer,58pJZsMEPXmYX8gvXWyt3V,Amber Mark,0tbeZu9lv8YEKSQ9tZSslu,Mixer,6xPqva9kzYP8usdKOUiHdn,63,not available
25,Mama's Boy,6clKHZhRK9oYf7hSmmgPEX,Rachel Chinouriri,4wrzxtBZw20ufDstKyTnnP,Mama's Boy,5eJ7v3cfgDxwwGMSqh5PGj,41,https://p.scdn.co/mp3-preview/853f6abbfe33a525b6bd52dc3f4d64980b2aa0c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Chocolate Brown Eyes,3FTAtF0cSGFTsPGOxdEmAh,Salaam Remi,0rlS0SzVFk8BoiAW0fGBbN,One: In the Chamber (Deluxe Edition),2vHNgHUCVVoiuBQQXT0wzu,4,not available
27,Don't Give In,62aWvmFONlusEPthH5CmA2,Joesef,28EyduqESEOVMO6vglvaUZ,Don't Give In,4nkVzPcDX2u2X9NDM2bTck,52,https://p.scdn.co/mp3-preview/e831bef904cc8d48b46ef73f556d52a512584e89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Jenny,664SzaC9wvcH9fGdZ6uwgS,Mae Muller,1BEUkE2CSUgHTLSBMZdnFB,Jenny,6xWNMRm3U3vyPCj1pVUID6,12,not available
29,Better Off,1rmxutSgq9DOSPmQAN0Vs1,JGrrey,66rDbD3tWR3M1uNuIaDAGx,Better Off,63FAPe3pCgL3MVdxci1DEe,44,https://p.scdn.co/mp3-preview/2b3ce7c61888f8bed723e07bfde8660f4db8aa93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Almost (Sweet Music),7nDYw1nNAW4dAqgmW2W3tq,Hozier,2FXC3k01G6Gw61bmprjgqS,Almost (Sweet Music),2k7vcF0Yr1drY0YsJQAACa,25,not available
31,Silhouette,0WJ0pQmEdD8TVapiIAMouY,Grace Carter,2LuHL7im4aCEmfOlD4rxBC,Silhouette,5nfcaGzk2wBjCgrr6Xq0yF,11,not available
