Alternative 90s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
25,Dry The Rain (Remaster),3soLwFvqNYT90pZHSZhmK2,The Beta Band,2LMR8u7DOMF0FBseDpTsRa,Dry the Rain (Remaster),3vgtPUuKQeisfGXQohiewS,43,https://p.scdn.co/mp3-preview/835efad2be59c67fd79dcfd07012028490ee8b0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Creep,6b2oQwSGFkzsMtQruIWm2p,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,Pablo Honey,6400dnyeDyD2mIFHfkwHXN,83,https://p.scdn.co/mp3-preview/e7eb60e9466bc3a27299ea8803aadf4fa9cf795c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Alright,5xC8uOesnn0udeXAYlAnoY,Supergrass,0sHeX8oQ6o7xic3wMf4NBU,I Should Coco,3YfIjaJEWqiSbKPguS9Bxd,73,https://p.scdn.co/mp3-preview/b8476ad1aa953668867aa8fadbfb2a9800ad017e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Shiny Happy People,1v2zyAJrChw5JnfafSkwkJ,R.E.M.,4KWTAlx2RvbpseOGMEmROg,Out Of Time (25th Anniversary Edition),6yEuIwTQpciH1qtj7mP5GK,71,not available
29,The Day We Caught The Train,5bWLIVKl5UrbQ2xEGfAXOK,Ocean Colour Scene,5vIOGcdmx1eIkq3ZtuS12U,Songs For The Front Row - The Best Of Ocean Colour Scene,11UaUnzpCWmm1ARcZtEtFG,51,not available
30,Goddess On A Hiway - Remastered,1ddq4weEupa9Mh4SH1ruIY,Mercury Rev,77oD8X9qLXZhpbCjv53l5n,Deserter's Songs,7djamhNmvVLPDg9FbO149d,54,https://p.scdn.co/mp3-preview/47ee64bf8e28f1406420b32f7befaed664fec43a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,No Surprises,1bSpwPhAxZwlR2enJJsv7U,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,OK Computer,7dxKtc08dYeRVHt3p9CZJn,72,https://p.scdn.co/mp3-preview/de1369604de29117d80cfe277054c5d0d11ef732?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,No Rain,6txWz9UapYHVxEd7dDIHXT,Blind Melon,5sD1ZLf2dGQ9gQ3YJl1eAd,Blind Melon,55jET4vDioHHd7ztX7OX3h,75,not available
33,End of a Century - 2012 Remaster,4em17FyyrOE8Miw8rJwJhn,Blur,7MhMgCo0Bl0Kukl93PZbYS,Parklife,0YS25Dr3hMtMFlVTfuvzl4,49,https://p.scdn.co/mp3-preview/9d7af662856eaa92627875893b1acc8527586110?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,The First Of The Gang To Die,5zflsn7VI8qyvzrowMoTgF,Morrissey,3iTsJGG39nMg9YiolUgLMQ,You Are The Quarry,2fx319btAq5glC9N6tQ8Wr,24,not available
35,Something Changed,05FgZdqxXg40X0WG8MmWMA,Pulp,36E7oYfz3LLRto6l2WmDcD,Different Class,3ly9T2L4pqTZijFgQssd3x,55,not available
36,Where Is My Mind?,6mcxQ1Y3uQRU0IHsvdNLH1,Pixies,6zvul52xwTWzilBZl6BUbT,Surfer Rosa (Remastered),2l7RPWC3E6eStJJLBsUeCI,75,https://p.scdn.co/mp3-preview/d4a375a9c19d4ea8083658b58402926d6990499b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Let Forever Be,3m1JFLpKLYgMi1jf6Bu16P,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,Surrender,1QJP73UumgERuzp3yJSXw3,56,not available
38,The Drugs Don't Work,2KArbNRAnfGcnZ1gSYhVy5,The Verve,2cGwlqi3k18jFpUyTrsR84,Urban Hymns,2okCg9scHue9GNELoB8U9g,11,not available
39,Beetlebum - 2012 Remaster,4OHVCeQYPncEwZOtNAJZZx,Blur,7MhMgCo0Bl0Kukl93PZbYS,Blur [Special Edition],7HvIrSkKGJCzd8AKyjTJ6Q,57,https://p.scdn.co/mp3-preview/28ba45b522401cb7363bbf0467cc8ea551dca8b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Do You Remember The First Time?,3rhITD3Q7qlOMCebBTHL8N,Pulp,36E7oYfz3LLRto6l2WmDcD,His 'N' Hers,4YhFzXoRDlowowzzNnNnP5,6,not available
41,Yes - Full Version,6joAGL5IuD66Qgcz049ObW,McAlmont & Butler,0BV7lpkyFTbzzML7DuUnpZ,The Sound Of McAlmont And Butler,0gquqV1L3QZjZJ0ExzxtMo,49,not available
42,Chasing Rainbows,5l6ab2amq8jjuNqaxFsVrl,Shed Seven,3iejrAcqxYoVgyxp6zkWgs,Let It Ride,7wTnoelmadLnvEXH8Je1nA,7,not available
43,It's A Shame About Ray,4AzgZff7Jp0zfKljrPWz15,The Lemonheads,6w7fc6IZlo5zwBaKT5jU1X,It's A Shame About Ray [Expanded Edition],1DxkKAQDMX4H1TlXCJAYyS,4,not available
44,Novocaine For The Soul,4uPi47C1WcnhIbvCx4zCu6,Eels,3zunDAtRDg7kflREzWAhxl,Beautiful Freak,7sqwuxORaCogFGgygafdSt,54,not available
45,Disco 2000,2aC8wwfrM0YeTAzzk8hxqC,Pulp,36E7oYfz3LLRto6l2WmDcD,Different Class,3ly9T2L4pqTZijFgQssd3x,66,not available
46,Corpses In Their Mouths,3kkDPzmtGVHhmedF3v9k7v,Ian Brown,3s398TKZNahAURRacx7oIT,Unfinished Monkey Business,7MtDCSa2vkF4yfNCNLjgLx,48,not available
47,All I Need (feat. Beth Hirsch),7jOM0KIKgIppqIEvEjixaj,Air,1P6U1dCeHxPui5pIrGmndZ,Moon Safari,206GTDefY2qRMQxYXmfb0a,47,https://p.scdn.co/mp3-preview/eb694445a2ea5f7f290fbf753ce28bedd98619d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Sit Down,3idthQ24V2aPRcthv7Aq5o,James,0qLNsNKm8bQcMoRFkR8Hmh,Gold Mother,47lo706CUDxRCsQNSADyd6,14,not available
49,The Riverboat Song,1oPg2EYKf2hbS7aDyE8j3S,Ocean Colour Scene,5vIOGcdmx1eIkq3ZtuS12U,Songs For The Front Row - The Best Of Ocean Colour Scene,11UaUnzpCWmm1ARcZtEtFG,49,not available
50,Trash,0eyTLxTwEYvqWm6NYSvA01,Suede,6PHIK3kjWggLtVygsOtpqS,The Best Of,6IKWPpfzzSqLSgbIfvCrhO,54,https://p.scdn.co/mp3-preview/9910ee0612646b172904d80f83b04c2aab30df12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Parklife,3mqRLlD9j92BBv1ueFhJ1l,Blur,7MhMgCo0Bl0Kukl93PZbYS,Blur: The Best Of,1bgkxe4t0HNeLn9rhrx79x,56,https://p.scdn.co/mp3-preview/752746889d024cfcb6a5c39d3c28157f20079317?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Waltz #2 (XO),5AMrnF761nziCWUfjBgRUI,Elliott Smith,2ApaG60P4r0yhBoDCGD8YG,XO,1zOxlHQGGV6EH7n4OIFTyh,58,not available
53,Malibu,5bVOX6eyHsML2sB4aMlZEi,Hole,5SHQUMAmEK5KmuSb0aDvsn,Celebrity Skin,2KE8WCHtD8qnAxXeIzNEId,61,not available
54,Brimful of Asha (Norman Cook Remix) (Single Version),29capylmokCeuNAWqGitij,Cornershop,3Kf7VEIRWquxrNIuyJZnfF,Brimful of Asha,3zImpd2BehQCHbnTiIJlZB,64,https://p.scdn.co/mp3-preview/da622af9726d1dd10b920640c46bbb91179b2d33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,The Wild Ones (Remastered),10hLkl5k0NjO7QAJvoVzIy,Suede,6PHIK3kjWggLtVygsOtpqS,Dog Man Star (Remastered),1LgpJjBJIRQhkJ01oZR3Cn,41,https://p.scdn.co/mp3-preview/1214dd0052c4089d4ca4475b55302723bc622e8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Race For The Prize,0XczuPchMUnMpsLvHOsg9Y,The Flaming Lips,16eRpMNXSQ15wuJoeqguaB,The Soft Bulletin,0Gpcuci4CMpKHvZPM34KWg,7,not available
57,If You Tolerate This Your Children Will Be Next,2VmyLy2HQlkevZYboXHM5O,Manic Street Preachers,2uH0RyPcX7fnCcT90HFDQX,This Is My Truth Tell Me Yours,3gUL89r4nMGlkjRdfiZfZW,62,https://p.scdn.co/mp3-preview/fb93b197850d0cdb2bdb5bb3c4a15873cdbd6c87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Loser,5PntSbMHC1ud6Vvl8x56qd,Beck,3vbKDsSS70ZX9D2OcvbZmS,Mellow Gold,0iIGP4Sxw3KR4OCFv2yvz8,70,not available
59,Teardrop,67Hna13dNDkZvBpTXRIaOJ,Massive Attack,6FXMGgJwohJLUSr5nVlf9X,Mezzanine,49MNmJhZQewjt06rpwp6QR,70,not available
60,Here's Where The Story Ends,4SPi5Pl7aAtauFsH9Lk5LB,The Sundays,4nlqDmbzFzbNITaqjJv7D7,"Reading, Writing & Arithmetic",4bofszhtDfGY6smHBGeyTT,50,not available
61,Losing My Religion,4d9RTWdrFLVAGhdzvqxkwn,R.E.M.,4KWTAlx2RvbpseOGMEmROg,Out Of Time,22c9GGhLosljU2p3xPmOfe,16,not available
62,Walkaway,3drQLSnECw7QSHMysFqFx7,Cast,0vBDEQ1aLZpe4zgn2fPH6Z,All Change,4QpYfKscCgJ7cciYCEysg5,54,not available
63,Cannonball,11nv53N7ZnNTCgyl8yxvYd,The Breeders,1xgFexIwrf2QjbU0buCNnp,Last Splash,4lxW0axOKlImAQ0akMRz61,10,not available
64,Olympian,0w3xM9vQtoAn05Iqf7MyGb,Gene,5Rsu72e1qrjIUtxH6Zmy9K,Olympian,63pLihcr6nXOYNy0mzUWdV,40,not available
65,Road Rage,1A7pz58VR2Lpc19c58QdSo,Catatonia,4Bgfzia8wyaGaTn42egzTv,International Velvet,5oORHAxHQggskA01yI3l6a,53,https://p.scdn.co/mp3-preview/7f84a82cf69d27291fc4cae6bd0c1e645bc53305?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,All You Good Good People,72TPbqNS18yOlXa5USPSSo,Embrace,74K7bX12L8GBAWvPuyIgJ7,The Good Will Out,3eNC1W7Y3mkEVA10eTojFK,49,not available
67,Alive,1L94M3KIu7QluZe63g64rv,Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,Ten,5B4PYA7wNN4WdEXdIJu58a,76,https://p.scdn.co/mp3-preview/628f678adab15d9b2b8a144e4bdffd5b2c493436?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Black Hole Sun,7fURZRPkB2S70sYR1naKTK,Soundgarden,5xUf6j4upBrXZPg6AI4MRK,Superunknown,1xHWwGSoF1DNE4hqgBRkJX,50,not available
69,Sparky's Dream,1yRvKs56kf5QzWelHfKAS8,Teenage Fanclub,2Sp19cOHSqAUlE64hekARW,Grand Prix,2WVET5JGGFV5DM9KVoFD1H,4,not available
70,Rock ‘n’ Roll Star - Remastered,1lCuf3uU0ZdAiqxVuZUv67,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Definitely Maybe (Remastered) [Deluxe Edition Remastered],3F7qb5AiQdWxuMgSyQ9zyg,57,https://p.scdn.co/mp3-preview/5715702e74edaeb04e686e61c504729d0ed08eb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Susan's House,6DJGcxLJlkK7egBtb8iu8o,Eels,3zunDAtRDg7kflREzWAhxl,Beautiful Freak,1GJwrOcVkg2kCtI8RUZEdy,5,not available
72,Holes - Remastered,55mEIzlNXYiUXoYgx9S4PI,Mercury Rev,77oD8X9qLXZhpbCjv53l5n,Deserter's Songs,7djamhNmvVLPDg9FbO149d,52,https://p.scdn.co/mp3-preview/73d33f87feabc57f6c852ea38e35ef3b949a5d83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Mrs. Robinson - Remastered,5EugXICXL06waHgP4iTI58,The Lemonheads,6w7fc6IZlo5zwBaKT5jU1X,It's A Shame About Ray (Expanded Edition),3AKjod7W29b6DQKwuInZji,62,https://p.scdn.co/mp3-preview/4c5384f6b2eaefdf5b40a1938cc00f9906484aa0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Born Of Frustration,7LbvpO06tNJzVpbbj96puU,James,0qLNsNKm8bQcMoRFkR8Hmh,James: The Best Of,379HctFmaWUiHTlfUjF5qN,53,not available
75,Lazy Line Painter Jane,0303qZHRLFhKkOgO80toX9,Belle & Sebastian,4I2BJf80C0skQpp1sQmA0h,Push Barman To Open Old Wounds,7iuBgb8bbBcK91zospMebt,36,not available
76,Regret - 2015 Remaster,1UVll7jjUlqSGxCZ6uXVaD,New Order,0yNLKJebCb8Aueb54LYya3,Republic,7mIOgbore2HTzdh2ZyS4rH,59,https://p.scdn.co/mp3-preview/d0b7b9eea3ec5a818feaa40e9094c9e8ae4164bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Patio Song,6fNg0XJSCq1Dn8GEtoDxbB,Gorky's Zygotic Mynci,5ShFRZUGJZL1qMkIPtYV5M,Barafundle,4gPAbPEWrnz3KmSvJJBS1f,42,not available
78,Saturn 5,7fmwCGS5Sj9mceTWlCUJMA,Inspiral Carpets,66GWpx9iLxrvvfhDsG9STP,Devil Hopping,7vhsZvvArRpU9cXxjfiC06,50,https://p.scdn.co/mp3-preview/10d18e1aa6ea4f8c945bd78bb8fcc231e07efe77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,You Get What You Give,1Cwsd5xI8CajJz795oy4XF,New Radicals,0Grjlu7ncIuCaSYvCs9fcd,Maybe You've Been Brainwashed Too,13btXEnBerpA1UjIVtsMAR,75,not available
80,Country House - 2012 Remaster,6L4fEE9awoUnSEy1bmQebb,Blur,7MhMgCo0Bl0Kukl93PZbYS,The Great Escape [Special Edition],7BiMMjtvTX0OiB8Yi7CFB1,58,https://p.scdn.co/mp3-preview/15180508679197159d17008a406311ac2fd8bf9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
