Keep It Going,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,5646,spotify_uk_
1,Rumors - Radio Edit,7bKYcp3E69whGneuW6YSge,Pep & Rash,2HmmA3GhP0xsbRUiDllJUn,Rumors,0hgC5MFOFiyfSHukGboNVz,1,not available
2,Revive (Say Something),3ULbFYODpZrIYOmbCYho96,LuvBug,6ci8SqTgjPrl4jetI82yqP,Revive (Say Something),6qSimDc9IL5q0XWr6AeCSN,37,not available
3,Ghosts - Radio Edit,2TUYTRcHGpsCvahehqlmxR,Higherself,3XfKZDcycd41IzWZXBzbly,Ghosts,157HgJaA2VqnDYN15jeW4p,0,not available
4,Foolish Game - Radio Edit,6MXSFFnKJxDMUreSGuKanp,Funkerman,7ljL11SRgjkdqO8NqjJBVU,Foolish Game,3IcyzfyULphgLSPJ6HU0kN,0,not available
5,Ball Out,6o4dIF4l8XiMBh98geon2t,Thee Cool Cats,2B8pwCMMgvApPWlixiXAfL,Ball Out,1iXlcaBHxFmf2BU6BVNpT4,3,not available
6,Something Else - Radio Edit,3iiVUxFKMp0q0RqwgbvJjA,Redondo,3T0HSMgUpuH1hXbT1JPwQF,Something Else,1vb4hGmntu1TS4JOeyAIij,0,not available
7,Take Ü There (feat. Kiesza) - Tchami Remix,3JLgiop9jcsgYG070rsE9s,Jack Ü,1HxJeLhIuegM3KgvPn8sTa,Take Ü There (feat. Kiesza) [Remixes],7m2o2Seud4IsfKRntVtJvY,40,https://p.scdn.co/mp3-preview/49664d8d275bbfe4915679275b9c105b391a53ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,You Know,5iI9bdhRUfc2ehGOyloYHf,Zeds Dead,67qogtRNI0GjUr8PlaG6Zh,You Know,4E8qJt8v9nqIYAWmY0LaZa,3,not available
9,I Can't Remember,57IPaje4xvTWSDmY9zF2NY,Shiba San,7Hr9bE0u9Rl5n6QahVNRnc,Dirtybird 10,6urf1evF7T6DdFBTtFWaij,0,not available
10,Discharge - Radio Mix,3O4v8KuIbgtlZJV5lZYKD8,Curbi,2XiiUuK68XNdHaHOAF5hnT,Discharge,6iQvytMaiybUYRCJwWQxLQ,0,not available
11,Don't Go - Dusky Remix,615DsUjb7Nd3PdaCZYZwpX,Justin Martin,4FN8WHqUbwkd97WEjoCu7B,Ghettos & Gardens Remixes Vol. 1,6MLTNKiY1FbJCobeZTfphS,0,not available
12,Pray to God - Calvin Harris vs Mike Pickering Hacienda Remix,4owbJfCN73rJQAgQ7HMBBH,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Pray to God (Calvin Harris vs Mike Pickering Hacienda Remix),6sZHNi1h8WzKMMf1zUj6OB,48,https://p.scdn.co/mp3-preview/1fa36d93ea6dfd2aef5d74f0b7f0ef47f771becf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Where Is Here Now,4Q9ilstqWQtEpYRzS2w4w0,Hardwell,6BrvowZBreEkXzJQMpL174,United We Are,4ncScOihFvwLkZiu1Jt1mE,17,https://p.scdn.co/mp3-preview/06d066469b0605fd8292a2ab37c2d55c3a7d23ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Closer - Original Mix,1unGEnFp7ZVZLhKVzOrVlp,Muzzaik,24p18ZRiWWS3GmR4J1QrNp,Closer,07GrJF2Bbn3XkDSFJI51G2,0,not available
15,Human (Silver Lining) - Original Mix,3yTqEmKgO9YPHkZthYBnBI,Hardsoul,1pOxKVLc0EXgcOSqyWOlKi,Human (Silver Lining),53o0Jaidm7iWp2AS8Lltgh,0,not available
16,We Can Ride - Dom Dolla Remix,35w67xYtpD70K0DwdEcw9I,Go Freek,2aRd7rRSUjtZ6WPG5GsBO6,We Can Ride,0WLHU3g1Osdpkg7iF3na9N,20,https://p.scdn.co/mp3-preview/77d8c3e6c118feb1a939b07b438dbeee9fe6a226?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Unmissable,1CGLurVTmoqp8fJoOTKWJ0,Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,Sirens,1tfrh7jInz0lgBamg12OFj,45,not available
18,Shiver - Original Mix,1iPQPwaxBw6yl26bHtImpy,Mr. Belt & Wezol,19VDJ9IKyBSUMDJxLsasP6,Shiver,7q2x0E4iqnFcLzypBk9CW2,0,not available
19,Whip - Jimmy Edgar Remix,6PalCGgexCQkcs5iRItN5z,Aden,2JoY5chli17CvhLnVgLlPr,Whip,5ezwq4CLReMICJ9zQMCHea,12,https://p.scdn.co/mp3-preview/53f3d01d72951346fcfdd6e2cb2c47777c388d61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Promesses - Radio Edit,1F4BES9lxRMi81sfeqvKPJ,Tchami,1KpCi9BOfviCVhmpI4G2sY,Promesses,4tw7VOIiWZio6wbADsmAEf,1,not available
21,Predictions - DJ S.K.T Remix,5lCiYdgqhYGKmtRZ90NWru,Rachel K Collier,0hWL8sffP07PbVm5ilnf1o,Predictions,3VIABsHn8CdMLwXyFSoWEy,21,https://p.scdn.co/mp3-preview/da706981d0b552f8f746d7d6035436031530c71e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,1974 - Leston & Crazibiza Remix,1MT92bsg5GCy8XmyFC1jDK,Slideback,7uyowwxjbpVgERRlBHRxWW,1974 (Leston & Crazibiza Remix),0WxrA8zlFvjKvBCvcEylBx,13,https://p.scdn.co/mp3-preview/7e8b63539ac2f1896ea93c8b040bed897b9532e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Chest,3rdK8kG1TZAid5l2iy158R,Chris Lake,5Igpc9iLZ3YGtKeYfSrrOE,Chest,5AZFpDujQgbmed5o8S3HNG,43,https://p.scdn.co/mp3-preview/66c3a940bdde9bfec20b7b904d3489f147fd8115?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Curious - Deputy Remix,3g2X5jihciC2458ylFSxqq,Ray Foxx,3rBUMhb9YTlfKpOEBZ0AQK,Curious (Remixes),31ZpWdW1dXwA5d4bU4nwlA,14,not available
25,Into You (Brett Gould Remix),0Kc9Gsaf3BdcHwK8UMy9sl,Acaddamy,1hmQ7A6uVxWZShv6Ovx7IO,Into You,46bYI1VBL2YcG4Kr6A2Ysz,6,https://p.scdn.co/mp3-preview/a1f1d17bcbba8215179785c98a0d89e2b0d5f4d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Whole Life - Original Mix,2tAmmbtDJ8lHZTkUrgGMBX,Oxia,2zgFYHwSEYOc1KnldGsBXK,Flamingo Nights Vol.2 New York,6QLHDqvhSMF1gQEVbfeuep,0,not available
27,Can't Stop Playing - Oliver Heldens & Gregor Salto Remix Edit,6sVz743uQCMu85ByHVGBmx,DR. KUCHO!,263Gr9lGWR6ScnRGjxa3Ad,Can't Stop Playing (Oliver Heldens & Gregor Salto remix),3nsmzaT8WP5yg0pnRorVtS,0,not available
28,Close - Radio Edit,3ptukBOu5c6HRG0dxjhqw6,Sub Focus,0QaSiI5TLA4N7mcsdxShDO,Close,14SeHCI8drERbgWG2BQmkr,0,not available
29,Treasured Soul - Radio Edit,4ffXndH7BjJLaKIenlxhUX,Michael Calfan,4CuipEvwcoQggmCV8jpKF9,Treasured Soul,1rBx7gOHgsMr2JN9zDuUAY,4,not available
