Rap UK,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,547348,spotify_uk_
1,Professor X,5wfyoR8XOkw45QRtFOoxyi,Dave,6Ip8FS7vWT1uKkJSweANQK,Professor X,5IHJygOAlKSo0ESGxsEhgB,75,https://p.scdn.co/mp3-preview/b5b9a38563fd1b4320159765f6d6033a24ba4107?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,No Shade,4dYQamqSAYUj87FlFo8ok0,Skengdo,3LmkRGuUav9Un8TDMjwKSg,Back Like We Never Left,38FU32psYk6mJyxc0Af1ls,52,https://p.scdn.co/mp3-preview/d0bf7ace46873613a3d0d16929ff30593cd32c87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Morley's Freestyle,1lP4wa8O6vlBtEfGUXfzkS,Krept,59u6HvxEwrOg7jrPhqxFWF,Morley's Freestyle,5WiizYzQPs5P7TVqVTbrFM,44,not available
4,Freddy,5MQduN4agmSbDzRATJpoHz,Fredo,3rbtPd0NcvhO2AzMfzx90z,Top Boy (A Selection of Music Inspired by the Series),334X6XoNKUzpAQbm5FPsMh,67,https://p.scdn.co/mp3-preview/0722e3aa1bcf9a050c8c59346debbddcaa616714?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,4AM in Coventry,2BNgc0c0zXaHpao46xzqit,JAY1,0BKx4UjPvXVGY15u0xFbbi,4AM in Coventry,0X13k899pLN1iVd1ywBgi8,70,https://p.scdn.co/mp3-preview/792cfc38dd32741a276b39942841e0b883d08440?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Back To Back,07bfKWZvI6qWpdrlue6wst,D-Block Europe,5VadK1havLhK1OpKYsXv9y,PTSD,4dnKBBeSoiEc39sCqItmWk,65,not available
7,Throw It Down,31UGGpT4yhV3fSMs4pQLqD,Still Greedy,0dtThaNZbwSIIjKZx4RXMu,Throw It Down,2t7DewU3TeEMaIzgBTbYPg,34,https://p.scdn.co/mp3-preview/c87f7358a823f1b9970d7552860ed7df5a8fddc0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Cat Pack,1i3UvjbQS0OoBoKkILthR2,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,Cat Pack,0H346vuauoKWvLPXuYGRDb,67,https://p.scdn.co/mp3-preview/5907237d06e26b373e332f33def6b813cf7ecb43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,I Spy (feat. Headie One & K-Trap),0TJxxb5DmfwwAJndnAuzEn,Krept & Konan,31lnFZEM6ysvjOx59VyxRE,I Spy (feat. Headie One & K-Trap),5TlLwAmk28kv24iqYE3A8B,70,not available
