All Night Dance Party,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,630723,spotify_uk_
1,Sorry,23Q3zB4aIt4vvGknhBSE7O,Joel Corry,6DgP9otnZw5z6daOntINxp,Sorry,7sb2NIRjstX3Uimi4oCWMQ,34,not available
2,Just You and I - Paul Woolford Remix,2NBgfdrHa281oTjYQtublb,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Just You and I (Paul Woolford Remix),4Ltp67VkSWbKeUyFUtqel8,59,https://p.scdn.co/mp3-preview/1beb23baaf1effd96dfa36ba89fa1759fa6fdfb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Wish You Well - Benny Benassi Remix,49jQjsgh1bqjLW1UXGPIj2,Sigala,1IueXOQyABrMOprrzwQJWN,Wish You Well (Remixes),4Sa6vVIaKKiPQ87kcMR0W4,42,not available
4,Mad Love - Blinkie Remix,5qiQbOa6AFEO3P111y9Jry,Mabel,1MIVXf74SZHmTIp4V4paH4,Mad Love (Remixes),0o9d312clt8gVtz1uZZkBW,63,not available
5,Piece Of Your Heart - The Stickmen Remix,6gpx6upCWKGaUn8Ngv2wjr,MEDUZA,0xRXCcSX89eobfrshSVdyu,Piece Of Your Heart (The Remixes),5zG7q6eE3V0vMTGWKq06gF,55,not available
6,Dance on the Table,5OPutqODUjt2Y8fdBYTGH0,CLiQ,2IQIEHvL14Tj7vOKHbIMMj,Dance on the Table,2L0u9nblK3tphsl9HSCdgf,62,https://p.scdn.co/mp3-preview/dad4d27b2b89d5baee389353d1975fded5443897?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,White Lies,2UkF0EWfh0T90ScJzGqnD1,M-22,4WFtYn5RyU8VGPpPyW9Pxw,White Lies,0JsabMB0lptwSFeqdBhVB4,67,not available
8,Cheatin',1Ei4I19L2hnsMQYAlaqQLM,Nathan Dawe,2gduEC76ry33RVurAvT05p,Cheatin',5TMEkU8Z3GWcIDI6xq5dDU,62,https://p.scdn.co/mp3-preview/80b47796c42dd9a47b90f0578a7558f660d4fdac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,I Wanna Be Down,6nRNYQiLt3RU06fzHxCnsc,Majestic,6QMABvTzixnxzsLYyhqRxI,I Wanna Be Down,245HRIEl1u62R4afHFTgtc,62,not available
