Push Button Funk,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,74546,spotify_uk_
1,Step 'N' Thru,4kly3Sx6eDo4nqSb9aIFXP,"Grover Washington, Jr.",05YVYeV4HxYp5rrWalvuE1,Reed Seed,5tpw7NswcwYH16XXn8oeK2,2,not available
2,Read My Lips,68LFkY4TMwgKqfOtnNEZ1j,Michael Franks,0AVE7rDx4X9w0pW1XlN1om,Skin Dive,7eW7cmILNYJlWvglZqPqhV,35,https://p.scdn.co/mp3-preview/1691a4a554c378822c567b5937f7c62bfc1d605e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Catavento,6aJim69kiR8IWTtVzlixz6,Dave Grusin,0SPkat5bgfP5wo2kbqZIwu,One Of A Kind,3pEEaMGdhP8GNt5hZBb5zO,24,not available
4,Sunflurry,6x51laBwGmSiHAJEDVCfQ0,Spyro Gyra,1Be36RHAlqJpfUt3tsmUQD,Alternating Currents,7COjxG2FYu3BJj0J1LoJ7H,32,not available
5,Flight feet & Root Hands,5nKnh5VpMcv7Ee37zFVZUC,Andreas Vollenweider,7MynOMOTsGz8NFcPUImWAp,White Winds,3xy84vvyNU7ozOxm1jykJc,27,https://p.scdn.co/mp3-preview/5796bff0aaae15235c089bc300f7f2d879d5ce9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Asphalt Canyon Blues,1Hawc2sA1Ty2DVlWg5NwrB,Kenny Burrell,1sdyFmN4bVOcuFDpTVsxBB,Togethering,4vjT7FWAiMDsUlAPIvdqjH,34,not available
7,10:00 P.M.,0ARChe6hJuCzyHxGKHEvOw,Larry Carlton,7aRi9OzdA2ciputfuguaPK,Sleepwalk,3oZCT0SkabiVJuCLxzWqDP,40,https://p.scdn.co/mp3-preview/cd22aa164dd4caaa9cf912157bd568793494b621?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,And Then,4AMhabRXfjtWNhcwUpNQDv,Weather Report,162DCkd8aDKwvjBb74Gu8b,Mr. Gone,03CBiPwr9yFsSNtFv5HK7Y,32,https://p.scdn.co/mp3-preview/64adc6ef5aabe13ced7292f3e65824bb46104d37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Race With Devil On Spanish Highway,5ixjf2LEWZS63C1Ih5HRZO,Al Di Meola,3bBWKHfpepPOychRNFzg4q,Elegant Gypsy,4CJqkPTJBfoE7Vpk8eudF3,13,https://p.scdn.co/mp3-preview/8c7cde08d941f8d44fd20bd0044bcd039a190901?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,"High Energy - Original 12"" Version",2vhWfgMBYCSo2g1WWDKWc7,Donald Byrd,3ZUZYvTkSr7kJQyAXVpqaL,"Words, Sounds, Colors, & Shapes",6APvdOVCHc6rA2RtlYBJ0V,28,https://p.scdn.co/mp3-preview/8b14c8e69fd6a1d5970075e9bc48daa158b0f0f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,You Gotta Get It While You Can,0Qpdo9lUFMy538k4lzNURQ,Larry Carlton,7aRi9OzdA2ciputfuguaPK,Sleepwalk,3oZCT0SkabiVJuCLxzWqDP,35,https://p.scdn.co/mp3-preview/5b788fe4d7c3d8c958f2c338904cd3d81e184c88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Undercover,6V9CqF8Y46hwzkvfA35m7D,Hiroshima,5ZoVY6c0cokQrn448eRqSc,Another Place,76VMJxB5e0VZqxre2V1ZJo,28,https://p.scdn.co/mp3-preview/989849581863d943257b89ba15649a439c4ad84e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
