Easy 00s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,865000,spotify_uk_
1,Because of You,5Rxa51j0MHgHvauEvglo1R,Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,Breakaway,5qGoSeemjTGVwviJL10w0r,47,https://p.scdn.co/mp3-preview/54d2e5c13b2be3c1f5c98fb243c57391ea7c3d40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,All About You,1KlYwG56LQZhSoVtfpp70G,McFly,47izDDvtOxxz3FzHYuUptd,Wonderland,1z6APXc34SwPp6HYmeSAMl,51,not available
3,World of Our Own,4SAHTVRe6EBhgAOWl49yPf,Westlife,5Z1CCuBsyhEHngq3U5IraY,World of Our Own,5FECTGZ9UdITzeo7o0AhUZ,66,https://p.scdn.co/mp3-preview/72b97683262eda27fc7bae2a40c49659d95e4bcf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Dancing in the Moonlight,1FHNctV68GUNLgXclG2DtR,Toploader,6xeFne1rkxMhKSW3ipvkdV,Dancing In The Moonlight: The Best Of Toploader,3Yxy4ITyguWRkdXwrB9uC9,71,https://p.scdn.co/mp3-preview/22bdb0d1b85e258e30c6dfdd921b12bd934a1127?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Greatest Day,3LF54Y7TxU5vy3YKAIfiQ4,Take That,1XgFuvRd7r5g0h844A5ZUQ,The Circus,4ZQyCspw8NPzUZm1VantTn,63,not available
6,Whole Again,16MJqq0vEuW6GRX6faetTm,Atomic Kitten,6JMHws5haIO6V35YNYDnDw,Right Now,4C2pT6x3mXXgeV3FdyL3DW,69,not available
7,Obviously,2iPIMWQYcrvV6MDlnEgw4i,McFly,47izDDvtOxxz3FzHYuUptd,Room On The 3rd Floor (UK version),1n1amLlhmOOFLCpwvSqo0G,8,not available
8,Unwritten,1D1nixOVWOxvNfWi0UD7VX,Natasha Bedingfield,7o95ZoZt5ZYn31e9z1Hc0a,Unwritten,1meis09isQJFDA65afUTt8,78,https://p.scdn.co/mp3-preview/54cf4f47feb840242695d20e560efaa2990d5f6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Love Story,1vrd6UOGamcKNGnSHJQlSt,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Fearless,2dqn5yOQWdyGwOpOIi9O4x,69,not available
10,I Wish I Was a Punk Rocker (with Flowers in My Hair),4mnTMsp8Cgf9TNiQMhH11L,Sandi Thom,3xnfpcM4DC9zeHVuDhYICB,Smile...It Confuses People,2vh0Lg3vwmArk6KI0m9eb5,61,https://p.scdn.co/mp3-preview/0d1aae29522ff3aeaf1c73e25a4050ea3017c969?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Broken Strings,6jBUP2KCe821yqf1hiBqPR,James Morrison,3LpLGlgRS1IKPPwElnpW35,"Songs For You, Truths For Me (International Exclusive Bundle)",4gbQkXljzPRUvYtqQscMO7,72,not available
12,Keep On Movin',0MjMqYIYzcCteAs4c0BZGy,Five,6rEzedK7cKWjeQWdAYvWVG,Invincible,6rwT7u32X6CdrOCClbowiW,57,https://p.scdn.co/mp3-preview/87938c92b197d3ce13ad91a392ecf49ee565635b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Colourblind,3lkpQ3BbXxPyvwnqjipkH4,Darius,5mP5Rp8gRkB3tdxl2g9Smg,Dive In,3zN8Dz5yglDxT1t4vik7JC,10,not available
14,Lovin' Each Day,1hq0Lxh8bvLp9f55cybimx,Ronan Keating,3nlHsNqwCSvT988ZfSW1Yh,Ronan,6BNUYhhSL5a4yrvrfasKcF,53,not available
15,You've Got The Love,0fPf9CDFzVnHpcfld5XVtO,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,You've Got The Love,77JmKGdCSo3JuNelG5fofU,66,not available
16,Love Song,4E6cwWJWZw2zWf7VFbH7wf,Sara Bareilles,2Sqr0DXoaYABbjBo9HaMkM,Little Voice,2Z9WUERfMjOgQ6ze9TcGbF,77,https://p.scdn.co/mp3-preview/6a346c9d0573a678ca5b2d001c8884d4161b850c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Put Your Records On,2nGFzvICaeEWjIrBrL2RAx,Corinne Bailey Rae,29WzbAQtDnBJF09es0uddn,Corinne Bailey Rae,141Mp3P2VKHQMhtkW1DyQg,78,not available
18,The Tide Is High - Radio Mix,5WuVWOngcRkMOx9RRLCvui,Atomic Kitten,6JMHws5haIO6V35YNYDnDw,Atomic Kitten,340y6ZpqGxp4xW0203bOPN,69,not available
