The Indie List,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,266937,spotify_uk_
1,Used To Love,6WC27GPEjsX24Vv12VX6mb,Alfie Templeman,6QzMY3tnu0m56eKUnr4uCF,Used To Love,2oGxWLARSLplTHJ4HhiwPD,50,https://p.scdn.co/mp3-preview/2b7c8cc44731173ef40dfc48aac0358cb6d8ee62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Go Out With You,1ETajdK6h5qub64KFsU8e4,BLOXX,4wYzzR0lpEub1gUU8bbBTw,Go Out With You,33VOTiFZa62yttu5roeQVa,50,https://p.scdn.co/mp3-preview/d070b8ef580cb9e9a02deda87da3e7e44cecb228?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,"Eat, Sleep, Wake (Nothing But You)",30Ih2VLYmGIWameeQeyaDr,Bombay Bicycle Club,3pTE9iaJTkWns3mxpNQlJV,"Eat, Sleep, Wake (Nothing But You)",1bXVjlT2KJNwJd7NlWPPUu,70,not available
4,Sun Queen,3gvop6gMwnUvGiCfY5iCJK,Gerry Cinnamon,7cpCnhhBIU1gA7EhTFApN1,Sun Queen,6PH8j9lUH84RcVkbU5Q2Q8,55,https://p.scdn.co/mp3-preview/80163545972def84559e37ffa423b23f11dcf8ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Never Let You Go,6H15f8zwZSiFE1iseSvkLT,Georgia,06knYh538h5SI7OAEF8ek3,Never Let You Go,29aFzMPjs687GKSJCPLfNI,59,https://p.scdn.co/mp3-preview/a5ecb0597a1cf56961cb52d69c0cebd986fbfa2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Ad Blue,1u1124Jy0cEy8J3Isb74Fe,FEET,7HeBQpJ3UmyybgEvqfdRAE,Ad Blue,0cxurOQX2IViAm8sk9A0A9,39,https://p.scdn.co/mp3-preview/39f8f1557ee1b8816847785495bb26f1d36ed4d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Now That I've Found You,4QSxcUAwEx5sFitOKZfQDN,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,Why Me? Why Not. (Deluxe Edition),6iInyjotj1rYpx3vbX0MxX,67,https://p.scdn.co/mp3-preview/995b65f84419ca454aca539b187976a8a442fe65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Your Light,6vYRwtuNmaQJg7SlcrMdPs,The Big Moon,0KU55rzxAihPhi27MAuz9O,Your Light,08Ry44RWNOnXiw7gZlBXkg,58,not available
9,Hell N Back,3NRql0A1Ef4RCvT473iqgD,Bakar,3K2Srho6NCF3o9MswGR76H,Hell N Back,3aEdbaJGWXbBxn79DgjamF,64,https://p.scdn.co/mp3-preview/6e4104d14a5ff037a436002f8204bde266b9db27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
