The Scene,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,327614,spotify
1,Slow Decline,5cp8mYB5hLuObilaSEaaZ3,Decay,3ifyzut7ukOaKd3oQZS7S8,Slow Decline,0CuAfP45RJ9ILpt1nqSYW5,22,https://p.scdn.co/mp3-preview/441b9f8665ffdbecd3b49faa7a27cb2d7c0f9b65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Bad Heart,57Ky2Y8zqApk6Wz29Rt05c,Overgrow,0JF3phIHeUwu0WwMBGvegA,The Name We Share,6vW7iTJmX0pWVusTt7bOMk,20,https://p.scdn.co/mp3-preview/6b79bfe0013aa5e015c5d7360be40c85568008bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Senseless,7ljFbiFzWaMEpkEuryLfGt,Honest Eyes,68nq9X5Ib9x7WwrwFpAOhy,Senseless,5G0UwkBTpDvOOabsrrXb3u,16,https://p.scdn.co/mp3-preview/ca96c1bb05a6a6c3199bc17f392bcff9093f3044?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,No Place,0PsKYPjGxyvmwNTlIPxxgh,"If Only, If Only",3C9LYR59IuuR7lgiVPsnDs,No Place,2ddtZZvSQsPjX06jBo4Oh6,17,https://p.scdn.co/mp3-preview/d1b4e9b8e8b54bfe572d22152648a9249c85eec6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Bedroom Eyes,57p8gUFm53940CZaTxHB1m,Crooked Teeth,37gTAIe8kJ5xGtkJLsfFgP,Bedroom Eyes,1oyjqGKLyPlgL5nZDAqezq,33,https://p.scdn.co/mp3-preview/c061198c67d264d981cd64887ee694f69fec22ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Splitting Clouds,0ns6WFRnN6YLT0Aj0Xq43D,Sleep in.,7k5pDjVawZrHGmRPPR29vO,The Stars on Your Ceiling,24V2srT3OXLxcFLasN3Fgm,18,https://p.scdn.co/mp3-preview/0a3e6df78a28f7dc2100bbe2cb6d705117cf616c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,October,718NQ0aAc4sJJBcdrhhvgv,Magnolia Park,7B76SsfzG0wWk1WEvGzCmY,October,0KO8PVGBaOqq4xTSmGOUxK,33,https://p.scdn.co/mp3-preview/47935fc5462d0dbff4107aab54f903d075c9678a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Alone with You,3jLj7HQNl4LXc9vNuwcFyw,In Her Own Words,3NBHNlkwYabSLvnisILPSI,Steady Glow,7xXGabh3KEE6qt7pk9iro3,49,https://p.scdn.co/mp3-preview/4a50be3081d68d44e5da019efb4938309ec49bbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Pleasures,5ekE0YObbldEeDivc3fxy7,Seaway,0JXDwBs1sEp6UKoAP58UdF,Fresh Produce,4WWoHnK6aJKPPUiVrS9cnk,27,https://p.scdn.co/mp3-preview/77fa2927957b67ae2fd967c7853063e9589a45c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Adrenaline,5vxX2POnp7NBbaCAIVQix7,Simple Creatures,4svozL97Y6aqWeZNJPqvsL,Strange Love,1j6QSpMFpwtR9SEZvGgR4L,57,https://p.scdn.co/mp3-preview/0f803f1f2499ae464c6f20d2e2c3e8d6e7dff1be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,25 Below,6zwl1adxhyUWwQkmaGXcdm,A Better Hand,47xNUgLIu6skUOgb8PEuEI,25 Below,5AmHsuypIeih0fSQRzb29Y,25,https://p.scdn.co/mp3-preview/242ed8212eb2009d15da58d04f94c1ca8122cdd1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Never Won,3MiwfyMlFY7GDHWYa2dXxI,Paper Planes,4ngW8590XWIqDXVn4oWyrq,If It's Worth the Fall,1mWhxA4wYQbYPWNDGnmgkg,13,https://p.scdn.co/mp3-preview/24f4be660aeaa3dabd7054319ec4ab46febbc2cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Heart of a Child,1wPvUnwFdgbRaS8Lb1N7FV,Go For Gold,0uTm0qJYe4kohhpRAFbILZ,Daydreamer,4rWQEhE0VdEbwniGwhaazp,17,https://p.scdn.co/mp3-preview/8a00f317462c605740c9e484e2a466114769a8b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Skinny Dipping,7s7xOgct7HWsNjGO3YOtqt,Stand Atlantic,1W2Fv4YUnjC8hx2qQd6fGh,Skinny Dipping,4xtHySb6XaNo8SLRgfpUSu,52,https://p.scdn.co/mp3-preview/fcbc0dbedff8e8b912ca6893fb25d6c0d3cfcdeb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Lonely Codependent,5B0mLTZ1ZyrxwkhDefj31f,Kayak Jones,3adoUmYo7HrLl98fB1nnhW,You Swear It's Getting Better Every Day,6K7s0FB8KGLeVkLvZ9PWTf,31,https://p.scdn.co/mp3-preview/858a0de3939fb3de13f00855e2d1496c9c2ead58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Soul Drive,2G40INFnvdXvMMr4dYa5Ra,Stickup Kid,54ePTSLN5k7BMWG3SKEw1n,Soul Drive,0ewm87FpviLq8YWQdRSEVO,32,https://p.scdn.co/mp3-preview/ea88f460dde88d37237f479143cdbc0e82903859?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Tokyo,49DxDMEH8w7PZkHgiRiySs,Prey Drive,4uzpqg3EzVZBYRybcBLanD,Once More with Feeling,41QrjV2C1jmXESAmxOKmwc,0,not available
18,Smile More,79L1l860HaLzVp52fEMI4a,Go For Gold,0uTm0qJYe4kohhpRAFbILZ,Daydreamer,4rWQEhE0VdEbwniGwhaazp,18,https://p.scdn.co/mp3-preview/858d04bebeac7fc043e7bbfc68f37fab12762c29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Better Now,79HhaJyKuJyFGEgOlHrHiP,Sunsleeper,3KHHh4WVfyUa9ZwE63jdir,Better Now,1CL8zLHtZY8d4w01m7RPV9,18,https://p.scdn.co/mp3-preview/fa11535493050db1157811639d3c88136c020c87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Heartbeat,0GTN1pUhCHBBC2nOKCtxFt,Have Mercy,2UvzehEVGcYTPKNwJSZ2kM,Heartbeat,58Jj06chZroknlToUAFtwp,31,https://p.scdn.co/mp3-preview/671ab94c09a84e27452c24467f6bd522d4377b75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Give and Take,3xr0yPkx3geqWbnO1RsBru,Calmgrove,69ijBiV3tPi6K6Us940JLq,Give and Take,5GJRowl0xSCQPcYr6NVVzn,24,https://p.scdn.co/mp3-preview/e7b083952ec6c6215b23cfa42c05e1e073005847?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Steady Glow,7z0BWWSUAfK2nq59IAHAyf,In Her Own Words,3NBHNlkwYabSLvnisILPSI,Steady Glow,7xXGabh3KEE6qt7pk9iro3,43,https://p.scdn.co/mp3-preview/445202f9156e45d41ba81a76b196d7186c5e7eed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,You Had Me,4uux6v83LA6NXDkXAoGp91,New Design,7dgziNsB98nQPtjUvvJNVH,Where I Need to Be,1AGsNiJxzj3MxeQhQZ8dXX,20,https://p.scdn.co/mp3-preview/f4738485415da82041b948f83104629766286742?cid=fa83a2fec7c440b7a2795d600d6b2c7e
