African Heat,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,508306,spotify
1,Joro,3Yt1ovsh3v3VEzRuhI1TL5,WizKid,3tVQdUvClmAT7URs9V3rsp,Joro,1Mj4mLvCC9P4b167keUsRh,60,https://p.scdn.co/mp3-preview/269db9db4e3302b9a37957f442cbd082ddf68639?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Blow My Mind,1xJTW86sJ1OoloXeOret6t,DaVido,0Y3agQaa6g2r0YmHPOO9rh,Blow My Mind,31Z5vOXMKPSZjpERQHtaSp,75,https://p.scdn.co/mp3-preview/73ab78bea00407603fda8bf1bdee1bc31eb37042?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Collateral Damage,5srIkb35ees5dhgjK3zdfz,Burna Boy,3wcj11K77LjEY1PkEazffa,African Giant,34vlTd4355ddD4q9pPsoqF,66,https://p.scdn.co/mp3-preview/04445328288752defbb0f2dcffb35aa2a7cc238c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Jealous,07rmJZVpXdsSfjOl4VmmFf,Fireboy DML,75VKfyoBlkmrJFDqo1o2VY,Jealous,1WWLTRUn5Ue7Br54tRgrrg,58,https://p.scdn.co/mp3-preview/5cf4f4c97b480ebb23851ad7a8490d66e4e77326?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Ghetto Love,4lzkcjVC7xT3HBIg2PjJ30,WizKid,3tVQdUvClmAT7URs9V3rsp,Ghetto Love,2HEw2wkLTBWlbk8lGSqnY2,65,https://p.scdn.co/mp3-preview/5b4f0524abf983c346b15530d87834ede5bdf553?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Anybody,4cyUTdVRJNxjcI9W4TezDW,Burna Boy,3wcj11K77LjEY1PkEazffa,Anybody,5DPMC3g3iWqpWFzg7NoIG4,53,not available
7,Doyin,71iknvVFjHMMs0nit8eh2M,Mr Eazi,4TAoP0f9OuWZUesao43xUW,Doyin,3G9nwad9keufs9f45T69Z9,61,https://p.scdn.co/mp3-preview/85d2c22cce86121262ce227214bd6e4a5282d13f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Beginning,5wHi0nR9PGCygrfhSxI3Hq,Joeboy,1XavfPKBpNjkOfxHINlMHF,Beginning,2X2fsIGcYw3vBaD04mIN39,61,https://p.scdn.co/mp3-preview/238b3eb34cd4523c52c3c365a7b816462b9a4625?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Akulaleki,6IVjF6tfGdFBZr4wXhMRtC,Samthing Soweto,6HwxMgE895sejjGFin9Gvm,Akulaleki,0qaAJovAE75Ag87oioC3ie,54,https://p.scdn.co/mp3-preview/6ecb355dd89fb620f825dd72d52ab6a5610319dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Dis Love,0HRmd1drCEQWFYdm4BgI5w,DJ Spinall,2NtQA3PY9chI8l65ejZLTP,Dis Love,7zJISobNAnA0Ip5CKE8NpY,59,https://p.scdn.co/mp3-preview/3265ff4b1b7da4f5bde13d91b0881f7c67b19dd9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Gum Body (feat. Jorja Smith),5nUiz96J8ZSmwoSuL4sGvh,Burna Boy,3wcj11K77LjEY1PkEazffa,African Giant,34vlTd4355ddD4q9pPsoqF,72,https://p.scdn.co/mp3-preview/e9606cc7974e10e39f97e4b3e432354c4deceea3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Love Riddim,59zN1921ag2pVv80Oz3sWz,Rotimi,1xBARhKI09ZTmeePVDWMCf,Love Riddim,0FtaeZat9rX3tooDlGtzWM,68,https://p.scdn.co/mp3-preview/4646809ddf9bffed8dda7f2367064785a50a2a65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Dumebi,1sBX7EfLOgP3u6gHJBSqQg,Rema,46pWGuE3dSwY3bMMXGBvVS,Rema,2S0vU69yNYqOkHA62JSjT8,61,not available
14,Liar,5scse2pEzUWzbcleDSJ29o,Tolani,6ILYtYSwIa2Aygcqr8PTds,Liar,1Sn5yLukK2QIzzj9cBixle,47,https://p.scdn.co/mp3-preview/63820a3fcc1acd395a8231086f409022bd9f28e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Penetrate,3iaGr6kK4g3kZFms0ASb5S,DJ Neptune,3L4ZO0ZaSe1qeucpQK8tBR,Penetrate,51viQUw5o1TqDJM1BLY7N2,36,https://p.scdn.co/mp3-preview/d9297dcbe553dc204d7b1d9cd6d79b925e9784e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Mafo,0b4KxqG2zGWDh3iH571a7D,Naira Marley,5DfaMudUwkoz6TAPYifqkJ,Mafo,2lCPh18M0n0Ug9LJiqsREw,46,https://p.scdn.co/mp3-preview/94bef23c4b6bf716dc77d61896de31844f1a4e08?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Pawon,2D8V1dH1XDvUPGG3PNVRyE,Olamide,4ovtyvs7j1jSmwhkBGHqSr,Pawon,0dOlnMWBNez6EyZNkI1tvv,49,https://p.scdn.co/mp3-preview/86c46536122a46ea7f86c079162231c21eefcd6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Power Rangers,5FX6roFt99Mz2erVg8t5sN,Teni,3ukrG1BmfEiuo0KDj8YTTS,Power Rangers,3914O6BDznBFmEzp4Ecgn1,56,https://p.scdn.co/mp3-preview/b824a41e4f76a221cbf672d4fefcbc9967affe09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,I Like (feat. WizKid),5s7j77zpP6e9uz2Q1DU851,Kojo Funds,2o9hRZ3xI27UQpHT61A4Mm,I Like (feat. WizKid),7b57oWMZmdG8wjwjtRiKSO,69,https://p.scdn.co/mp3-preview/79c2c194926a5a4eff309d89cd47d9e9f010b731?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Turn Me On,2fy4RMx6PxjMIW19puNOTs,Mut4y,5eWt7HdpWwlidAEBcNtqWQ,Turn Me On,0AJUMi7Lo76Ose181Z04hC,56,https://p.scdn.co/mp3-preview/d0b0842137a15aecff4facb6bd626b901084e0fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,LoLo,6My7ThfS01lzN9gmBXsF4s,Eugy,6BhoGzrwRr9eELLBJ55ldo,LoLo,3rPV8qefDUHZZxOUYvEmJc,58,https://p.scdn.co/mp3-preview/fa83835a698adb2e180101429662f8053ac6f465?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Before You Wake Up,684hZgWhW3ZfCzSnlBtyBC,Adekunle Gold,2IK173RXLiCSQ8fhDlAb3s,Before You Wake Up,6QpR9zkKWNXdohdXbI6Bma,45,not available
23,Fine Wine & Hennessy,0AR4SnxRpOGiDaNdi1Vgli,Afro B,7oMRcCu0OYSCtCyS3P37iC,Fine Wine & Hennessy,3WbMpGAcq55kv9ZZsaoOJN,45,https://p.scdn.co/mp3-preview/9ce71daad32e65833754ad6110abd5f6301a55c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,BROWN SKIN GIRL,0B3FovCVaGKS5w1FTidEUP,Blue Ivy,3XV0lFzNs8BCTwhJTcMiBr,The Lion King: The Gift,552zi1M53PQAX5OH4FIdTx,77,https://p.scdn.co/mp3-preview/919c83819c5bb9a0097635dd978f9c74135a9cc2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Rora,3FoiZ0cJwgfqY9xKHdVSnT,Reekado Banks,3bxZkzk0PLHcetO9o4oxXn,Rora,7lQwqjZihf3rb4ygUgs87p,54,https://p.scdn.co/mp3-preview/12840efe74f6b53b3cfeac9b09fc13595d082170?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,On God,057t5wmRYi6yW72ufJffH3,DMW,6DmouQfvRZ2y9auxK3DjuI,On God,0Mhvl0w8bn5kUE6jY2aXb5,50,https://p.scdn.co/mp3-preview/66954fae95f8d6293ba3ea8e1ae7f522543106b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Nkan Be,7JttLY1cWgE5OOXOtKzmMN,Lil Kesh,38XiDu0kK3Z5jdHUDqBzNT,Nkan Be,4LslXM95xdGFYhmeRIazFs,46,https://p.scdn.co/mp3-preview/f84f449789bdf8ee9a062c22efaf748836ef897e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Trust Issues,2cgELeRnPeDFuGrY96Lj6m,NSG,31Ua7zSTJxegjyd49ujbSA,Trust Issues,3pVRk6iyvY8RDu5aQl8P41,59,https://p.scdn.co/mp3-preview/9613344662a8cc16ee71afb393a90154c7f4f556?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Shanti,196EVYMJrmHPjoHWi67kJ6,ShiShi,3zLlUTuczHTGLHdMnYNYX9,Shanti,5Bg3mg1soFo2400zWNOoEy,47,https://p.scdn.co/mp3-preview/f8d78421448ee5ff22ab7b6bcee6153bfc9167d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Ello Baby,5zN3hyqfKLYMZ0VGnBvahT,Tiwa Savage,1hNaHKp2Za5YdOAG0WnRbc,Ello Baby,4ReAUEHOS4yJSnTjiYQdyf,53,https://p.scdn.co/mp3-preview/7961f39050db39fddbdf765bfefcbe4a5e93f54e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Cake,0RUHX2p7EZ168CxQURXJRp,Juls,7BIkk865pwBrSZetA8Izic,Cake,6WpVEG737r5citJlfoJlRc,52,not available
32,Better Days,794P6LrIcSEL2NCCqNnUmX,Odunsi (The Engine),3QAWvRmq1TMLuNtDKVyRaW,Better Days / Wetin Dey,2iiLSjMEVjkUnpWrNQ8Qun,49,https://p.scdn.co/mp3-preview/92f270a0305346bbb02481b879a61cfe622f893e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Go Outside,1VFr2wpUYKHrB0my1myhTJ,Nonso Amadi,6pOz4M7D8ENqfLSFvciEuV,Free,449zh8XAxq5uNLlqrz1Lpq,52,https://p.scdn.co/mp3-preview/3316ee8c480840ca1d4a3f83768cab24e3f616b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Try Me,2DYp6Gfu2JguZra6xL8IAV,Tems,687cZJR45JO7jhk1LHIbgq,Try Me,6aitMhXvJwSRR6xD23Gqmk,51,https://p.scdn.co/mp3-preview/41da8fed75853a7e90d2063ecc40ee08e8f06ae3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Bad Commando,5EWn8Aujz90oZUI8RArKKW,Rema,46pWGuE3dSwY3bMMXGBvVS,Bad Commando,1LLXYglTLoygbDr70iZyyu,43,not available
36,What If I Say,1Sc0Sm1sejalPinKg0oaIX,Fireboy DML,75VKfyoBlkmrJFDqo1o2VY,What If I Say,7js3F8zxcs3dodAL8N3Pzj,51,https://p.scdn.co/mp3-preview/75864aa6b821c55a45a12b2984bc6ead571dfae1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Go Dance (feat. Busy Signal),2oTWLUfg4ifWSbynVlgMZG,Afro B,7oMRcCu0OYSCtCyS3P37iC,Go Dance (feat. Busy Signal),1jJ5mZHvsfyw6vuIFIVwxm,58,https://p.scdn.co/mp3-preview/d2adef6a2b4cd8a69624acd2a3238d7e6e4d9d49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Paulina,7lvM0j4lGboB1ryNjAp467,Gerrvd,2NozTfXewmt5drXQK08VAE,Paulina,5Z3mwwyQ71ZiIpcn6z4v3F,43,https://p.scdn.co/mp3-preview/9a44c85db3527df71080ad740ff3644f024f0265?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Different,15Udl5a5DghnGbz15rJb7A,DarkoVibes,5a3kizlLAxR0P6qZEti8T8,Different,1ME7Wo1H8oyCcnBsX4gBUm,47,https://p.scdn.co/mp3-preview/8a069ddbdbd8e48edf85e446a57a81e3e5c54e74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Body,6BppIShWfP2iWGs82OxYZu,L.A.X,6lNEt5LSOQRUFl43OnnHUL,Body,5E3aqnpxpW5SNU5oOwfNZd,43,https://p.scdn.co/mp3-preview/acc0a41045cb3c36354080a4180d3959fcd4ce91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Cool Down,3YBAXkQvbQh35tpnOy5Laf,Fuse ODG,374sWpAJsbZckf98df2jJJ,Cool Down,2Q93SL1IW3rIaLp7OMsTir,46,https://p.scdn.co/mp3-preview/a6b32a2386ae405eecf3f5a334fcb5154d25cb50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,RX-64 (The Jungle),53xA9ueFQDn8r38mqiwqqD,Santi,15GgEOJiFyjQm4tZ4D7qih,Mandy & The Jungle,4IMFZY59ree679oXQS36xM,53,https://p.scdn.co/mp3-preview/12b1b8482984704652620d4d45ec15b338cc320e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Zodi (feat. Mr Eazi),2s2arJw9uQkl9P8ZWwkGmr,Jidenna,4TsHKU8l8Wq7n7OPVikirn,Zodi (feat. Mr Eazi),0tJZlzFlCPdVv7Ef3PwrE6,58,https://p.scdn.co/mp3-preview/351882401235d088189eaad56815dc468313c60d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Sammy Sosa,3tdNc3VqekiQVPVscWO7YR,Frya,6GyAbddVwZTmoB3kcS4Gd5,Sammy Sosa,2TRMelr7nNCsxJfK80BhzM,44,https://p.scdn.co/mp3-preview/93fb8546232061136c48e1ad3bf1763d03e740c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,49-99,0uyUSBG4Ckupz511Al25D7,Tiwa Savage,1hNaHKp2Za5YdOAG0WnRbc,49-99,5oStp74fOW9lLMfZk4LKYQ,59,not available
46,LIKE IT,7GJcwc79aepayf4gR25XhG,Amaarae,21UPYSRWFKwtqvSAnFnSvS,LIKE IT,49uMxN57GpiaVpIH18ImjF,38,https://p.scdn.co/mp3-preview/404752b86a996c881657f70f7b0a234c546fce3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Amantombazane,5TV5x7u5Tnx2i47ccKXVex,DJ Maphorisa,0mMqD2uqwvCjFvlzo6ayGi,Scorpion Kings,5viCi5vgq2zu2FCjmDJpjn,54,https://p.scdn.co/mp3-preview/e69422a47c95c1b7b6948c4ea6d1d07c6bfc8ac1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Love & Loyalty (feat. Mannywellz),740vfmatXFtyNO8FzsQpSN,Wale,67nwj3Y5sZQLl72VNUHEYE,Love & Loyalty (feat. Mannywellz),2P7btxS7XO271QeOm21qme,51,https://p.scdn.co/mp3-preview/3c8c15f7c5d98df3284dae042f9ee549eacc3894?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,December,2XTyx7Txuj6dZ1lLYLj3Wc,IDK,6aiFCgyKNwF9Rv5TOxnE8E,Is He Real?,2JnOb2SpW5DSOHhbW6GKru,59,https://p.scdn.co/mp3-preview/233f2b78945edc403d0322a209dcb6b29b9d96ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Yes I Do,53NV0U3L1modZGvXY4BOQN,Becca,6vMTJy1XlG5FzAuuSLLTAX,Yes I Do,3VLO2Dyerm4CZOFHrGdXuP,11,https://p.scdn.co/mp3-preview/b5ee58ddbb0c324a7655527a7aa659b54aaf23f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
