Mind Right,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
14,Palmolive (feat. Pusha T & Killer Mike),0w9aWiDqZPCOCOtRTLkTPd,Freddie Gibbs,0Y4inQK6OespitzD6ijMwb,Bandana,31KbO7WnDp2AjPdmRTJzdf,62,https://p.scdn.co/mp3-preview/32ba0247cc5657cc6ae5d853848b9a5ae7cbe06b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Nightmares Are Real (feat. Pusha T),0LMgvEwpTKbo2fHS7Qcypy,YBN Cordae,0huGjMyP507tBCARyzSkrv,The Lost Boy,6Pb7PMZtW0fuEM1lCGvCDu,66,https://p.scdn.co/mp3-preview/039c1d478407e65cdc9951c9206fe17c433b5c06?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Gang Shit,7idKKQKjQ347chse0PkI0M,Marlon Craft,7MigDh04CCntQbsBvugEmb,Funhouse Mirror,61RaTAy2yvHeLHN5VTLyK2,51,not available
17,Emmanuel,4PDvFyW8sYdEv38JdSkQ7E,Ameer Vann,7kIbB1pdDyehFj8aNgfzfH,EMMANUEL,08eWihUSFSOoMI9uFRj2EP,63,https://p.scdn.co/mp3-preview/3bae1746412acaf66f377a3fc7688da11eda6e4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,18 Wheeler (feat. Pusha T),0r2aLoohhPKNZ9z6WkaYyp,Benny The Butcher,5Matrg5du62bXwer29cU5T,The Plugs I Met,5So31JibrTO74WvuCozsAb,58,https://p.scdn.co/mp3-preview/1a86b3a1f3c8e4b37007d6afbf7cfc5151dd9d5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,My Soul,5CqKdofDkrRBCQnii6ixc2,Mark Battles,24SwsBq76FnNeXW9Do4wPI,My Soul,1owdukBsJ4XFPCRaZGFTLz,41,https://p.scdn.co/mp3-preview/985bee8973257bf1cc42369009004f42993985f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Prove It (feat. J. Cole),6z7jvqBQtyNLxaKALqT67c,Big K.R.I.T.,0CKa42Jqrc9fSFbDjePaXP,K.R.I.T. IZ HERE,1KvZT4NZm69EkOym8rLqW1,62,https://p.scdn.co/mp3-preview/3bd49b1fd327d6485bcc6b829063f50e70072a03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Drop the Ceiling - Remix,0j2Sx3dRLtGjUk18sQjNJw,Stalley,1wUmdemiR9Dxw8A2el365A,Drop the Ceiling (Remix),6VGzyPGnk06h1B46r6vSWm,39,https://p.scdn.co/mp3-preview/6a80678e4c4d8f04b04faf3f990888ea22f20076?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,New World,6wYlH8EBwJmd70i4HLRlIu,Ghostface Killah,6FD0unjzGQhX3b6eMccMJe,Ghostface Killahs,7EYx33pYJKBfjCaDsfIjp4,53,https://p.scdn.co/mp3-preview/5e78dffc39e10e2aacec459411088b2aab6b6774?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,I Miss,56glB398EsiwsDYAiox9eX,Bishop Nehru,1b5fazYV5ecKkQHKTlwLG8,I Miss,5GIGT9vUvzaMLELe2rtMUe,34,https://p.scdn.co/mp3-preview/c57662a361b26f3bcb8ba48ae66d0812b351e6cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Omertà,3kCwyvhvVTyehIzYN2I0nF,Drake,3TVXtAsR1Inumwj472S9r4,The Best In The World Pack,00HZxSA1sOS9T3nA950sg4,72,not available
25,Thanksgiving,77GoToROOVIQZidN1naoOF,YBN Cordae,0huGjMyP507tBCARyzSkrv,The Lost Boy,6Pb7PMZtW0fuEM1lCGvCDu,64,https://p.scdn.co/mp3-preview/ecca97330a575c896f5bba5d731994ca992104bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
