Get Turnt,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,5645734,spotify
1,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,HIGHEST IN THE ROOM,2uDTi1PlpSpvAv7IRAoAEU,89,https://p.scdn.co/mp3-preview/d9b90990dab9d8376d05c5d4a6b7ac3e99c03763?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,VIBEZ,0fySG6A6qLE8IvDpayb5bM,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,84,not available
3,Camelot,4sWuPniHClkInYAnzXAYUF,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,Camelot,5tdGgaiW18D6bjHFLhtblL,88,https://p.scdn.co/mp3-preview/d6195f6f5f78ed5dc8bb8b5b1ae8456564912592?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Bad Bad Bad (feat. Lil Baby),1GeNui6m825V8jP4uKiIaH,Young Thug,50co4Is1HCEo8bhOyUWKpn,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,87,https://p.scdn.co/mp3-preview/909f15e56869916ec4a0b8bc846c6282fab32a44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Panini - DaBaby Remix,4SDgTLDYrJ2UrHbkRkg7MD,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Panini,71BrrQxz8mZAneNSDE9Lov,85,https://p.scdn.co/mp3-preview/d7592fb6ede98cad8fc13bd08d01a2cafcae5a2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Ransom (with Juice WRLD) - Remix,5DSfqrLkUHLZ9bW0SS3rVy,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,Ransom (Remix),3UjBwPXMIIlazHc2bbJ4EA,78,not available
7,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,Drake,3TVXtAsR1Inumwj472S9r4,The Best In The World Pack,00HZxSA1sOS9T3nA950sg4,93,not available
8,Hot (feat. Gunna),5Z8HZM6iQMhhqyPcCGY5g9,Young Thug,50co4Is1HCEo8bhOyUWKpn,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,89,https://p.scdn.co/mp3-preview/ae942ea0edeae519e31555386d89b49e5242a62d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,BOP,6Ozh9Ok6h4Oi1wUSLtBseN,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,85,not available
10,Big Booty (feat. Megan Thee Stallion),3g8sG483Es7NcJyXgkF1nT,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Big Booty (feat. Megan Thee Stallion),109HkQfABlciphATRx9VnF,68,https://p.scdn.co/mp3-preview/b40c40518744a1ae9a5c18a48ba85fc45025d6a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Enemies (feat. DaBaby),6UFEJuDXQMWhL5UH5f9fUR,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3KziODx7ieQTgYCVrS6nBv,83,not available
12,I Think I Luv Her,6VYXuUz1nYMap8gtqeIrQB,Tyla Yaweh,1MXZ0hsGic96dWRDKwAwdr,I Think I Luv Her,6SLjG25W8rKuvSUExihz7g,68,https://p.scdn.co/mp3-preview/cb61f5787aff8777b62a25f6e26a1b79b03da173?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Mood Swings,2xE16muNCmhZwSOv3i1d1H,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Mood Swings,0ewO3paYhoJwMGX1Yjyebw,81,https://p.scdn.co/mp3-preview/6624c5f2bd5d29d8ed40b4b65ec97ffc178480f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,Young Thug,50co4Is1HCEo8bhOyUWKpn,The London,6p9Y1K9yu3ojyS8fBJXUnp,89,https://p.scdn.co/mp3-preview/1172c366301561c0e3adc84ffdf95f8fd760ca54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
