"Love, Sex, & Water",Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
16,Hair Down (feat. Kendrick Lamar),6sq5mqtS3jwJjvBHALknJH,SiR,3QTDHixorJelOLxoxcjqGx,Hair Down (feat. Kendrick Lamar),5w27XydFTwAPV5GjsWya37,74,https://p.scdn.co/mp3-preview/27cc6d6d989c10dd916a6111809c72dd3e48140b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,"Verify (feat. Young Thug, Gunna)",6tq6PWrJ8y8icAv1x45YXT,Jacquees,4tMm1dU6Gn04VAZ9ClHcIZ,Verify,1rXw0jdKjIl49Ng2mlgO86,67,not available
18,Alone (feat. Jacquees),1367Sa0d0KFI96DHsTc8ID,Dave East,7e10JUMF7MJmmwYpnTSMI5,Alone,2HkdAB5Qb8LrjQgMN9vetv,55,not available
19,Purple Emoji (feat. J. Cole),3OJ4LEE50iFELaHiZ09zif,Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,Purple Emoji (feat. J. Cole),5tcLbrane4ipoQy0liSuNH,76,https://p.scdn.co/mp3-preview/a3542482492bb8af7ff2531770595c54f4ebcd5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Moist (feat. K CAMP),4MA3Wedt0uN60IhQ3JV7GE,Eric Bellinger,7ibAWtDtmEfaVhc1FJ3Vl9,Moist (feat. K CAMP),7Dg6tTTlD05btNOiquPx7n,61,https://p.scdn.co/mp3-preview/714c74aa99d3ba02ae8aa82c934ebd5696c91fae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",63iZvr19gFAToQJdY7Sysn,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Floor Seats,0Q3h1Bm5T7QPo8lI1S9mT6,51,not available
22,How You Want It?,0rbnYyj0Zq2pNJSzWqtf4g,Teyana Taylor,4ULO7IGI3M2bo0Ap7B9h8a,How You Want It?,3dPk7WASa1GmL7vluAP4ff,75,not available
23,Racks (feat. YBN Cordae),2rTjKV5wbfROo0nOzO1wHq,H.E.R.,3Y7RZ31TRPVadSFVy1o8os,Racks (feat. YBN Cordae),5ixUfKMlE7z5djoQf7kP4k,70,https://p.scdn.co/mp3-preview/fe9992bdcf3e98376192f9682dcdbf1a23a852c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Change (with Kehlani),2beHQY7DvKp9q4vwilKKRS,Arin Ray,6TvjXbopXg71XRM9OZWqUc,Change (with Kehlani),580D5yVakExsIvkwZqbXqK,72,not available
25,Summer Reign (feat. Summer Walker),14geRrYSRz73sBbtPD4iPQ,Rick Ross,1sBkRIssrMs1AbVkOJbc7a,Port of Miami 2,1mgw5rbUS94uif2ce9QCf0,67,https://p.scdn.co/mp3-preview/2e9825470b9ecde4f4e7b62c0dbf2186d5f5c522?cid=fa83a2fec7c440b7a2795d600d6b2c7e
