Cali Fire,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
85,Stop It,1faZXzEfhJoy9CG6QPDNZo,Joe Moses,54QA4zjZDOyaLN8bVthBjP,Stop It,4rZEDfRM7SXDcGndHCIdJB,18,not available
86,G Walk (with Chris Brown),4E08gEca6avoGx5SS4MM6T,Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,G Walk (with Chris Brown),3u1dsCyCvCxk0kH1whn1oZ,77,not available
87,Purple Emoji (feat. J. Cole),3OJ4LEE50iFELaHiZ09zif,Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,Purple Emoji (feat. J. Cole),5tcLbrane4ipoQy0liSuNH,76,https://p.scdn.co/mp3-preview/a3542482492bb8af7ff2531770595c54f4ebcd5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,"Do Yo Dance (feat. Kamaiyah, RJ, Mitch, Ty Dolla $ign)",4ABM7D05ULpP8CGyuDJ1Yg,YG,0A0FS04o6zMoto8OKPsDwY,4REAL 4REAL,5zuM1EG06X1J7VsIF1omRm,59,not available
89,Goddamn (feat. A Boogie wit da Hoodie),4TCG827sk5fDEmUvcQlStk,Tyga,5LHRHt1k9lMyONurDHEdrp,Legendary,6hHIX3lfGKnZ2ji41YZMVV,72,https://p.scdn.co/mp3-preview/2f2c7a4794e76383b5b79be5b6ee052bceb0ff20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Rich,2fVVsr5CiuIwvJCGYztKRF,SOB X RBE,2TImI3DW7o5MdRXJs4D37h,Rich,74uG39IAYsfGq8W6FE7w9u,58,https://p.scdn.co/mp3-preview/165163395932be100c5931ed2572fb84c57cba61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Windows (feat. Quavo & Tyga),5YqCVavzzfjCI6EGFt7GSB,Kamaiyah,3XVpDdKav6C6zwlDXPhMEO,Windows (feat. Quavo & Tyga),2w9JCdib0uEXIyMlF8r2xe,60,not available
92,Racks On Me,4OzlYkUZsskCjm2xmuHuHo,D Savage,6FqXAd1hQl7vVdIQ3hhtgc,Racks On Me,362ExkLhR6FDrozeNdKoh7,45,not available
93,All Day (feat. E-40),6pZ03JAD6zoHA7P3wtElqp,$tupid Young,0h0C8mMT21p0Ixq6qO1UMH,All Day (feat. E-40),2gI1Fy9MaozWqC0J1P63ar,43,https://p.scdn.co/mp3-preview/cf09b830c55ba8fa5a7433ead43aacaa9824b6b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Big Phillipe,2ojgiCQ6WsS37eOYW7ev1P,Philthy Rich,3n6RTmT1sgWeNNCfPyJMw3,Big Phillipe,6FD3iuXg45ZOfR5tVruP08,40,https://p.scdn.co/mp3-preview/4ef22958154c0b0d2be68ef07a78c9ea30495003?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Haute (feat. J Balvin & Chris Brown),1rYC34UUszS0QzzECNRhYb,Tyga,5LHRHt1k9lMyONurDHEdrp,Haute (feat. J Balvin & Chris Brown),67LA6sxeFjVaL1Vex4CSgr,73,https://p.scdn.co/mp3-preview/aed71856078116fb932617c5c3eefbe9c6a6a1b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Gangsta Shit (feat. Kokane & G Perico),08kvlynSFClC6AL2tLSI0R,Berner,2lrtGWxNXWjd0JzDLKXubI,Gangsta Shit (feat. Kokane & G Perico),3ZCnWik0S0pxoeiVJvCWqc,40,https://p.scdn.co/mp3-preview/733c755fccb3817410a0c2d6c93d317ab21d7a47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Mind,3NQxdoSxdzKDr15OOtknRA,AD,4Maf38TSoYT83qXqsO20JI,Mind,0iKSE8t71uSyl5OgavJtf6,14,not available
98,Cellout,7DDiAsl9dVyZ406lMpUAfa,03 Greedo,0FtsMKmZEq8fBWqdSOWtqp,Cellout,29jkz4rYD0R0b7K98QUZmC,49,https://p.scdn.co/mp3-preview/3137d5535d20565b99ad51c1f057040fa9d0fbaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Rich (feat. ALLBLACK),3cRVeN3JVPwdad2OZKPDkz,Rexx Life Raj,5rDXcEIODl8TgGTgrntnjX,Rich (feat. ALLBLACK),0HTZJ6kGBWGpoaYm4ogEHV,47,https://p.scdn.co/mp3-preview/b8a240c3b74104f96f5cd14ef5fb67bed8e3eb45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Scammin (feat. Mozzy),72JmSHyBLDFE4odn9iHjyy,Guapdad 4000,0NcPKaSNIHAM2RfioH9vMT,Scammin (feat. Mozzy),5ZBZhM4iA3jYwRzZAUmopZ,51,https://p.scdn.co/mp3-preview/f9c28b1ce0a8413a033a668d67bf04e8f9169fba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
