Cali Fire,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
47,Go Loko,3SZqA7rQvROJsCbUu2v0xa,YG,0A0FS04o6zMoto8OKPsDwY,Go Loko,1GZ1ugREGYIdS5isG2PIFD,84,not available
48,Money Ball,69a3MMNcoDtV3mmMUcB7Ou,Dame D.O.L.L.A,6H6svVOQLsIH1uK7KedZoQ,Big D.O.L.L.A.,7osfIkEHgt1CBBx2grcYyy,60,https://p.scdn.co/mp3-preview/ffa9ea7d77a60eaabe502abf9a67f1518d2526b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Prada Process (feat. 6LACK),4bJpr0Ed3TUYfM3FYbpOEi,Guapdad 4000,0NcPKaSNIHAM2RfioH9vMT,Prada Process (feat. 6LACK),60XFy3v9MvZZBRcIVSYC3j,62,https://p.scdn.co/mp3-preview/133ee6fa1a26a5b09641db909a5a812c49cd2de7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Champion,59JVrsMy8oUyl8usosvTqZ,Kid Ink,6KZDXtSj0SzGOV705nNeh3,Champion,6PbSfxZbhYUPidGyEOtALi,57,https://p.scdn.co/mp3-preview/f3090280ea5ce5a2dda0feaf074467291433c70a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Keep Going,6JheYbbysN2mI3M9Db9s7k,Rucci,7q836WTO8OHUS85E2RyxxA,Tako's Son,7eRFZJxHhvs8eJY18JXyp2,41,https://p.scdn.co/mp3-preview/5d6943cc970cb35e1d4e81e1adf9414c21bbbd10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Hottest In The City,22Fwimjd0oaL06eU7Aura4,Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,Hottest In The City,7nP87PXdPv4oPYKWRc5x1z,67,https://p.scdn.co/mp3-preview/16c147262bc4013045292a2756412844f69196aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,First Things First (feat. G-Eazy and Reo Cragun),1F3tlgcYiaZjgAraz8QQiA,Guapdad 4000,0NcPKaSNIHAM2RfioH9vMT,First Things First (feat. G-Eazy and Reo Cragun),5hAxEYaeRz7KwDI85ffxDD,60,https://p.scdn.co/mp3-preview/e84ec56cb8eb9f741a6c0b55f34a67e7cbef375d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Bail Bond,0IYqDGjcC8GQOh9YasAXbI,Mozzy,4AA474G2hRfrHyGrfyDseO,Bail Bond,0Y9TdnMWIFygiSE7QO3r3r,46,https://p.scdn.co/mp3-preview/3879972fec0459c8e7ce46f70499f25656683e53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Ice Cream,5eF0BDkrph145TetXlm7ur,Ambjaay,3BbPRvYQ0M9SFmhkHXozLm,Ice Cream,35m4V6j9Fuz47JgjMUTfrS,57,https://p.scdn.co/mp3-preview/e3fbc2baf667548bb7490b808b690ade5860d3d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Juicy,4cTm3Ev9bUvy4ChJjB1nhl,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Amala (Deluxe Version),3wOMqxNHgkga91RBC7BaZU,77,https://p.scdn.co/mp3-preview/03562c0a486457356d89519b59a0a31746635d73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Daddy (feat. Rich The Kid),6XkLPzkKzPhpr3hrvl1TUq,Blueface,3Fl1V19tmjt57oBdxXKAjJ,Daddy,5Fw2YiYO8raRGUdtuLogfj,72,not available
58,Change Ya Life,5JboK5zbbhXIN7iN9NHS8t,Haiti Babii,6NQgMwGc3jvdwGZKUbhhHi,Change Ya Life,2cZ1Wgh0wMgjl4Lo1X5k6k,79,https://p.scdn.co/mp3-preview/20a56d14304509263af2d8da3d1343ae64b56628?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Pharaohs,5KMrNhVYpfWhdZAtEVDEaN,Dom Kennedy,3s8alQfNnY0roAHaJh7Xxt,"Opm Presents: Young Nation, Vol. 2",5t7xubcNb8Jckiu7e5XuAX,52,https://p.scdn.co/mp3-preview/0fe04225fe011dca7c4787ae9792decf76b9ed40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Gang (feat. Mozzy),74nqeJCmQIEa8uDKmxVYdL,Blueface,3Fl1V19tmjt57oBdxXKAjJ,Dirt Bag,4eAiHYd3nih3os2BqHm0vt,57,not available
61,On One (feat. ScHoolboy Q),4xs5HTBvm3k1QsWu0MMY5P,RJMrLA,6kQWPGBItT0oMCHZy3M9DN,On God,5S0kuixF3jVGnvRDdjYVi7,45,https://p.scdn.co/mp3-preview/386b710316a5c3a557730a0e2d442c807a6bd59e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Grey Clouds & Raindrops,12Bfo2AVgNm2Dibg3r0VBq,Rexx Life Raj,5rDXcEIODl8TgGTgrntnjX,Grey Clouds & Raindrops,1xiphFxLUQRsfLC8iVZ2Wq,49,https://p.scdn.co/mp3-preview/ad8a6b8b1cf13d60543ce0bc6e08e92cbbc9de11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Do It Big,4AAyJy8c9dZBxEaVh5Voat,Jay 305,2l2o6ibYa7h1w4HwaS1uZV,"Opm Presents: Young Nation, Vol. 2",5t7xubcNb8Jckiu7e5XuAX,52,https://p.scdn.co/mp3-preview/029eecd6383720efac2bb68184506ced38fc7b47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Big Raccs (feat. Sonny Digital),2kDEVJJ62poQhJz5heuW5k,G Perico,4Q2hTDZYFCohf17D5GvkIb,Big Raccs (feat. Sonny Digital),4OUDfDCfKLIZG3pILpFm66,37,not available
65,Don't Think (feat. Mozzy),79Jyb76StNv1ArflQfsvfJ,P-Lo,2QLM9IFaHBtB16b8ZDaA3A,Don't Think (feat. Mozzy),2XX0R6zFXb7ET3vl74x6A4,53,https://p.scdn.co/mp3-preview/818707f9fa4b46dfecbc8d5df69dedd360565c2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,1 Question,2dLWb2s1QtgpzAGOaBVa0h,E-40,3crnzLy8R4lVwaigKEOz7V,Practice Makes Paper,5EK2Kc4pKtcVGUM4Dvz2PQ,56,not available
67,Countdown (feat. Swizz Beatz),5FqES9Eg0SMOyMEaJ7qsVA,Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,Countdown (feat. Swizz Beatz),0ik2C46Jw8vvFqVLGlLW84,60,https://p.scdn.co/mp3-preview/cf5c44c8c8586d36e7f69de1d518f24c1efa321f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,LamboTruck (with Cozz feat. REASON & Childish Major),1OS9fNE87zO4Z696lBXriv,Dreamville,1iNqsUDUraNWrj00bqssQG,Revenge Of The Dreamers III,2n3quCZ0anEa46j2IveacI,66,not available
69,Little Miami,57J6yHuP13PQs7RcHzT6FN,ALLBLACK,1cutd8e41XvxXnFPOFIxMD,Little Miami,10tQvkm8Yy8zHYyhFAAXRW,40,https://p.scdn.co/mp3-preview/c1b9ba0961d1d5375cd2c1f353ef5a727b58cbcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Perfect Ten (feat. Nipsey Hussle),6GQ82BpN60dzztUWzYojc7,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Perfect Ten,2WrNHOba5u6P9S9xEboaUy,65,not available
71,No L's,0RjCea6cbLgCD0h3ELxXSl,Hit-Boy,6q3p11nP1p80Ey6LrOOSed,No L's,5saVdkQ7NwV7LmfrwYb3Pq,58,not available
72,Chase The Money,3808TY2N8RQG8OcRCHoZvD,E-40,3crnzLy8R4lVwaigKEOz7V,Chase The Money,6goFBR78xnqAY1GSQ6UENI,35,not available
73,High Voltage (feat. Tyga),2yxRz5QEdmO96b6SBlYuPM,Nef The Pharaoh,3DiSC0nSNNWpPy5ZK3mcrz,High Voltage (feat. Tyga),5wb5FLNtyNYNIcWjjRSeYu,53,https://p.scdn.co/mp3-preview/06f4ce062b3eddb3e54d5925d4fa6b66ecd086e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Cut Ties (feat. Marc E. Bassy & Sage the Gemini),4sa4Dp6dBLuLBHWkwVupkc,Mozzy,4AA474G2hRfrHyGrfyDseO,Cut Ties (feat. Marc E. Bassy & Sage the Gemini),1BLw6I2viNzvSfLbn0OaTj,48,https://p.scdn.co/mp3-preview/8de524a6bd2ca6104b66fa138d5e453ee402d32b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Going Big,389KIbafjbgPK6lOqworzQ,P-Lo,2QLM9IFaHBtB16b8ZDaA3A,Going Big,1CuaI7aF0O2eG5lBzJdxCX,47,https://p.scdn.co/mp3-preview/243705ec672da7a21209e566116f8eb733260a71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Lightskin Lil Wayne,1zZEly0sLmyDm75c1pAqYf,Tyga,5LHRHt1k9lMyONurDHEdrp,Legendary,6hHIX3lfGKnZ2ji41YZMVV,69,https://p.scdn.co/mp3-preview/703916daf3602e527bd5c62ebd6a6cd6bba8b51e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Elite,3eKZ2HPtENDkjxBxatgp2K,JAG,4R6MQEkEXJSwc7kOjUqjc5,Elite,3BQckMjaqSEuohEvzT6Qjs,35,https://p.scdn.co/mp3-preview/fbcde064022811d3728297af024b666f4b726efd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,On GOD (with YG & Tyga feat. A$AP Ferg & A$AP Rocky),4l7oD6415mxY0uSppVUUjX,Mustard,0YinUQ50QDB7ZxSCLyQ40k,On GOD (with YG & Tyga feat. A$AP Ferg & A$AP Rocky),6mnVFGPiiHNCcb0vsO0QCE,55,not available
79,Just Gang,1fdVY3yLdZXJtiYdv08J7a,P-Lo,2QLM9IFaHBtB16b8ZDaA3A,Just Gang,5g56h0AE7WD6gkBtVPo9Tb,47,https://p.scdn.co/mp3-preview/3c4e8259bd9c5a64f73d8d7698b12a03d344ea35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Out Tha Mud,7jI9cnrZof9mRNpIsA7QQN,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,Out Tha Mud,5zFQbfLwhrai9TtTBLXjm2,70,https://p.scdn.co/mp3-preview/acef8d388563559c8d9d7b02f123b57d75d0acd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Time (feat. Young Thug),6i1Zz14xcTu7VNzCAVt8nn,RJMrLA,6kQWPGBItT0oMCHZy3M9DN,Time (feat. Young Thug),6oGt79Z6k4G5nHV6mLATee,46,https://p.scdn.co/mp3-preview/99688b38aac20ce70fd904fc7995fd06f03261de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Rain On My Parade,3gxnVb6QV6EayrJAY5ojhR,E-40,3crnzLy8R4lVwaigKEOz7V,Practice Makes Paper,0qdl4axRJ9bKkao39PKtZz,37,https://p.scdn.co/mp3-preview/6c8451ad49cd87c47d611ac90f96da1adaa869f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Racks In The Middle (feat. Roddy Ricch and Hit-Boy),6ya8ejoKgw906Y8LWclqrp,Nipsey Hussle,0EeQBlQJFiAfJeVN2vT9s0,Racks In The Middle (feat. Roddy Ricch and Hit-Boy),6a2c06GAsKigzV53VyzBXk,76,https://p.scdn.co/mp3-preview/960bd4ae3b108ff9d9f01981e216591c0b1c880b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Bussdown (feat. Offset),2RYRhxFeiiMMJPUZZiNbfR,Blueface,3Fl1V19tmjt57oBdxXKAjJ,Bussdown,6NsTkoE5uyVrVcbjzppCso,63,not available
