Alternative Hip Hop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,527075,spotify
1,NO HALO,694vvR5o19xHPhhJ5QdLN7,BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,GINGER,1jToVugwBEzcak8gJNZG2f,77,https://p.scdn.co/mp3-preview/e01b636ebca3317b599dcf82a45ae8d31158e1fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Only Child,4zMmqb0pYwX6b0qc0slCoT,Tierra Whack,4lPl9gqgox3JDiaJ1yklKh,Only Child,0vioXPjQ9v9dSkzw5xHrTQ,66,not available
3,Peach,5JRMqkR82k2fdDEAim9SCN,Kevin Abstract,07EcmJpfAday8xGkslfanE,ARIZONA BABY,6wi40lIjhukePWyXRKY7qO,73,https://p.scdn.co/mp3-preview/967a55c12102470a7c8800978b7cd915fd7b1d3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Backyard,0Kk7JmX3BTE5XCaLI4mzAj,Kota the Friend,2AfU5LYBVCiCtuCCfM7uVX,Backyard,1FkGysG71I3BrEd6SCrFdW,50,https://p.scdn.co/mp3-preview/d2490ee6ede84b089a0075ce4b58804d18aaf255?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,BLUE,1Roxb5PucuEVW34lGHRhMY,Zaia,1m0t5VYISq6TcyMo7UqLMz,BLUE,5Xxx5CEY3kOdYzIHyxfkYo,10,not available
6,BOY BYE,6e7hIhOLH9zvb3zP5O5gt0,BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,GINGER,1jToVugwBEzcak8gJNZG2f,75,https://p.scdn.co/mp3-preview/ef0139248dd83735a3fc2d3d04157063053944e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Hair Down (feat. Kendrick Lamar),6sq5mqtS3jwJjvBHALknJH,SiR,3QTDHixorJelOLxoxcjqGx,Hair Down (feat. Kendrick Lamar),5w27XydFTwAPV5GjsWya37,74,https://p.scdn.co/mp3-preview/27cc6d6d989c10dd916a6111809c72dd3e48140b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Georgia,2B15MgKTaavdlKdlwd4W0R,Kevin Abstract,07EcmJpfAday8xGkslfanE,ARIZONA baby,6FTxwPvKmU6B6fIaS2AfGm,11,not available
9,Song 32,0EgmhYPgButfoBvtnidyR0,Noname,1EpyA68dKpjf7jXmQL88Hy,Song 32,3WyY9vsAcsEngOhfOl3aby,36,not available
10,Compound,02H05NlKnwFQREf0qu89AL,Trellion,1kvoEmoCVnDwVHn7V8ChaW,Compound,4FVaSFtyRu8VpQavxB9oPG,42,https://p.scdn.co/mp3-preview/24927f80511f10592ecb3f0d41988a06b6a185a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,I BEEN BORN AGAIN,7frG49GBDHPPvxXRVLRwle,BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,GINGER,1jToVugwBEzcak8gJNZG2f,69,https://p.scdn.co/mp3-preview/0b3f29106bed98e7ec588e0f0a4c9f4c8b271576?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,2012,2hJf188Sz3XxfBDmYK1IMC,Joey Purp,1ewyVtTZBqFYWIcepopRhp,QUARTERTHING,0ffPsL9V1eNMi54MEHMehn,50,not available
13,I Was Sad Last Night I'm OK Now,0gEcmyKlIUoi3sHTFVO1bE,tobi lou,4T8NIfZmVY6TJFqVzN6X49,Live on Ice,6K7SjlIebufubxXGf4uA7a,59,https://p.scdn.co/mp3-preview/44bb596902c9cf78ed4dc69e98345e0f0b126587?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Bad Idea (feat. Chance the Rapper),5u431x19PX588bk9XGlwN8,YBN Cordae,0huGjMyP507tBCARyzSkrv,Bad Idea (feat. Chance the Rapper),13Y4oI0eKd9WHPZ5IqXRl1,58,not available
15,Jawbreaker - Feat. Rico Nasty & Pro Teens,1zKZi4LSGw1qUR03f06Eja,Injury Reserve,3nf2EaHj8HikLNdaiW3v73,Jawbreaker (Feat. Rico Nasty & Pro Teens),4NYfh3NfwTAfLU8AQ2TIvP,8,not available
16,Alien Boy,3Ekf03Q2j0QEKiqiHUpram,Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe,Do You Feel Me?,6VVtLiRVTvWPEOGjeEtlGr,57,https://p.scdn.co/mp3-preview/ab94bb00c6fc8ceb60847f94cc240ac11cb46f74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,You Make Me Wanna (Kill),0u94ND2IKIgSiPg6Ln1SNb,The Last Skeptik,31LnFifS3x9FTENleAl6Eq,You Make Me Wanna (Kill),5K03bOuSBpJlSFFMTjES9x,46,https://p.scdn.co/mp3-preview/00cf3da827b328a769edb41499b5fa25d6ba0571?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Easter Sunday,5TxRbuP3XjOIaV4DKapbsC,Zelooperz,5j93hwFBNo29RJMsWvtzj8,Dyn-O-Mite,22qrEIGTZB9jaYyCjTMNW5,32,not available
19,GRoCERIES,0yFvWTLs3iIwDbc91noXGT,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,GRoCERIES,4tvWn8rsp56lzyMKV409Og,75,https://p.scdn.co/mp3-preview/7dfee67e3cdc174f7602a5f1fa079844d5e7fa97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,IF YOU PRAY RIGHT,5smpR8TVfiPxywEHr1NbJK,BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,IF YOU PRAY RIGHT,4oIbhyy9UZlP4JgN0IFciv,64,https://p.scdn.co/mp3-preview/9fb3447458e773ee36548d8fe88a5679a3755539?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Sex n' Drugs,0G2wimhVoDYXbQ6csDxtSf,Abhi The Nomad,1gUi2utSbJLNPddYENJAp4,Marbled,4UdZHRBCIoe7XCPr8KdVg7,63,https://p.scdn.co/mp3-preview/fe4e4a6a06d4d05f854fccba95fbf1d44dc67945?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Crush,3aUviSdBVbsdmH406j5GZC,Duckwrth,6I3MElirhT5t6Kf7p0hGk9,Crush,1R9BIE7X0fzMrn3XHvetFO,63,not available
23,Elixir,1PyiRvWU7csopxZR122TUp,Wiki,78X7quh8fqAGZ42OpLmUW0,Elixir,62wZ3JUG8KfTsz2OnLC0TI,49,https://p.scdn.co/mp3-preview/66bfcc7b34f92bca978526834144b89a66343d34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Angel,4pjcxC0qgXWZWmcBjzn1az,Loyle Carner,4oDjh8wNW5vDHyFRrDYC4k,"Not Waving, But Drowning",1kokRXXxrJzhxdMo0vsVDV,63,not available
25,TITLE TRACK,2PBPvb7jYJnFgPZWcnqK0O,Lee Scott,2fNzq2CUYlSewJPMKERyX2,Lou Reed 2000,6iJ7Xpvey6HGX9V0MrHcag,45,https://p.scdn.co/mp3-preview/57150f12f181c618600125155374808fe5a5e6f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,shorty (pt.3),2p2ZgltDrcJ2oYHOYFndU3,Deem Spencer,4iXaGootDLE50qY42LCdnK,Pretty face,6JyDd1rcWOC3QjPjARoHQk,44,https://p.scdn.co/mp3-preview/7bc2815e7132d167e833b5f1038d92cd28811016?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Silent Prayer,00mZFEvLTlNQhMUazb6xYg,YL,6wnMFZFfsoJCOH4lVl5hGr,Sunday Holiday,4PrLCkP2VjxrAjhSegAGk3,42,https://p.scdn.co/mp3-preview/a8e05b7521f2d6ed997bb9a06cbacbfc25aa9c05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Dancer,7biTdpboxtQ5apJezizdzh,Cero Ismael,2Nj4ggzoUqfVAiE9sVRmSo,Dancer,5M0LVzbnppX3TkVPXATwt0,43,https://p.scdn.co/mp3-preview/8dd12d0b5db37e1a673541e3b7d3ce75c19bbf09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Ice Water,5wXZXabu8JyRGNHqgueUHm,Loyle Carner,4oDjh8wNW5vDHyFRrDYC4k,"Not Waving, But Drowning",1kokRXXxrJzhxdMo0vsVDV,61,not available
30,Joy Ride,6eZbCRTrU2aJhhp3VIbCwp,Kevin Abstract,07EcmJpfAday8xGkslfanE,ARIZONA baby,6FTxwPvKmU6B6fIaS2AfGm,7,not available
31,Sorry Not Sorry,1e4CSlsTwTfTlo74sZUph4,Like,2J2V1PxHVZ1ANtT8Y2UdTS,Sorry Not Sorry,1oBmWdR5fQXwUBEE4usovT,44,https://p.scdn.co/mp3-preview/c123ef336ceaf15c0080e468ca76d967407b3ec2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,I Like That,1oJssChX7jb4SoUQa3juR1,The Last Skeptik,31LnFifS3x9FTENleAl6Eq,I Like That,1d7t2Jy5cJe8JmZ0yJ4IMV,42,https://p.scdn.co/mp3-preview/c6125f14fc7ba332de7bd928248ca8abd3fe70a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Prayers,4cwfpmkkaUXGJEEwhPjg9j,MIKE,1wlzPS1hSNrkriIIwLFTmU,War in My Pen,36JHipgvgoQuVg1cP7Bq61,48,https://p.scdn.co/mp3-preview/fae8d06997d912080fddd4481621835e8e8003a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,HARRIET,67PQEOK5ln2BDPURuDpvCx,MAVI,1peoXq0RPx7czVoFjloeDQ,HARRIET,3aU7xskYlcqu4MXKzJOg5w,41,https://p.scdn.co/mp3-preview/14f4450ce525982a912b7bd8039fcfa5473ce29f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,W.Y.G.D.T.N.S. (feat. ScHoolboy Q),7wwdta76VXZ80VVlJqvsRY,The Alchemist,0eVyjRhzZKke2KFYTcDkeu,W.Y.G.D.T.N.S. (feat. ScHoolboy Q),6FqNY6WlCSubgwaaa0T5Ni,50,https://p.scdn.co/mp3-preview/5e2a2c6754d8eb1488a83b340caa4445a51f4cc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,More,51I1yDlnp13kwxBEjc1xIm,Flying Lotus,29XOeO6KIWxGthejQqn793,More,22KhzZIwwVJJTvG4dcVEK5,50,https://p.scdn.co/mp3-preview/58eeb7b763f3da4d47c92f3c105ddaa2768628e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Song 31,5jEHZAJlxIf6bK9LkKnRH0,Noname,1EpyA68dKpjf7jXmQL88Hy,Song 31,1EcKdLqFqu9tThIMVkpwEd,29,not available
38,Gorgeous,2rNw9487KHK6dep3r1ZOXT,slowthai,3r1XkJ7vCs8kHBSzGvPLdP,Gorgeous,4sNRoJvfUlvF0hHeJsFJHs,48,not available
39,Bloodbath,0aGBp1QJTc0fN7GBo4HjD5,MAVI,1peoXq0RPx7czVoFjloeDQ,Bloodbath,3WYZtXirqD8F9h65Z9rOqX,42,https://p.scdn.co/mp3-preview/19c86e2002b003279f7dd5c4bd572f5422633829?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,GOD'S WITH ME,34ALhvfAPXBgjLZLaHSiLI,MIKE,1wlzPS1hSNrkriIIwLFTmU,BY THE WATER,55iBCDpBDtBBDgxcSMhp2Z,1,not available
41,18HUNNA (feat. Dave) - Four Tet Remix,6Nx1opJm0kavd1WWMpnlho,Headie One,6UCQYrcJ6wab6gnQ89OJFh,18HUNNA (feat. Dave) [Four Tet Remix],11bwswYds9pLrXY3HAL8Hi,46,https://p.scdn.co/mp3-preview/0a66a719312b40febd80e42629d2640b9717d991?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Selfish,2G2k2ZFsQkIEkAWDTvqHXM,Little Simz,6eXZu6O7nAUA5z6vLV8NKI,GREY Area,4Wwm4xg2748zhYuzDRFTgY,62,https://p.scdn.co/mp3-preview/8278bf516017c9b3e71102edd458865135967dcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Routine,25MCdr9elP5XqWboOUAEsM,Medhane,6lTiYE2IL4FUqf0CgGjI5i,Routine,0gWRst85Fh7y9XyCnOyC9z,40,https://p.scdn.co/mp3-preview/ba919543ed99a7d6f2490d698640d435c1351a22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,ANGST II,09lgtisfbv0A7IdGAHGrOS,MESSIAH!,7nfddgqZWzCgRcgZvjJqgo,ANGST II,7eNbDMkiXuRhuKTu63EZSM,42,https://p.scdn.co/mp3-preview/2d90e0ce341e6006db192be1f62d52d0c3d5e9d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Final Form,6nUXH6o7OXDVykgwAtIIFU,Sampa the Great,7fw0E8WHdG3r9SuPBcGmWk,The Return,1HxsSJHTqeUxDoKN26h8pB,50,https://p.scdn.co/mp3-preview/41dda6ee2236c165b5027f3e0454a34bb02de7bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Unemployed,70kjLeuW46xJ5pqzYRLHAf,Tierra Whack,4lPl9gqgox3JDiaJ1yklKh,Unemployed,27d5hcnwVW9VMGlKMq2FNS,59,not available
47,Crime Pays,4w5m4X0OZ2IslxNOgtntTN,Freddie Gibbs,0Y4inQK6OespitzD6ijMwb,Bandana,31KbO7WnDp2AjPdmRTJzdf,62,https://p.scdn.co/mp3-preview/3b19f23048fe1dc795f0b6333785a9ca49cedd51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Acres (feat. Gray),2HGLQhcAfVl6rylqFZwhhx,Proton,7BZGTojmVqziO9SClQCoVm,Side Effects,7cOByhpzw98o409X26gCaW,41,https://p.scdn.co/mp3-preview/06c4523c6c2b15e603ecce3ae9fd66830a92c83a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Willpower,1FUAcAaEcPLwA4z48WbhKU,MAVI,1peoXq0RPx7czVoFjloeDQ,Willpower,78lNCvSCiK4uTdAgjHAMWK,42,https://p.scdn.co/mp3-preview/368e911b371415230b34b3dfe1e1ffaa9316bc6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Eggs,7b1S5gTtqudbiXfKLuAbEp,Wiki,78X7quh8fqAGZ42OpLmUW0,Eggs,4zL2Ief0TatagtD5UHSi5V,44,https://p.scdn.co/mp3-preview/5d64f50165f255dd34707dfa4d0f410b7f9b03b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
