Rock Classics,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,6515404,spotify
1,"Hotel California - Live at The Los Angeles Forum, 10/20-22/76",4cCQ0wBIc9YHhvOWvWNj7S,Eagles,0ECwFtbIWEVNwjlrfc6xoL,"Hotel California (Live at The Los Angeles Forum, 10/20-22/76)",2A7TYsmTXaHAbQx6C3phKM,17,not available
2,Bohemian Rhapsody - Remastered 2011,1AhDOtG9vPSOmsWgNW0BEY,Queen,1dfeR4HaWDbWqFHLkxsg1d,A Night At The Opera (2011 Remaster),1TSZDcvlPtAnekTaItI3qO,30,not available
3,Sweet Child O' Mine,7o2CTH4ctstm8TNelqjb51,Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,Appetite For Destruction,3I9Z1nDCL4E0cP62flcbI5,82,not available
4,Have You Ever Seen The Rain,2LawezPeJhN4AWuSB0GtAU,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,Pendulum (40th Anniversary Edition),372cMadhAGlNuDnc8TssqF,79,not available
5,Come Together - Remastered 2009,2EqlS6tkEnglzr7tkKAAYD,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Abbey Road (Remastered),0ETFjACtuP2ADo6LFhL6HN,79,not available
6,Every Breath You Take - Remastered 2003,2sXp9Qmvc7mRaDBjBgcGGi,The Police,5NGO30tJxFlKixkPSgXcFE,Synchronicity,7yDxJXFPl88Dt9kBo0dDD6,28,not available
7,Under Pressure - Remastered,2aSFLiDPreOVP6KHiWk4lF,Queen,1dfeR4HaWDbWqFHLkxsg1d,Greatest Hits II,7rq68qYz66mNdPfidhIEFa,60,not available
8,Livin' On A Prayer,0J6mQxEZnlRt9ymzFntA6z,Bon Jovi,58lV9VcRSjABbAbfWS6skp,Slippery When Wet,5uU2uM1RGHfzlA12opjqol,26,not available
9,Highway to Hell,2zYzyRzz6pRmhPzyfMEC8s,AC/DC,711MCceyCBcFnzjGY4Q7Un,Highway to Hell,10v912xgTZbjAtYfyKWJCS,84,https://p.scdn.co/mp3-preview/aa4f9186e0c3f4436bb40572a63862db80d7ef2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,"Another Brick in the Wall, Pt. 2",4gMgiXfqyzZLMhsksGmbQV,Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,The Wall,5Dbax7G8SWrP9xyzkOvy2F,77,https://p.scdn.co/mp3-preview/92210b01fcc6efa80008663c158baf79cf0d7b5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,I Want To Hold Your Hand - Remastered 2015,4pbG9SUmWIvsROVLF0zF9s,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,1 (Remastered),7vEJAtP3KgKSpOHVgwm3Eh,76,not available
12,Another One Bites The Dust - Remastered 2011,57JVGBtBLCfHw2muk5416J,Queen,1dfeR4HaWDbWqFHLkxsg1d,The Game (Deluxe Remastered Version),6wPXUmYJ9mOWrKlLzZ5cCa,76,not available
