We Everywhere,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Options,2cytBOLpwFRX7J9URCrFIe,NSG,31Ua7zSTJxegjyd49ujbSA,Options,35MvbFXqp1ESDkKNqYfOIM,73,https://p.scdn.co/mp3-preview/f20004a49a52baf62e8877674c94ff4d1fc1bfd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Simmer (feat. Burna Boy),4JSEMSiKPVcIEBQIlmGuI3,Mahalia,16rCzZOMQX7P8Kmn5YKexI,Simmer (feat. Burna Boy),1l08IrLHEL9QQfsYBEs9MM,73,https://p.scdn.co/mp3-preview/27decbe2ead96b166523cbf973b9dc08ba84444d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,LoLo (Remix) [feat. Harmonize],0ACPOAqdhAOEbS2gFdlsGl,Eugy,6BhoGzrwRr9eELLBJ55ldo,LoLo (Remix) [feat. Harmonize],09Tv006ABhcTsHFT7gNtVZ,46,https://p.scdn.co/mp3-preview/6af4066a4c8688464eab93e512647c43d3c51b54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Like Tu Danz,1JseAs562lQva7llJ0bibp,Juls,7BIkk865pwBrSZetA8Izic,Colour,6DZAEmjvBrJq0a8sVHbf28,53,not available
14,Joro,3Yt1ovsh3v3VEzRuhI1TL5,WizKid,3tVQdUvClmAT7URs9V3rsp,Joro,1Mj4mLvCC9P4b167keUsRh,60,https://p.scdn.co/mp3-preview/269db9db4e3302b9a37957f442cbd082ddf68639?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Show Me Mercy,75lVHFgJiFKV9sj5rtmGKd,IYKZ,0TBZNOKMncugSI36qT2i4L,Show Me Mercy,6ovzWCYl8TzhBsmUIxNZXy,47,https://p.scdn.co/mp3-preview/6169093d77ac63af54be9d43896aacbb0c3810bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Gum Body (feat. Jorja Smith),5u85l53Y04W59OfzQUsQX6,Burna Boy,3wcj11K77LjEY1PkEazffa,African Giant,277z75G1Gdz0SWN9pegrrs,38,https://p.scdn.co/mp3-preview/bdc38128e67089698b6ddce24a5becec4e88ddca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Can't Lose,0Vu2g87vcF3Q0dUO3jUteP,BenjiFlow,3NRpcByltnHx7oZxWbg8Lt,Can't Lose,5texIXuFhZuYJDDgYxR5k7,42,not available
18,Raw Dinner,2PyJgiGTC2jhNkqtPBwHsv,Santi,15GgEOJiFyjQm4tZ4D7qih,Mandy & The Jungle,4IMFZY59ree679oXQS36xM,56,https://p.scdn.co/mp3-preview/d764b26b1f430545fa0023452b31e7910bac6d27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,"My One (feat. Tory Lanez, Kranium & Dappy)",3zgKEF4I4ILmTTSBvtiRlJ,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,"My One (feat. Tory Lanez, Kranium & Dappy)",1bE9v4U6xT3MDCh2SPn3jH,71,https://p.scdn.co/mp3-preview/495c22aca83c0cdcb674af337a523ebb2560975b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Shine Girl (feat. Stormzy),3uAuSelpsppdSCgnSLPn03,MoStack,14H15rElxdGClICOZXEYHP,Shine Girl (feat. Stormzy),1BUxXzT10AMAgJR8FTRjA4,64,not available
21,Secret (feat. Jeremih & Serani),3KSnA0j67IFkiwmEotMGin,Burna Boy,3wcj11K77LjEY1PkEazffa,African Giant,34vlTd4355ddD4q9pPsoqF,66,https://p.scdn.co/mp3-preview/04fb8637edccbc648bef63a9e64a4bd2bedfe87b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,FIND YOUR WAY BACK,65kk9CAAqFI3LWBEhUwVqd,Beyoncé,6vWDO969PvNqNYHIOW5v0m,The Lion King: The Gift,552zi1M53PQAX5OH4FIdTx,66,https://p.scdn.co/mp3-preview/43718dbb86460b676dd73b7806ca11112d1b7725?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Snack (feat. Kida Kudz),1ZY68CrezgYbtpMVEGRnCh,Ms Banks,4imxqng3RrOBmykL2DhIJC,Snack (feat. Kida Kudz),1qgSczp9wcyKsKTEPoyzUF,59,https://p.scdn.co/mp3-preview/19b74f311108b8c04e59f3b8911819f9145a7c94?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,DON'T JEALOUS ME,1yvFoBp2Bq1ilD0518ZpQx,Tekno,6IhG3Yxm3UW98jhyBvrIut,The Lion King: The Gift,552zi1M53PQAX5OH4FIdTx,66,https://p.scdn.co/mp3-preview/b2b430151d8de5e12779a575519034e351a53038?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,To The Max,2ruNaiZLwzRXnM7vJ2y1RZ,Nana Rogues,24HNTbd7Y2qVOCyzIosYi9,To The Max,0zQleOSgNnH1cd0o4CV7rm,56,not available
26,Anybody,6BtXtwOOy9CfpdlClUscJv,Burna Boy,3wcj11K77LjEY1PkEazffa,Anybody,0iiyqZDjLMi7qb9UwnTrwT,26,https://p.scdn.co/mp3-preview/1466bc7cec0747c69e9206fe2171086988196860?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Needed Time,1k65BavLispRXs7vzBuRLV,Yxng Bane,5AbLpsnTQVNB3OEadYiVrK,HBK,4izRWE4MnP9bLwKXteQ7FH,65,https://p.scdn.co/mp3-preview/62bdbdff6ae2b2f0f3e0fa70b03d44cc425a8bd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Choosy (feat. Jeremih & Davido),4gWAcvkVLzqnzFOcrYBut7,Fabolous,0YWxKQj2Go9CGHCp77UOyy,Choosy,6TcKWIXJvIVJHXerQtc81l,60,not available
29,Call Me,7iErqjvutti2bN7DWTfIRD,Walshy Fire,3yJLZoq3Ra2VmSW5teVgih,Call Me,2MNM5e9lBOtnNLid9hQwh0,14,not available
30,I Like (feat. WizKid),5s7j77zpP6e9uz2Q1DU851,Kojo Funds,2o9hRZ3xI27UQpHT61A4Mm,I Like (feat. WizKid),7b57oWMZmdG8wjwjtRiKSO,69,https://p.scdn.co/mp3-preview/79c2c194926a5a4eff309d89cd47d9e9f010b731?cid=fa83a2fec7c440b7a2795d600d6b2c7e
