KEXP's Top 90.3 Albums of 2015,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,3805,kexp_official
1,Pedestrian at Best,7uoQRNx100em2FLLxnqym0,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y,"Sometimes I Sit and Think, And Sometimes I Just Sit",1WBps8cIMT6LYVq5rYh5ze,1,not available
2,Let It Happen,2X485T9Z5Ly0xyaghN73ed,Tame Impala,5INjqkS1o8h1imAzPqGZBb,Currents,79dL7FLiJFOO0EoehUHQBv,75,not available
3,Pretty Pimpin,3l9eg9RtisizG12a1D6nZl,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,b'lieve i'm goin down...,2uRTsStAmo7Z2UwCIvuwMv,65,https://p.scdn.co/mp3-preview/d6bd42554a0391982a2bf0d22fead98c971fddd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Chateau Lobby #4 (in C for Two Virgins),2eg2gvPXuwZ9FyrPaLgrXi,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,"I Love You, Honeybear",2A8IKX257C4hJaYUHMhLP7,58,https://p.scdn.co/mp3-preview/1f9ea14fa26f55bbf829b7e44b94e3e5ab057e41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Don't Wanna Fight,1xmctspTzQxisNXKY6Gxf6,Alabama Shakes,16GcWuvvybAoaHr0NqT8Eh,Sound & Color,2IVZPDXb7LFbyukqaoWpYR,10,not available
6,Should Have Known Better,5I6y1KWmUoV5YCaIEcs1qs,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,Carrie & Lowell,0U8DeqqKDgIhIiWOdqiQXE,63,https://p.scdn.co/mp3-preview/f5e665476d6617919aafb00bd6ef3c9912f037a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Surface Envy,5Ex0CFhT3J4AdjvHnOvdDW,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,No Cities to Love,1l7gMbzE7RRAdYddJSfM5B,34,https://p.scdn.co/mp3-preview/73539b4e53374eb90904eeec76d60b7a2acea4f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,King Kunta,0N3W5peJUQtI4eyR6GJT5O,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,To Pimp A Butterfly,7ycBtnsMtyVbbwTfJwRjSP,74,not available
9,Loud Places (feat. Romy),2JQm8NNpFkwvhuKH3yhuC9,Jamie xx,7A0awCXkE1FtSU8B0qwOJQ,In Colour,01uabHpYa9AA55wc6AwRQL,54,https://p.scdn.co/mp3-preview/da2e1688b5492f2acd66caf839c1f6e7cedf9cdb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
