Partyhymnen 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,945788,spotify_germany
1,Dance Monkey,3HCfLj84q3qXdArLlA1dV5,Tones and I,2NjfBq1NflQcKSeiDooVjY,Dance Monkey,797fOEI7XtMW8HMfL0OFbp,79,not available
2,Monster,1ZpJxEtDosmTlR7smB6ZDF,LUM!X,0TKFPt9w0AAEnhB9bd0pLy,Monster,1IMoYRjV10sPbVVip2ocnl,50,https://p.scdn.co/mp3-preview/8926abae45f32d706e17646367e1ff54178ffa84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Oblivion (feat. Amber Van Day),3HNs1UAn7OZQiby7DXTIYl,Love Harder,09JJrjk6Mr5ZYwk1mk7aEb,Oblivion (feat. Amber Van Day),4xG7w6o7w2ah1W2a3tPgaV,69,https://p.scdn.co/mp3-preview/c72e19df86425a9b05cc63a3c45035fe87aca2c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Stars,5E00xRhYsooyC3MBA2H848,VIZE,09agIJMxCD2k87ys9Al0f0,Stars,2feDIjnD9BrZsfgi5CbEoK,77,https://p.scdn.co/mp3-preview/2b5dbb2aff8da97a6131916c39914b5b5b7f200d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Instagram,0U6bQIAh6MCGo1xjbIIx2S,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,Instagram,7FTzcNdsKhMe53orWXsai8,88,https://p.scdn.co/mp3-preview/3ab276e3f7066d652e7d631afc55e054de42ad1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,One to Make Her Happy,4p4EJiDJtvf9MFFk6zEQad,Pulsedriver,6U0uBUKWYZKZYFGL00hMsp,One to Make Her Happy,4w9A6E6qCb7E1h2d0hKb27,65,https://p.scdn.co/mp3-preview/50a5a215ee44f59a1d2661660904191ce8cedc9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Old Town Road - Diplo Remix,3kgKVcBpBGuSeaEC0AZGlb,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Old Town Road (Diplo Remix),66FxETmTBazRMZNbvGtGQl,76,https://p.scdn.co/mp3-preview/ac65893e06083f0c616e1e71fa40ebc2367d0201?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Light,79zshLLUoqncCBkd9YfVUE,Jerome,4xcDVatLFh6qlcm41er3LV,Light,5VUFsE0HYIg5g01pl7hmpv,70,https://p.scdn.co/mp3-preview/88fab8c5dca7ca38d090eaafbe4fd39f9f1a01b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,World At Our Feet,4Bl3vhxLgSmTxbHTFR7eyd,Timmy Trumpet,0CbeG1224FS58EUx4tPevZ,World at Our Feet,6XqGYeoG1MAg74MBzn55If,68,https://p.scdn.co/mp3-preview/32b02676487a509558d92c589cb421a8139fbbe4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Moonlight,0A5gdlrpAuQqZ2iFgnqBFW,Gaullin,1aQwKFn00nswXRDUDipm0K,Moonlight,4IU5ADOJ9DnVa9clXVhrEE,78,https://p.scdn.co/mp3-preview/4c93e5c40786de0b9cb2625c06981ebdbc32410d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,110,5sdQ7VUx6GOfsRoSxnK1YG,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,110,6DIKn3gZZms37nf3PvUegP,88,not available
12,Loco Contigo (feat. J. Balvin & Tyga),6osaMSJh9NguagEDQcZaKx,DJ Snake,540vIaP2JwjQb9dm3aArA4,Carte Blanche,2MFS6WG6jnPAgvJpV3PehR,93,not available
13,Later Bitches,2MhnrAz9dreS8zLzEuDflG,The Prince Karma,6ew7qRw24oov125Oly8pFD,Later Bitches,6FSENKsRU6LPEQqHYR2tIU,44,not available
14,Roller,5dhQeuLGmlhfwlI6BWfSpo,Apache 207,1qQLhymHXFPtP5U8KNKsm6,Roller,3RJvPSUpz8E4b6SjectOPu,89,https://p.scdn.co/mp3-preview/cb7ceb09ae50ffccfeb5af1ba67df7741b374587?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Piece Of Your Heart,5p1ex0pXv6jSPJ6QbumQpD,MEDUZA,0xRXCcSX89eobfrshSVdyu,Piece Of Your Heart,0agqVZjOqVtqHkq3pTFPXb,41,not available
16,Post Malone (feat. RANI),36orMWv2PgvnzXsd5CJ0yL,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Post Malone (feat. RANI) [Joe Stone Remix],45nsubB5EsRVWWqx0ED1ET,76,https://p.scdn.co/mp3-preview/b74cd0ca94e2907bcd64827ba5208279f02a4064?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,All Day And Night - Jax Jones & Martin Solveig Present Europa,11o2y87vqODipLK98a1v34,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,Snacks,1SJwQGcL8CpUz0SLbLWVS3,34,not available
18,Ride It,2tnVG71enUj33Ic2nFN6kZ,Regard,4ofCBoyEiGSePFAG500xev,Ride It,4zOhjJfe0dwqsNdDYk622E,91,https://p.scdn.co/mp3-preview/e19c28e007c0ba7471b1f06831fc431caff17ef8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,Mabel,1MIVXf74SZHmTIp4V4paH4,Ivy To Roses (Mixtape),0syM7OUAhV7S6XmOa4nLUZ,87,not available
20,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,blackbear,2cFrymmkijnjDg9SS92EPM,hot girl bummer,37CqAwxTungNxKpIK5vSgE,94,not available
21,Higher Love,6oJ6le65B3SEqPwMRNXWjY,Kygo,23fqKkggKUBHNkbKtXEls4,Higher Love,4wquJImu8RtyEuDtIAsfcE,92,https://p.scdn.co/mp3-preview/a74efdaa12f708673a14fdf67bfb6ec365d8ebf0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,You Little Beauty,1gRQxbfL4ULWyTosgXSbWT,FISHER,1VJ0briNOlXRtJUAzoUJdt,You Little Beauty,1voOnpa4pILlDPVsrIFl8b,75,not available
23,WTF (feat. Amber Van Day),0gn93i7HJt0calph67R5Wu,HUGEL,5PlfkPxwCpRRWQJBxCa0By,WTF (feat. Amber Van Day),6S7cBAToQ2mje6G1r2AKWS,72,https://p.scdn.co/mp3-preview/f9f2f25e8480f402c8e041ff16c96e35ed976c60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Rockstar,4OgwXdylh75fHfwUzJTUqg,Ilkay Sencan,5deLgmgAEgy8UHOfJ9Dj8w,Rockstar,1US66auJ538TiXGeUf24yL,73,https://p.scdn.co/mp3-preview/2dc841ccbc3b3d399bedd5f582c596927fc33df5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",322tcqPhma7F6hfCeLisx0,Lauv,5JZ7CnR6gTvEMKX4g70Amv,"fuck, i'm lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”)",60sI3iRfHfu7YpcTpZ29W1,92,https://p.scdn.co/mp3-preview/f516b7ef3c83e390a1c965c5b3730ebe4a6c667d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
