Deutsche Poesie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,262913,spotify_germany
1,"Immer wenn wir uns sehn (""Das schönste Mädchen der Welt"", Soundtrack)",5psDugCQ2V8uayDeSuTvdD,LEA,5Yo5iU2nf4H41waPl4ZnS1,"Immer wenn wir uns sehn (""Das schönste Mädchen der Welt"", Soundtrack)",3UTg67Th2vtPXWjgfhocFp,69,https://p.scdn.co/mp3-preview/c98b67ccdbb84895f7b6c0e918565d1844e88e59?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Pläne,7wU86ACCI3MBMWaTijsHJy,Wincent Weiss,12xme1fwd3iGEW7rF9b6tp,Irgendwie anders,5tNgkRtA8Bx1cAYLLmxomw,57,not available
3,Schön genug,1nbc7iZcf1UdKVDLgrUKYW,Lina Maly,0VVKg6krYM45eGuevSlcRk,Schön genug,5BHCermXEb3KZ6mqQdhBxT,47,https://p.scdn.co/mp3-preview/b81638ffd8d0152374b2abd4235dd4df961ac8b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Wer wir geworden sind,2E5aaTnUiZMCyqV7mAjDTk,LOTTE,3gqabzO7zvHVzAIT0Nxqa3,Querfeldein,7Bdv9tyxlOOMQv34gFe9GH,52,https://p.scdn.co/mp3-preview/35a5305f0e80ef31b549ad2449b57d52d634fbf4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Ich wünsch dir,6Ubu6f6HM3s04qZuGIccsx,Sarah Connor,7e52Ytzjj1q71DUj2cSlch,HERZ KRAFT WERKE (Deluxe Version),0KY05MDHUSPohPlzHrwTQI,63,not available
6,Zu dir,4ij2vmffYpMjCTDd38vvEV,LEA,5Yo5iU2nf4H41waPl4ZnS1,Zwischen meinen Zeilen (Deluxe),3BRzzOrxdksgbL4Iw7dNHd,65,https://p.scdn.co/mp3-preview/67f00ab3fa1e72e08586c575dc5f2695c6081f6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Die Reise,29vchuApvo5GeOAeGdAbfz,Max Giesinger,224CDJhbm230iSo9ZomTWe,Die Reise,3eIQHRpcXgUHy5BwSVnvMA,60,https://p.scdn.co/mp3-preview/964463f88ac8450cb485a69d8996a3c22e7d2e05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Roman - Radio Edit,0HnTnqBprMsSObGnlV2GfI,Philipp Poisel,7HkIxdAV13bOrkOhh6H3Dg,Roman (Radio Edit),3McFnnuUxQ4ZhmFjw2JBCk,48,https://p.scdn.co/mp3-preview/e2a920daa9d6cfae26d11ec188d4a681b108f573?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Unterwegs,0lcottDlApG8rFAWdwKGSX,Lina Maly,0VVKg6krYM45eGuevSlcRk,Unterwegs,4Ql3KvMQMRbSksC1nPyMeT,45,https://p.scdn.co/mp3-preview/c63b757fcd209cf85137d9cebdbfe99687794a34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Reicht dir das,57SWVEd1IxRmm8gWpupukS,Provinz,2f7f3AmL16mmiAmYnxmmfx,Reicht dir das,06GdASMOXwZ3bjdzw2NdWF,55,https://p.scdn.co/mp3-preview/ffd9f6802d9dc99073ff595321a5888519ffa766?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Kennst du das,6aQweozRPFWZ6PCh2Q76lz,LEA,5Yo5iU2nf4H41waPl4ZnS1,Vakuum,3Ye7DYrKoU2MnqhBJK0ifq,59,https://p.scdn.co/mp3-preview/e7e9b1d0980c42f0463afb440962ae43cd262454?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,1993,3E8qvYDyhKat3qGhmovygJ,Wincent Weiss,12xme1fwd3iGEW7rF9b6tp,Irgendwie anders,5tNgkRtA8Bx1cAYLLmxomw,56,not available
13,Bis ans Ende der Welt - Live from Spotify Berlin,0egwOcbUz6RfbTHKASdf2W,JORIS,7BKePXVmQRgnkbGcrFX1G4,Spotify Sessions,0mkUbYiN1ECBGabxm70DeM,52,https://p.scdn.co/mp3-preview/6cdbf1e8e61f6acbd07561ec5b3d13a9aceff862?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Stille Poeten,3jIEKhzRukkP1geuTIVejE,Julia Engelmann,3yKyH3s5xOHdLDfsD0W9gK,Poesiealbum,4i2dWMZF2nDG6H6St6Hemb,47,not available
15,Mut,3MwB6rnqOELJOw297Cspr6,Alexa Feser,0Yb66lSgYL9MFYw6jUHCVD,Mut,3jv5DVQXY8oeTWfgxra5Ir,7,not available
16,Zwischen meinen Zeilen,47Urs0dijxJJ37Q2l0eOKn,LEA,5Yo5iU2nf4H41waPl4ZnS1,Zwischen meinen Zeilen (Deluxe),3BRzzOrxdksgbL4Iw7dNHd,54,https://p.scdn.co/mp3-preview/ec6af17728a1baa81e519f83f6d4d5b13f31ab13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,747,2wrIux85owRagH9cBcAwGt,Mark Forster,7qXzy6c5RWT0XlVQcOBIDG,LIEBE,4N5wA71510rh5zJlRpgXAU,59,https://p.scdn.co/mp3-preview/5b6910ff988fcd3d56b7d1292339326a0e678f75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Hoffnung & Melancholie (feat. Philipp Dittberner),5O0YNvTnttzWCwxoCoM1DZ,Disarstar,7BSNHln0lSqyDHdQ3sv0Q5,Bohemien,6SXfbEgHTkYxX8C3fSbii0,53,https://p.scdn.co/mp3-preview/c83c4b0d9229970258695160ef5c96007a2686c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Ich seh nur Farben,1G6WQCjiPRvOHFE5fqumDh,Philip Piller,6KA9u2vD7aADr3lKOrn2Df,Kind,6UAHpqYXBz4sJRnngmbkZw,41,https://p.scdn.co/mp3-preview/c41b2324bc8244b2ee8798f6d0667bf889f6b799?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Zuhause,2aBWaKVWRHX9KVot0wb38W,Fynn Kliemann,2YIxQoGvBukvoC1CbJ7opS,Nie,72Tg8IM0FR3KOIxGTRElvU,62,https://p.scdn.co/mp3-preview/b5b09aeefe6e0cfa1964d376a596956dfa4e186d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
