Early Bird,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,Drink 2 U,7qXa091APVtWPURG3QyZ2X,Kate Lomas,1wuyAb5932lV40X4raI2mB,Drink 2 U,4rVuDBW9uAy6AMCEbUdSiM,52,https://p.scdn.co/mp3-preview/1d3851ef823015a626adbb0e6b6b5e0e3eb76931?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Du bist anders,1FuB3SlcjgU3KAyDwUwB6r,AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m,Schlagschatten,3zhOW5DedpxAxddYJ18qiI,63,not available
24,Zeichen,1W1e3LmrVXEcNytFM4vSvB,Jona Bird,2b6SFRAJT7aebTHmAEl9MW,Es ist vier Uhr morgens und vor meinem Fenster verliert die Nacht gegen den Tag,3AujElkyJxW5E6NHCO1xT9,46,https://p.scdn.co/mp3-preview/84d51de579ac7829a574947dffcebdc0f2e9b556?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Ride,4U5x1HEG6e74Y6bLAdQhZo,Benji Lewis,1BPsbKiNgav1TY1ITIU8C5,Ride,0ENAolN9UKykjmOM3d9uF5,49,https://p.scdn.co/mp3-preview/9af117e28f5c768c66bd1c7dc90d22272d5b0fb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Halt mich noch einmal,0qs8LjGpKMKzejfQ1cHJUK,Clara Louise,4GOCL5XuZojOhP5iE7CPda,Halt mich noch einmal,3SCFJrXpxSmbDUmUm5UWj0,43,https://p.scdn.co/mp3-preview/5174ba2e52e3aaeef8f4cfd8821e0fd1ff6e20c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Break,6LuDBVDciOhIfLX7xxz1TJ,Annika Wells,0kErUwb6xgWfkdn0RyZWHZ,Break,0ZifScAuy9Ufo7kptMvwGJ,51,https://p.scdn.co/mp3-preview/a75c7f260fcc2adfff4cbb5857fdeb09ef966ddb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Love Someone,3id2EVGKc3eFAMn9nFnB0r,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,3 (The Purple Album),3r31ml7fFfNaoSSMH0sda9,71,not available
29,Nothing Breaks Like a Heart (feat. Miley Cyrus),27rdGxbavYJeBphck5MZAF,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Nothing Breaks Like a Heart (feat. Miley Cyrus),2hBfao8GWZwHlUGDB8HVQO,82,https://p.scdn.co/mp3-preview/d77c0f82619faf3fa4d6a34a35938820b3389ae9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Only You,4DICoRpF3sjB0ZPwMaKLdW,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,Only You,2EMfCOMewxEtsqQvRxF77F,46,https://p.scdn.co/mp3-preview/4f64c401dc2c3d714b5a4c4b28f310a1a61fbb3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Better Half of Me,114xcQz8sZ6fxRBTZmgmNE,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Better Half of Me,3qMdA1s9e4FiWOlVFViq20,69,https://p.scdn.co/mp3-preview/399031dc531b563a49779932cac87f9c9f161d85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,6-FT-U,5Kr5I51t0cVg2F3gyVSKCL,Hank Compton,7jKKTuM4iwzCuZ790quOMI,6-FT-U,47CUyNZ2uFhd31p8iBM4bl,43,https://p.scdn.co/mp3-preview/b849e9e1632aab0817de1c806c28686ef4c4f2e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Ganoven - Akustik Session,0JreMHjAFo9QlBYT4f4Her,Antje Schomaker,7Kif1sqh6J226OZFwUgt8n,Ganoven (Akustik Session),74jXZf65pAGYRVdew6Z5j4,51,https://p.scdn.co/mp3-preview/a81454495bc628ff5c149eee82be63c29d7b5edc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Worth the Wait,0XCQAR0eVqozXAveG8gRq1,Nicole Cross,3YrM00mKs7wqOtBPmeSoEo,Worth the Wait,54bgKVPMoTGsKMMJLN3eww,43,https://p.scdn.co/mp3-preview/b0af6f1192800b763b6a5835fac6117b3580b7ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,You Don't Love Me,0YHzFtwuNcxpMcvJwiLAgW,Folly Rae,4wZBiNHbCi2TMXjSP86LJ6,You Don't Love Me,2yXELkNFRQyO1ntPMNHmfh,56,https://p.scdn.co/mp3-preview/ae26edb1702bb785697c8e458a512153228aead0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Stuck In The Middle,4TJweEhnTMkfOdavXx5RRG,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,Stuck In The Middle,6lFEMzLLRF3fnIBJE0EkLO,12,not available
37,"Waiting For Love - Recorded At RAK Studios, London",09QyGlxA0Ja6D1dGIjl55c,Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,Spotify Singles,77f0EwaAvS5nremTuOHqZL,60,not available
38,Wild World - Intro,1O7vJOWNqVEjOsC53IX9S8,Other People's Heartache,5gXNY1o9BtajaZfYJVXQrv,Other People’s Heartache (Pt. 4),3cGGFGQJ027VtMknlIHNNi,53,not available
39,Dakar,1cHlMc2Yev8YvUz5dD5KEw,Adesse,7EWemnOZ5SxADQ1z8bf0r9,Dakar,5jtFIBXtzRl835ACFWF1Ug,42,https://p.scdn.co/mp3-preview/739be1e255048452e13fae42aa757420cce27f06?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Sweetest Thing,696vpg0aBvBxpZAuasmg15,Allman Brown,239Y6QdFqVFfdsw6moqSEN,Sweetest Thing,4YtmwrjMoeVCcVPMSadTsy,65,https://p.scdn.co/mp3-preview/9ab1840672a0925d2714bc4d11542be5308e23e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,No One Compares To You,2jZIfoe48eUeOEnP9Ho4h2,Jack & Jack,1INuLZXjjVbcJRyWvD1iSq,No One Compares To You,0qH3pPjIQXENo96X1gNHE1,27,not available
42,Silvia Amberlie,7f88xAMmsAnn5SFchXzmQY,Endre Nordvik,13BXjgYUjBzIvo5KgVoDPb,Silvia Amberlie,298dOQO1vpn4j3jkiikC5G,52,https://p.scdn.co/mp3-preview/c79737b2fdc7e8e4e6f9e516ce2546c0f32eb20f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Call You Home,71x0tN3wakXjBWtnMD2P5X,Kelvin Jones,2t1vHqFELDwweQWM6JYxHG,Call You Home,0rsoZfqt7v0WcgpLL26IWp,52,https://p.scdn.co/mp3-preview/393b50a9e3d787d2345abf7adf25c07dab7b97b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Dark Four Door,6rJoshfNufhpP4mgVujtOf,Billy Raffoul,5gw5ANPCVcxU0maLiGRzzP,Dark Four Door,6iR7QfnsNcwvE1VGqZXv7X,9,not available
45,Running Man - Radio Edit,2yS8SABVQCqpvsmTMH8CgM,Ollie Gabriel,4TNVwxe6cso3F2sGxA2KLG,Running Man (Radio Edit),5g2cqXv5x8VHV8YzcBsOa6,52,https://p.scdn.co/mp3-preview/02d39e8aaea7b2aa436ba9acfcdce8edf0ebcbdc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,If You're Gonna Lie,0mPTZjG5PElXTUIxj1nqgp,FLETCHER,5qa31A9HySw3T7MKWI9bGg,you ruined new york city for me,4aGGhfTv8mJ9JAiz8dsa0L,69,not available
47,Torn,2GdxQw8NwoeH8tKySg6nym,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Torn,6a6Dy4LaFvh43Ed5lomDEd,80,https://p.scdn.co/mp3-preview/1ff3cfa3fc477d266958ba7a0dbbdd0e287f9b93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Brother,7qxBMsDj8h2A15E0EwWU4c,Mighty Oaks,5AVJt6VYXT4hMRP8D3MRAC,Howl,3IgPthMKjm0nSuvKPGa5yX,56,not available
49,Worthy Of You,0UkZ0epPTahsPgLXacC5EG,Plested,2nJYGgfTf2846LtVB3AES8,Worthy Of You,4ktlj5Wi33cc36TwB959cA,60,https://p.scdn.co/mp3-preview/4862e649208e08fa8e50f3321f67461d7ecfadf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,My Heart Ain't That Broken,2fu0Nkt9AJHMCwM2fiySMq,Leslie Clio,2Z8ZYYqedbWaOlSsBRVlmQ,Eureka (Deluxe),546Xvhb9UlOFACTErVGvu1,50,not available
51,September Song,0FuTx2s3YH1ppmtiM6l0zI,JP Cooper,4kYGAK2zu9EAomwj3hXkXy,September Song,4PtHrEv5SyIVsdbMKi6Vkg,22,not available
52,Kogong,0eBEo8ckRAmUEdrbmgpevQ,Mark Forster,7qXzy6c5RWT0XlVQcOBIDG,Kogong,4SgQnitl0j0MXsloj8KoBI,56,https://p.scdn.co/mp3-preview/a10a5aebafbb9efc5dfb0e771c94bd15bce06eac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,It's Gotta Be You,6cAKeFFYW2aClZSUyvqAEW,Isaiah,5lXfVoQxVgC5fpjkVqvNYn,Isaiah,0Mcl4Qm47aTgoJ35CFGsQv,70,https://p.scdn.co/mp3-preview/6a865e13b68872723f5cb920b9acbf4477715ca5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Dancing On My Own,02WacdrRpm4zlP8H7X6bnQ,Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,Dancing On My Own,5Hq4LcmCQ6BP3kM8J5lgga,27,not available
55,Erkläre mir die Liebe,2enmDYf6Ux3oP1p1uyf6FM,Philipp Poisel,7HkIxdAV13bOrkOhh6H3Dg,Erkläre mir die Liebe,0BvJWby0hvG3hB113L0HZO,50,https://p.scdn.co/mp3-preview/77f95144315da1dff17b8a5014a595aa15e3bc1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Up,3Nbcx1svCSzmyYG2I81YCZ,Olly Murs,3whuHq0yGx60atvA2RCVRW,Never Been Better (Deluxe),0jD1tOJpP0Qz8UcLq3FFkr,71,https://p.scdn.co/mp3-preview/8bba539c45e2084b1d03a0caeabb61b03ff8ecff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,5JZ7CnR6gTvEMKX4g70Amv,I Like Me Better,7l6fTSFvlumnPFpOSrbnDV,85,https://p.scdn.co/mp3-preview/fa069a3be2d69aab5378b55f6c66d8b3eff1a6d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
