Club Beats,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Survivor - Extended Mix,0VsKpY0QFN9ifwmYPDgWMm,Jack Back,4bXUaTjc7TQTvLqqCAlfYt,Survivor / Put Your Phone Down (Low) [Extended Mixes],0NKVc1uxZkpv5RoW2UHT80,48,https://p.scdn.co/mp3-preview/52054bad6d9252e2554b44bf0ba4a7baf01b93bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Dance to My Beat,2XKOz5BxWWUowf59BBgXNk,Andy Latoggo,4TnxEefhfXMxTKiwWraYjm,Dance to the Beat,5PuYfRbnTxRxB7MX2aMWAP,45,https://p.scdn.co/mp3-preview/466aa3abb5d6061d05d653b0ee9a6586ea4789c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,House Music,3ocZqgu4jExP3HJetO1I8f,HUGEL,5PlfkPxwCpRRWQJBxCa0By,House Music,70Qru9lPVAQtZlkiyt0k6r,53,https://p.scdn.co/mp3-preview/6739b83acbdb3b3438ef101e506fa851f279cee5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Lights,5bTHzXSlXIWSq3Xyf4QiAL,YROR?,1cKpoey0DOEBKj6gNA5LO9,Lights,1t5PtWOXMTZXxUkiJUdIve,47,https://p.scdn.co/mp3-preview/da795e4bbf36a0f00bb8a709403045a575fcc8d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Surrender,1lGpbCtlYFP0DmbdUNZ5Qy,Purple Haze,35ClM9mD81Evb2EIuYq5en,Surrender,30DJXsDirgaYpEK2dpKDuf,49,https://p.scdn.co/mp3-preview/a47173a634edf0c755a3db23e2af158f32f99343?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Adiu,3vIyKaa3JD0W3SVuVe9mCj,Comah,2kS3I9R5ErMSxhhKGQ0Pj1,Adiu,7jB1Bk0SLJKweBpFaqktcS,44,https://p.scdn.co/mp3-preview/d84215df72c7e4b206e7487835cfad7ed5f5a27c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Smoke,0t5eevrq8rZOIvXDkVwN2i,Toby Green,7IVgVM49Z4ztdmOqOIxhvP,Smoke,6xhL3KwY8ixfsbFllavurT,58,https://p.scdn.co/mp3-preview/e6d80c95ad5b7f130a081a8cfd909c7580e9379b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,When Music Matters - Extended Mix,7tb8s0rcUysS7vXeSRVZhj,Friends Of Mayday,6jFnctxr5gcgwA1wYKHxWK,When Music Matters,1sgmUoFePnuEia9rg3huxF,46,https://p.scdn.co/mp3-preview/8d2b339a7243d96bdfb16ef51f71315e0e61015d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Kickers,43JTSkdMnBnM4GEPWtj2tN,GODAMN,1d0vEmkXUarbPdO4CDqUPB,Kickers,2R7X6BBhuPhK5CFAbqkLHn,44,https://p.scdn.co/mp3-preview/bbc02ae672eeecf94b5cba003e28449ac5c7d49d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Hey Boy - Ruff Loaderz Revisit Dub Mix,5GyZoEuxOHD44vKVf6OScd,Ruff Loaderz,5JOIrGvup0vD5VjodB62Ui,Hey Boy,3v2tiuIUI6dOUujpHHypFf,37,https://p.scdn.co/mp3-preview/fb2cdcae3dfade153e0d8a234a74ad95971cbfa7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Who Got The Keys,2UFPNhmmeE53DpxX7Sdma7,SKIY,39JhQRThBhrHgjXtIK3dGZ,Who Got The Keys,6n0ngJ7VgaQNlkJ3xwAvab,50,https://p.scdn.co/mp3-preview/8b61443adc87bb009b56d72a12303b871da69693?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Last Fight - Kage Remix,4UU2V6rGA6jrQlWqDyZkHx,Justin Levai,5M0IZLpsZiaw5Brc6gHJIy,Last Fight (Remixes),5ocMmPxryff7xxNxock4US,11,https://p.scdn.co/mp3-preview/16cf723f9beba8ed1bdce33418623d5ae282af6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Hey Hey,57Be0BK8Or5yiOpVMRCqsd,MOTi,1vo8zHmO1KzkuU9Xxh6J7W,Hey Hey,0fARGNLDO2RLHtvKoiKr2T,49,https://p.scdn.co/mp3-preview/a19cb413a32c74d12d9fcdad48a88bd682024100?cid=fa83a2fec7c440b7a2795d600d6b2c7e
