Stimmungsmacher,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
25,Find,3qe7qjD3itS6Jf49pztmNt,Tim Kamrad,6zcWVbyNT0z94MBffsTJGP,Changes,5cNz9WxXdrlxmco5TVo2dp,49,https://p.scdn.co/mp3-preview/063d7e2f2ec9d3674f9fe7bd9201ccf5de740304?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,iD,4m0TDIJ02cmpZcqQ62GBCv,Michael Patrick Kelly,4OGiMt96TFUKkKWf7Imlno,iD,72Yu3QdZx4puptxSYf0a28,15,not available
27,Shoot and Run,39f1QnaEdMMYzXWol201sF,Maude Latour,3MNLhvqJkWsO6tcjY9ps62,Shoot and Run,2lKi92iXhjrWqEOHBNG1VL,11,not available
28,Just Got Paid,0v3BMLcwUmAwyqJaf5997o,Sigala,1IueXOQyABrMOprrzwQJWN,Just Got Paid,09uJvEy1F5GwvazqSQcYyB,74,https://p.scdn.co/mp3-preview/7aed134222ceb3d401b03b9d90778f448ab6a748?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Hey Child - Acoustic,0JKNKnjotLKcYKP6pg4hj5,Korbee,5xaoFkc3w6UTdTZ1GJOIsG,Hey Child (Acoustic),0HUGezw2sZ7C19p4HEncDn,10,not available
30,Brot & Wasser,42bDVv9iUVzvEfWxgCALD1,Xavi,0ZCbxUPZReHqmDsGmiRvL1,Brot & Wasser,36H9k6NhxD2BLoIfh02wuY,52,https://p.scdn.co/mp3-preview/198fbc53e1cef70e3166b0b3d283952c2e0c6ab7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Rhythm Is a Dancer,6aRGTfmcxyKZ6pHJLpNe1c,Alex Christensen,2NbYIb2nZ2Z8YORBCbugPq,Classical 90s Dance,6cCYs8KXOhKgPvX5mZREab,56,https://p.scdn.co/mp3-preview/f875cb98d375cb7e877cd079150338dd3a5bb94b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Don't Leave Me Alone (feat. Anne-Marie),2zy9TMoZlYGuCNY4TLqG24,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,7,5rbJtzuXtpIP0Ykk7ewIit,68,https://p.scdn.co/mp3-preview/3584634dab70c68913a298aef4605681995340a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Dive With Me,1NldMriIXmMdChqZtHCGbW,LVNDSCAPE,2QlwnS23KrBeshXFyK5U6M,Dive With Me EP,34uGRL5fYOhN2MH23ZYQVK,18,not available
34,Paradise,7c71baHwrGDOeIFl1gVO14,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,Paradise,7IeZsdWu7lTpDq2qBp437l,24,not available
35,Say Love,1csB4kgdyglOQdH0EyFIqy,James TW,0B3N0ZINFWvizfa8bKiz4v,Say Love,3P7kKngBRwE0ZZ6lQDXi7a,24,not available
36,3 Nights,1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,"Don't Forget About Me, Demos",1DNx0H5ZX1ax3yyRwtgT4S,89,https://p.scdn.co/mp3-preview/4541d9fdce0a1a70103690863356bee8ca05d02b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,These Days,5CLGzJsGqhCEECcpnFQA8x,Rudimental,4WN5naL3ofxrVBgFpguzKo,These Days,2sjjFDjZSCYD5eBCsi0fDW,81,https://p.scdn.co/mp3-preview/57f9b45cd318070b04945fc6c8a7e50eaa7f8971?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Hurt Somebody,2vQFU89Ax4ZXdNFPHoGuds,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Hurt Somebody,5iTOtphdoR3vkVI4n0boCI,18,not available
39,Feel Good,6a9vKVMFfNBi741DVSit3H,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Feel Good,5yAfDtl0HzGSqfLv2C40Uy,14,not available
40,Lullaby,5xzCzOAOfRi4DOttSzvznR,Sigala,1IueXOQyABrMOprrzwQJWN,Lullaby,1SR7c6j94aiuYEhUrfTbZ7,69,https://p.scdn.co/mp3-preview/f333b096a28a34d65c13d8616b18612b4665a7e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Frische Luft - Single Version,3p8TTPPvzUaSFNV66cQoMI,Wincent Weiss,12xme1fwd3iGEW7rF9b6tp,Frische Luft,4A0tqBmbSrUukYvW7pQPK6,59,not available
42,I'll Be There,083Qf6hn6sFL6xiOHlZUyn,Jess Glynne,4ScCswdRlyA23odg9thgIO,I'll Be There,7o6j8wph7fvEcAL67jLVGN,75,https://p.scdn.co/mp3-preview/50b537f9f475abff638562ae8806391009d24d43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Summer Air,3GPI7hYiqD6enLRobhkBm8,ItaloBrothers,5nkYRuiIHg2xXHFC8bfosJ,Summer Air,2wXWlMXmao3AoaZKtl2p5Q,15,not available
44,True Love,0faulCzW1hxYeaQ3jKl82O,Lions Head,0MDfMKBf1cV65pnQ1ZRm9O,True Love,3q12LuAbCchSiJslH0JvsU,53,https://p.scdn.co/mp3-preview/797e94f5f3b1210804f322fba3a4be4f21145714?cid=fa83a2fec7c440b7a2795d600d6b2c7e
