Pop Schlager,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
25,Niemals - Single Mix,1R2umDZL765DII0GqsgCn0,Vanessa Mai,3WUe8ADT5d65WeByR3ubl7,Niemals,75OJXRzK3RVGmjSxuk2fDf,47,https://p.scdn.co/mp3-preview/278abeea72d0e5f82e44fa6c9d5e04aaaea4376f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Casanova,5nfrBO6cj8MVDY0sPD5xFG,Fantasy,3QK6XTFKV94wlcLVQkBJ8O,Casanova,2jbUJ4PNiL8jZ0RLUgekOx,42,https://p.scdn.co/mp3-preview/3019219fe3ef4636feb3208ea8f5b050053eff23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Countdown,0epLJ9VZfjTuk9cinPbHKr,Marie Wegener,6thyTBTGNwX1i95cCGCxJV,Countdown,6kNg9CJRsklsauP3m8hXw2,34,not available
28,Mit dir vielleicht,1OGnv8p4G2NDwx4lA2FL4x,Angelique,6rP1uDbhQS17IFWt55U1Vk,Mit dir vielleicht,4qCSmM8wLDPXKfcNTXRTwL,40,https://p.scdn.co/mp3-preview/b64bf873e38a502899f036edd9bd5215ffea4f7f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,3 Tage in Prag,5gA6XH3JJOkHICzEiSwtMj,DJ Herzbeat,0fvGBclVqAPzR4SxHhtgt4,3 Tage in Prag,3M22DKqOoPFRxghqBKN4v9,48,not available
30,Hallo Houston,1DPRqQvunNNAHQmRA3SkCU,Andrea Berg,5dXbkgq9goxRAwCFoNU9Dp,Mosaik,4dQGTW9gCtgR1QWMW8mqAT,50,https://p.scdn.co/mp3-preview/eab3174c8775a3b183db63775e695c628422b341?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Alle Menschen sind besonders,0lzFfgRiLCU1AiQcdPF2es,Nicole,1C5PhB7zfGmDKaYLLt5GYZ,50 ist das neue 25,0c6uRzQFdD4oNj3fEU5DyD,27,https://p.scdn.co/mp3-preview/871b1db1fb9ac97f22bd3f06bb7a304406574c2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Noch immer,0AagzYvvcq0ryeFDh2ymW9,Frank Lukas,6GRUBv1Z8nm14pV1yKS0Hw,Noch immer,2ZDy2vIBs2nScsqulUGfEi,3,not available
33,Himmelblaue Augen - Single Mix,1XyEc6le36y1d91WmsIVSa,Anna-Maria Zimmermann,0sAQ6ln7fHovbG6Tk2Phrf,Himmelblaue Augen,5doSN9CIdco0gVyMKG0CEK,49,https://p.scdn.co/mp3-preview/ea5b0951c79e8ebf64111cf056c718331099e9d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Wenn du nicht Stopp sagst - Single Version,2M6azl3LmCzjk3gRRwmRmO,Feuerherz,3HBmytNNI4oWYLdUnWw15Y,Wenn du nicht Stopp sagst,0GoQbrA3LfUJq5s16Tqhzp,44,not available
