Electronic Circus,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,537088,spotify_germany
1,Papsak,4iVvNNCNWXvfz5DqC8vHAn,Dirty Doering,4N6XVXvfjBPNFCdS56TCea,Cape Town,72J0egpDnj7wmxVw2hGH7L,40,https://p.scdn.co/mp3-preview/60ef6e256a4c6c6ccde6ca1cefb28e0ee214d7a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Earlylate - Andreas Henneberg Remix,1toPP1tDcSAJEX9im0rISH,The Micronaut,5BNKzWZCbIsQz9zAsg9n6V,Earlylate (Andreas Henneberg Remix),24pri86QLraSFv3wcggLDi,39,https://p.scdn.co/mp3-preview/f172a705f830190b4935cbc5e49edd17fc02cc6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,HI,5x0lhxt4DBf7ja3RRCLCXF,Monkey Safari,5zovXI5By2gUhdr7EByjLa,HI,2wj4oyjeXPn6XlGxsaqAmB,48,https://p.scdn.co/mp3-preview/8b1c0c353c4fa4d3d76250e382519e95a0a440bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Bali,3aDixsN2cxlm2cSZMLg7T0,Marek Hemmann,7tL5UmgvPx6TqKyf0Sjjw6,Bali,2DisdlWjkPjtA1ri7vs3BU,47,https://p.scdn.co/mp3-preview/9ad4f0a895bb6af022be1ba64eddd7fce7b2f823?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Entrudo,5G04a8o6Ta2MzLlrH4QdQN,Worakls,5RPzPJCg4ER1LzQkorZ31p,Orchestra,4js9rdHmcTlhM0BaAeQMKY,53,https://p.scdn.co/mp3-preview/b795ece1a5eb4e624771738429213c2b51c77d36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,My Love,2MH7nd8Q5eNZVdTMZSmDAc,Rich Vom Dorf,1j1jzA1X6Lr19bxTlBS8n9,My Love,1k4QWLfzTcq0op8tpTX0Dt,38,https://p.scdn.co/mp3-preview/e3e85a6ef6e1d2ae7f55d9b8e9e3568417cae520?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Try This Demo,0OfaMLxT6CnFSiH1t9bmRL,Krawall,2V8sY06p4tWk20R2pOzRed,Please Help Me,6HPdbReczXdx8eMglFbd6p,41,https://p.scdn.co/mp3-preview/85d43c7d28bd2f99c9627ad970e9da52772747c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,The Unseen,1urNwF91sq26no4phIbJ1t,Booka Shade,2CKaDZ1Yo8YnWega9IeUzB,The Unseen / Banderas,4CzoCLWZ8b8fstvRxH8GKN,46,https://p.scdn.co/mp3-preview/0814242b5f39ec528dc2e329c30f14b1dd5a9e1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,The Lights,2tJhsBdtaaD8SJF6m6xBvX,Kölsch,2D9Oe8R9UhbMvFAsMJpXj0,The Lights,1LhlKOpYfhEicL7eG35IvX,55,https://p.scdn.co/mp3-preview/37fa0e87252ea2e8926e77356b54021f56140719?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Acid Riot,3qp5F8HWEmcBPqinLU3Psq,Niconé,70s3JhU9Ai0cIowagibjNI,Acid Riot,2SwxDXmxkkAKujgEEdwkS9,40,https://p.scdn.co/mp3-preview/3f6f9afcbe5a165811150b180f6e757f49c01361?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Lovve,6uwUdhRWaH9PuDa4xJoLjf,Betoko,48aaubPa3RsbAp4uCPhoS7,Love Night Train EP,3gm75EYIcj6Y3Zr37nDH1q,48,https://p.scdn.co/mp3-preview/d86ec5901efcbc8be90c150d77d57acd24d5f373?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Ritual,0y7HQDEEWcIxSBvGdGRh99,Gabriel Evoke,0EP5pCt1Fzhd8RkNndHy4g,Ritual,3wziTtMKc0vcUNpV2Q6yP7,36,https://p.scdn.co/mp3-preview/3a1ebfb44569df8e7df09a3591824887b1bba793?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Maia,4iKxhBx1KqQsu7N9lxbrrC,Oliver Schories,0iTjLBepeGaLgZS18kxgRq,Maia,1oBhdNRz5apEqNEt9RJjZY,57,https://p.scdn.co/mp3-preview/aac655ca939cfc42420eec4e18786397ecc19837?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Dirty Love,6fyGWBRQ4qprVrHkPS5PxV,Rich Vom Dorf,1j1jzA1X6Lr19bxTlBS8n9,Dirty Love,2Cwe41kDNwfIHBvmjgXnUU,39,https://p.scdn.co/mp3-preview/09921a7ac90f0b9c667e49bbfbbc9652b8ff6f29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Black Powder,2dr1CekIXY9e5y1cZgzsDs,Meerkats,5Tp2QVmXiCmQHEphdWAPFd,Exchange Of Energy,4O5GM9XfjG9unEXwZ4iMF9,35,https://p.scdn.co/mp3-preview/ed4f62ee914aa833d5f4fec3f321a09a905d8976?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Closer,1Oajj3OHEg15WQSEEkveKE,Anja Schneider,0f14r70OISSfJoyqYaHbgV,Closer,6U2Yfq5FuP1CESesZbMj73,38,https://p.scdn.co/mp3-preview/9c210e51f22e3915a0c30730d2b6bf78c1f25ceb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Assembly,76pU17NzmantizUgs699WH,Lexer,2vDXLZ9mI3CdTPPIzFUKlY,Assembly / Anwar EP,6GfeGCTUnlNz1DUUiP6CYk,39,https://p.scdn.co/mp3-preview/3aa48560161896f6904e3427cced766fac90504a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,You're Not Alone - Solomun Remix,6YEQHjK7LlMFiUIUKEl3Ey,Agoria,4lu50np3LdTkRL09T7x8UP,You're Not Alone (Remixes),1ENugzdS2brZfuSebfxvGi,7,not available
19,Cheekon - Edit,078ncsOGPoX4WqUC8NMBPD,Blond:ish,6zsJjoCtL1WByG0VsuFWzR,Cheekon,36OSYvgoclMI51pLepGR8a,39,https://p.scdn.co/mp3-preview/83c11b77489a3fb62d7abbec2c289554ebd79370?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Blackbirds,5KjzIDngJb6ANncJHicSn9,Neal Porter,7bS2JIZHmEpz0cHlSvXlhr,Blackbirds,2MaMxWKN29oNMypwe2JpvX,38,https://p.scdn.co/mp3-preview/383ee8ba19585430050d779f30806978899787f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Faded,0ZG7eiXY8nEt6Gtt2HOH7s,Marius Drescher,4oU99ab1DTNIF3a9RHmnhf,Faded,2AMLv2TC7ltrSr8EZw8aUu,35,https://p.scdn.co/mp3-preview/b2aa995f15c37c40790e388c3933a52d83abe326?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Babayani - Original Mix,60CSfCIS9cRfVWIp9K35eq,Stereo Express,3j2zB13syOvCyrkJIomEA2,Babayani,2XwLiXas3AEoyFqCpwtnRe,37,https://p.scdn.co/mp3-preview/e56081507e2bc21fe2df776d7b1813ac8758d813?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Elements of Trust - Sanchez & Pietkun Remix,0TT6SbrHgkhmWx01S03jah,Gabriel Filip,0RTHaVU7mWqrznMzZ9PwTP,Elements of Trust,7aIdMrakwT0uSvy4CTsMjp,44,https://p.scdn.co/mp3-preview/50557819662121f1949ba1523274f6ced89cad46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Irreversible,6nSo8mNsaFLr4oMp8t7C1r,Matchy,5BF9eGIdwa9gt4RAXP8w1n,Conjunction Anto EP,1bYml3Sd8fFWmRk05xZxRm,51,https://p.scdn.co/mp3-preview/5c87f704ebd87aa862498584592fe02b25cba06c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Soulmates,4ghhIzwqhaCW4fAwdKVm8N,Florian Kruse,7GhGgxIAhzJxZXvF1bEYZ8,Soulmates,5BVsHCBE69NfA4Et65KAOg,39,https://p.scdn.co/mp3-preview/9f35ff0e16bec50027f93a5605b4dabb1dfe93f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
