Hit Rückblick,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,Rise,3KLygy1YWhmrQx0GRs7IOx,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,Blue,6x8gRx7RDvPckYBzPodW8w,30,not available
23,Without You (feat. Sandro Cavazza),6WbADFqMvR8N5u0BvtsWQE,Avicii,1vCWHaC5f2uS3yhpwWbIA6,AVĪCI (01),6LaLU27ZPXimJIbpbiOahr,27,not available
24,No Vacancy,6XOYVSmNDjKUNMXooU4s4z,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,No Vacancy,7GxsxPFTZANnpsAONtZlHQ,14,not available
25,Born To Be Yours,2hoigtnMAjSejRi1hHk99w,Kygo,23fqKkggKUBHNkbKtXEls4,Born To Be Yours,2pJwtJl5mZdRj2jocjDFgB,60,not available
26,La Cintura,1BFmBgVOnLy3Ekrxz1lBOK,Alvaro Soler,2urF8dgLVfDjunO0pcHUEe,Mar De Colores,4JKhcsTTBrRxA01gvYPm6s,26,not available
27,Ohne mein Team,3v2ReIt6xudmz4CYX4OvrY,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6,Palmen aus Plastik,2SvqZqpo0slTzATjdlEuv8,6,not available
28,Be Alright,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,Be Alright,0YZLXTaHLcgl5UdtKDiUXD,86,not available
29,There She Goes,5tmuKTnfayZkjDlukTz3vT,Taio Cruz,6MF9fzBmfXghAz953czmBC,There She Goes,6lIsiWfNLzYcGQE6FmwJwt,60,not available
30,Stargazing,0Zbbxnx4SGGHoIow4PpISP,Kygo,23fqKkggKUBHNkbKtXEls4,Stargazing - EP,2sPYPyDFwgi1jrRTGhoxq2,75,https://p.scdn.co/mp3-preview/1c83c44bc1fbe6bed8254c4203256778a7a8b83d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Lonely Together (feat. Rita Ora),7DoN0sCGIT9IcLrtBDm4f0,Avicii,1vCWHaC5f2uS3yhpwWbIA6,AVĪCI (01),6LaLU27ZPXimJIbpbiOahr,21,not available
32,I Believe I'm Fine,7Lgpic8BsBJR4jFrr9abbz,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,I Believe I'm Fine,6DK2SoPZxXKlcOqMtrBJS0,51,https://p.scdn.co/mp3-preview/d1836ee71425e8f2a1fd0ff0051f7d4b7ebc2882?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Bye Bye,6Sr3iRWoMsyqVfNDJJQmzk,Cro,3utZ2yeQk0Z3BCOBWP7Vlu,MTV Unplugged,324qUngn6Sf6tlQ5mSvio8,63,https://p.scdn.co/mp3-preview/cf925a8cd96bbf6b1f9502fbd04ccd6dfc729cc0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Lieder,5Zd6xRDfkWRT1FF1CnmvOG,Adel Tawil,3rZBkgoRHG8M9jQL0QPNMi,Lieder,2ddLpxUJMWmq49zsOSBHGQ,8,not available
35,Body,3jvpPbTJqfyKvEOtOsn83m,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,Body,5IwDFhelg9o8vrPNlYDpQR,69,https://p.scdn.co/mp3-preview/cc8dc2d90a923e024f1c71dec1cd4f0a8650a1cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Sun Comes Up (feat. James Arthur),6SUocL0caib4mLHe8ZrZzi,Rudimental,4WN5naL3ofxrVBgFpguzKo,Sun Comes Up (feat. James Arthur),5UGyzp6HT8oy0eTkBfxtQ8,67,https://p.scdn.co/mp3-preview/f41d62f292e4bd7cc6b0f63ee119b4585a66f3f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Geiles Leben - Madizin Single Mix,4dE4yaT3DzLiXH1wnH1KLo,Glasperlenspiel,2UFKXTZgKtOTHSqMSyAcLO,Tag X (Deluxe Version),2rbSsJUXRpQ0kx3JZBY4oO,9,not available
