Deep Listening,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,175460,spotify_germany
1,Hiddensee,6HXAoCEMSpzUoMd9KopnZq,Ceeys,6K8BBZapSLE6XGXF4htbIT,Hiddensee,3JXK7k65XwptClZh18unpo,45,https://p.scdn.co/mp3-preview/1b57b5b814f95fe1169e6bc164057cef2d1e4128?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Mirages,5ARGa1YCWbgNobFCM2F6JB,JB Dunckel,0yN05taoXcja1ibMBraWrm,Mirages,1YHTOqf2Ph97yqfLVr9QYT,44,https://p.scdn.co/mp3-preview/5c7c41712061cd2723cc8bc53698b369b9fb7709?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,The Colours Of Chloë,41IIGbcmsYDgZYsgyyKg6Z,Eberhard Weber,2BPSfZHtSYon5DKvp95xXT,The Colours Of Chloë,6q8vN3Qdyxk6o1fGpY64qz,54,not available
4,Concise,4H0wNqcWYEZBW94oBygF0k,Roedelius,7v5E9zviGMsOGHRdMVmhDc,Lunz 3,4tTZ05DMgT3Y4Mpc72AyLC,29,https://p.scdn.co/mp3-preview/85879315c10585e89b8d7f6eb454b161a81a7307?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Playing at the End of the Universe - Orchestre univers Version,5drwkeWY5C8e2I6cTg79NS,Labelle,7wF9y3gjWdR3DOtFG5PVFS,Orchestre univers,0eIOrsIX5gw7zpvZhltUCq,43,https://p.scdn.co/mp3-preview/5f37a4ce36247f7ac022f40128b6eacc3a09e22c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Calimayan,73xAnUDRUQbZy65hOr80IJ,Carlos Nino & Friends,5Vp9z1lRUNMLQCXbwrIbDK,"Flutes, Echoes, It's All Happening!",1e52dh3GiiAVMNetdNA2pE,38,https://p.scdn.co/mp3-preview/9ff4efc73c08f40018ee18962f4165def7e585b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Waende,0jIymbEdH6q5ZgFVwGJehs,Ceeys,6K8BBZapSLE6XGXF4htbIT,Waende,3w9bvWO480nCjEQuxzwrkc,42,https://p.scdn.co/mp3-preview/13dacb7a0078260d5d64b70c6d7d386f10177fcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Broken Hearted Kota,3JV9KTvErBJzQi9Wcr7ouR,Joseph Shabason,7xoTSPGUr9u8FWR4G8AWoS,Broken Hearted Kota,5lMXsZtAMCRodyRAeKvDjt,42,https://p.scdn.co/mp3-preview/938eab8c0964dc4d12bbe6cc34ca08177e0db58e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,All Armed,0ah4k1jXcRFprzr9MhLrI2,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,All Armed,6flex5uD7IKBXiNDNvUWwA,48,not available
10,Badlands Train,2ZdD734d65deIKqH6pJkXi,Stubbleman,0Fu1gmQ4PZ1S5anr0l2Cov,Badlands Train,74fjGUdVhFWF976Tnno4Vj,41,https://p.scdn.co/mp3-preview/64bdbfe65763bcbb174e4c493373a8a6fc4c4c1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Black Is The Color Of My True Love's Hair,35HX8z7O4MaVVrT40YEujJ,Marc Johnson,3AT9157jK9F2gMSViMdRUH,Bass Desires,3ENSb9BRGFVzNinQh8cFhg,52,not available
12,Arrival,0kAIEMckzx7krVzOP0xIZZ,Danny Mulhern,4tc9PdoWcfLTI5ZcNIhWuU,Safe House,31cCUJWMaRWwexarEm86Y1,39,not available
13,Cliffside,5R76xMp2qvsV3VKUGBc9mG,Hammock,0VOR7Ie9xUSb45fzIIVJQ1,Universalis,7FvkaK0tizVHsWRcVP5WO5,5,not available
14,Spells,0dIg2sKreVGnWJPSPotagc,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,Encores 2,2C2LdCgWMw6MkJ5RGJi5eg,45,https://p.scdn.co/mp3-preview/700f8cdbb6ce8c412da27cbfd1869021b6c7a0ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Timeless,2N2SrDqaD0Kf4k2ITxieMQ,John Abercrombie,1OCdpTg8d7Ehpj8B9j4iqa,Timeless,3zrFls5MpfT6VOquQmuXaW,15,not available
16,Traces I,1aUAEjPEyazQvsGlw9dEZt,Tigran Hamasyan,0D3h8NZqNp7BN97JwtV6eW,Atmosphères,7Dts1hwy6sVRBQrK9DwZW9,3,not available
