Hip Hop Mixtape,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,41GuZcammIkupMPKH2OJ6I,89,https://p.scdn.co/mp3-preview/1c3c01c64477b356e28a652b6447f4ef96689a71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Blessed (with Tyga),5imCvF3VHty1TZ0qaE1JEj,Shenseea,1OFOShsIbhy1l5x73yuVyB,Blessed (with Tyga),7aTeShQY6NnCiFmjYluvcl,70,not available
24,Ransom,1kBbgxAUc4HQv7cgIayIDH,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,Ransom,4Mz9ZCE83IiaVC9ejMqxky,87,not available
25,Clout (feat. Cardi B),59ywHNwwchG4nZJMLyxSzd,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,FATHER OF 4,6bPpXqJRpjwy0hLyUGtzYc,82,not available
26,Broke Leg (with Quavo & Tyga),5WJdUrZ4ND1TCZ2AsjYK3P,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,Broke Leg (with Quavo & Tyga),37Rz3XLdW8ci3K4UslRaHs,72,not available
27,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,MIDDLE CHILD,3XzSOIE6zGLliuqsVGLmUc,87,not available
28,No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Indigo,1BfLzaTFI5qKsAAk0Ae6aV,90,https://p.scdn.co/mp3-preview/7c3bc7b4d1741a001463b570fe29f922d9c42bd6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,BiPolar (feat. Quavo),4fGT0JiaqoHShrg6uSsKfB,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,BiPolar (feat. Quavo),6WS2PorPYrQPnchstzrMKJ,62,https://p.scdn.co/mp3-preview/e00971f24bacac13063ae36352d50b70f5141ef6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Audemars (feat. Nasty C),3pHMYyPaXgmlahgAWrqyRf,mishlawi,27zRRhF2K0ai7JQxgAOZMF,Audemars (feat. Nasty C),4KLQFeel74lAxu6lOJDeR5,47,not available
31,Feeling,2Jh3UqxnHJMyzMzku4uOtE,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Death Race For Love,1GYVNOzwhx1nMcIJDogSNp,78,not available
32,Project Dreams,0PowxVSTY2uh1CPc8EPKyX,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Project Dreams,1FVR0Mg8rGHhLBpaO9MADY,14,not available
33,Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,Post Malone,246dkjvS1zLTtiykXe5h60,Goodbyes (Feat. Young Thug),4FFBjcmX06VmazABtpRMyv,87,not available
34,Startender (feat. Offset and Tyga),6uSSupG4TMu3vW8QgynAB6,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Startender (feat. Offset and Tyga),6qx6AMrns8Ruk1FinKg2qK,69,https://p.scdn.co/mp3-preview/26328dae6170f2d51ef6b52abc97b97cec84c271?cid=fa83a2fec7c440b7a2795d600d6b2c7e
